Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,EXCELLENT Apple MacBook Air 11 INTEL CORE i5 SSD Mac OS,$244.02,N/A,Intel Core,MacBook Air,Apple,N/A,11 in,N/A,2025-01-27 01:47:57
Laptops,"SEQUOIA Apple MacBook Pro 13"" 3.8GHz i5 Quad Core 16GB RAM 512GB SSD - WARRANTY",$487.06,16 GB,Intel Core i5,MacBook Pro (Magic Keyboard),Apple,N/A,13 in,512 GB,2025-01-27 01:46:11
Laptops,"Apple MacBook Pro A1425 10,2 13"" 2.6GHz i5 8GB RAM 256GB 10.15 Grade A No AC/Wif",$77.99,8 GB,Intel Core i5-3230M,"MacBook Pro A1425 10,2 ME662LL/A",Apple,N/A,13 in,256 GB,2025-01-27 01:46:18
Laptops," RAM MEMORY BARS FOR IMAC 21.5"" 27"" AND MAC MINI",$4.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:08
Laptops,"Apple MacBook Pro MR932LL/A 15.4"" 512GB Mac OSX, Silver",$340.00,16GB,Intel Core i7 8th Gen,MR932LL/A,Apple,N/A,15.4in.,512GB,2025-01-27 01:48:19
Laptops,MacBook Pro 13 2020 Touch Bar 2.0 GHz Intel i5 16GB 512GB Space Gray,$429.99,16 GB,Intel Core i5 10th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-27 01:47:52
Laptops,MacBook Pro 13 Space Gray Late 2016 2.0 GHz Intel Core i5 8GB 256GB Good Cond.,$199.99,8 GB,Intel Core i5 6th Gen.,MacBook Pro,Apple,N/A,13.3 in.,256 GB,2025-01-27 01:47:00
Laptops,"Apple MacBook Air Core i5 1.1GHz 8GB RAM 512GB SSD 13"" MVH22LL/A (2020) - Good",$389.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,512 GB,2025-01-27 01:47:43
Laptops,Apple 2020 Mac Mini M1 3.2GHz (8-Core GPU) 16GB RAM 1TB SSD - Excellent,$499.99,16 GB,Apple M1,A2348,Apple,N/A,N/A,1 TB,2025-01-27 01:46:39
Laptops," RAM MEMORY BARS FOR IMAC 21.5"" 27"" AND MAC MINI",$4.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:45:56
Laptops,"Apple MacBook Pro 13"" (2012) | i5 2.5GHz | 256GB SSD | 8GB RAM | EXCELLENT ✅ 80% 🔋-",EUR 198.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:07
Laptops,"MacBook Pro 14"" 2023 [ M3 Pro 11/CPU 14/GPU ]  18GB 512GB UK British Keyboard",$760.00,18 GB,Apple M3 Pro,A2992,Apple,N/A,14 in,512 GB,2025-01-27 01:48:11
Laptops,"Apple MLH12LL/A MacBook Pro 13"" Intel Core i7-6567U 16GB RAM 1TB SSD, Good",$328.99,16 GB,Intel Core i7,Apple MacBook Pro,Apple,N/A,13 in,1 TB,2025-01-27 01:47:37
Laptops,MacBook Pro Retina 15 Silver Mid 2015 2.5GHz i7 16GB 512GB -AMD Radeon R9 M370X,$229.99,16 GB,Intel Core i7 4th Gen.,MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-27 01:47:50
Laptops,"NEVER USED APPLE MACBOOK PRO 13"" RETINA DISPLAY, 256GB 8GB INTEL i5, ONLY 2 BC!",$399.00,8 GB,Intel Core i5 7th Gen.,MacBook Pro (Retina),Apple,N/A,13.3 in,256 GB,2025-01-27 01:48:52
Laptops,Apple MacBook Pro 16 2021 M1 Pro 3.2 GHz 10-Core CPU 16GB 1TB 16-Core GPU Gray,$979.99,16 GB,Apple M1 Pro,MacBook Pro,Apple,N/A,16 in,1 TB,2025-01-27 01:46:07
Laptops,"Apple MacBook Pro A1990 15.4'' 2018 Core i7 2.2GHz 16GB RAM 256GB SSD,Gray, Good",US $342.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:50
Laptops,Apple Mac mini M2 Chip 16GB RAM 256GB SSD Silver MMFJ3LL/A Very Good,$473.34,16,Apple M2,MMFJ3LL/A16,Apple,N/A,N/A,256GB,2025-01-27 01:47:46
Laptops,MacBook Pro 13 Space Gray 2020 1.4GHz i5 8GB 512GB SSD - Good Condition,$329.99,8 GB,Intel Core i5 8th Gen.,MacBook Pro,Apple,N/A,13 in,512 GB,2025-01-27 01:47:35
Laptops, INTERNAL SSD HARD DRIVE FOR MACBOOK PRO AND MAC MINI A1347 A1398 A1502,$31.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:27
Laptops,"Apple MacBook Pro 13"" (2012) | i5 2.5GHz | 256GB SSD | 8GB RAM | EXCELLENT ✅ 80% 🔋",$208.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:48:15
Laptops,"Apple MacBook Pro Retina 13"" Touch Bar i5 Core 16GB 256GB 13.3"" WQXGA VAT #S03",$419.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:35
Laptops,"Apple Macbook Pro 2019 Touchbar 16"" A2141 i9 2.4GHz 64GB RAM 1TB SSD MVVM2LL/A",$706.99,64 GB,Intel Core i9 9th Gen.,Apple Pro 16,Apple,N/A,16 in,1 TB,2025-01-27 01:47:36
Laptops,MacBook Pro 13 Space Gray 2017 2.5 GHz Intel Core i7 16GB 512GB Good Condition,$259.99,16 GB,Intel Core i7 7th Gen.,MacBook Pro,Apple,N/A,13.3 in.,512 GB,2025-01-27 01:48:16
Laptops,MacBook Air 11 Silver Early 2014 1.4GHz i5 4GB 128GB Rapid Hybrid Drive - Good,$89.99,4 GB,Intel Core i5 4th Gen.,MacBook Air,Apple,N/A,11 in,128 GB,2025-01-27 01:47:33
Laptops,"Apple MacBook Air A1465 5,1 11"" 1.7GHz i5 4GB RAM 64GB SSD 10.15 (Grade A No AC)",US $50.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:10
Laptops,"Apple MacBook Air Core i5 1.4GHz 8GB RAM 256GB SSD 13"" MD761LL/B 2014 Very Good",$189.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-27 01:46:00
Laptops,Apple MacBook Air 13 Early 2015 2.2GHz Intel Core i7 5th Gen 8GB 256GB Very Good,US $169.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:47:51
Laptops,Apple 2020 Mac Mini M1 3.2GHz (8-Core GPU) 16GB RAM 1TB SSD - Excellent,$499.99,16 GB,Apple M1,A2348,Apple,N/A,N/A,1 TB,2025-01-27 01:45:52
Laptops,"Apple MacBook Pro A1278 9,2 13"" 2.5GHz i5 16GB 240GB 10.15 Grade B No AC/Etherne",$38.99,16 GB,Intel Core i5-3210M,"MacBook Pro 9,2 A1278 MD101LL/A",Apple,N/A,13 in,240GB,2025-01-27 01:46:53
Laptops,"MACBOOK AIR LAPTOP 13' 8GB, 128SSD, BIG SUR, WEBCAM ,WIFI, BLUETOOTH",$350.00/ea,N/A,N/A,N/A,Refurbished Laptops for Sale,N/A,N/A,N/A,2025-01-27 01:46:21
Laptops,Apple MacBook Pro 13 Touch Bar Space Gray Late 2016 2.9 GHz i5 8GB 256GB - Good,$259.99,8 GB,Intel Core i5 6th Gen.,MacBook Pro,Apple,N/A,13.3 in.,256 GB,2025-01-27 01:46:12
Laptops,"Apple MacBook Pro Core i5 2.4GHz 8GB RAM 500GB HD 13"" - MD313LL/A - Good",$179.97,8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13 in,N/A,2025-01-27 01:49:33
Laptops,Apple MacBook Air 13 2020 M1 7-Core CPU 7-Core GPU 8GB 256GB  in Silver A grade,$555.00,8 GB,Apple M1,Macbook Air M1 2020,Apple,N/A,13.3 in.,256 GB,2025-01-27 01:47:42
Laptops,"Apple MacBook Air 13.3"" Core i3 1.10 GHz 8GB 128GB SSD MWTJ2LL/A",$299.99,8 GB,Intel Core i3 10th Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-27 01:46:08
Laptops,"Apple MacBook 4,2 A1369 Laptop 13"" CPU i5-2557M 4GB Ram 128GB SSD",$199.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:04
Laptops,Apple MacBook Air 2022 A2681 13in M2 8 Core GPU 8GB RAM 256GB SSD Very Good,$636.32,8 GB,Apple M2,MacBook Air,Apple,N/A,13 in,256 GB,2025-01-27 01:47:25
Laptops,"Apple MacBook Pro 13.3"" Silver 2016 i5-2.0GHz-8GBRAN-256GBSSD macOS Sonoma 2024",$285.00,8GB,Intel Core i5 6th Gen.,Apple Pro,Apple,N/A,"13 in.3""",256 GB,2025-01-27 01:48:01
Laptops, 85W INTERNAL CARD POWER SUPPLY FOR MAC MINI A1993,$136.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 01:46:20
