Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
"Dell Latitude 5410 14"" Laptop Core i5-10310U 16GB RAM 512GB SSD Win 11 IR Webcam",$249.99 ,16 GB,Intel Core i5-10310U,Dell Latitude 5410,Dell,Intel UHD Graphics,14 in,512 GB,1/29/2025 22:22
"ASUS Vivobook Go 14"" Laptop (Ryzen 3 7320U/4GB/Radeon Graphics/128GB/FHD/Win S)",$169.99 ,4 GB,AMD Ryzen 3 7000 Series,ASUS VivoBook,ASUS,AMD Radeon Graphics,14 in,128 GB,1/29/2025 22:22
"~OVERSTOCK SALE~ 14"" HP EliteBook Laptop PC: Intel i5! 8GB RAM! 500GB HDD! Win10",$144.95 ,8 GB,Intel Core i5 2nd Gen.,HP EliteBook 8460P,HP,Intel HD Graphics,14 in,N/A,1/29/2025 22:23
"Dell Latitude 7420 14"" FHD TOUCH 2.8 GHz i7-1165G7 16GB RAM 256GB SSD - Good",$249.99 ,16 GB,Intel Core i7 11th Gen.,Dell Latitude 7420,Dell,Intel Iris Xe Graphics,14 in,256 GB,1/29/2025 22:22
"15.6"" HP ProBook Laptop PC: Intel i5! 16GB RAM! 1TB SSD! Windows 10 Pro! Webcam!",$228.95 ,16 GB,Intel Core i5 4th Gen.,HP Probook 650 G1,HP,Intel HD Graphics,15.6 in,1 TB,1/29/2025 22:23
"15.6"" HP EliteBook Laptop: Intel i5! 16GB RAM~512GB SSD! Windows 10 Pro! Webcam!",$229.99 ,16 GB,Intel Core i5 6th Gen.,HP Elitebook 850 G4,HP,Intel HD Graphics,15.6 in,512 GB,1/29/2025 22:22
"HP Pavilion Laptop Computer 16"" 2K Intel Core Ultra 7 16 GB memory; 512 GB SSD",US $649.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
"FHD Dell Precision 15.6"" Gaming Laptop PC: Intel i7! 16GB RAM~1TB SSD! FirePro!",US $314.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
HP ZBook Studio 15.6 inch G8 Laptop PC Core i7 32GB DDR4 512 GB SSD NVIDIA T1200,$539.99 ,32 GB,11th Gen Intel Core i7-11850H,HP ZBook Studio 15.6 inch G8 Mobile Workstation PC,HP,NVIDIA T1200,"15.6""",512 GB,1/29/2025 22:22
Dell Latitude 7490 i7-7600U 2.8Ghz 16GB 500GB SSD WIN 11 Pro Laptop Notebook PC,$229.12 ,16 GB,i7-7600U,Dell Latitude 7490,Dell,Intel HD Graphics 620,14 in,500 GB,1/29/2025 22:23
"Dell Inspiron 15 Laptop AMD Ryzen 7 7730U 16GB RAM 512GB SSD 15.6"" FHD Touch W11",US $324.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
Dell XPS 16 9640 Intel Core Ultra 7 155H 16GB RAM 1TB 16.3 4K+ OLED RTX 4060 W11,"$1,980.66 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:23
Panasonic Toughbook CF-19 MK3 - 1.20GHz - 128GB SSD - 4GB - Win 10 - UK Keyboard,$123.16 ,4 GB,1.20GHz Intel CPU,Panasonic Toughbook CF-19,Panasonic,N/A,10.4 Touchscreen,128 GB,1/29/2025 22:23
Dell Latitude 5440 Intel i5 8GB 256 SSD Win 11 Pro,$528.83 ,8 GB,Intel Core i5 13th Gen.,Dell Latitude 5440,Dell,Intel UHD Graphics,14 in,512 GB,1/29/2025 22:22
TOUCH DELL INSPIRON 7415 2-IN-1/RYZEN 7 5700/16GB RAM/256GB NVME SSD/FHD/BACKLIT,US $299.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1/29/2025 22:22
"HP 16"" WUXGA AI Laptop, Intel Core Ultra 5-125U, 8GB RAM, 512GB SSD, Backlit KB",$479.00 ,8 GB,Core Ultra 5,HP Pavilion 16-af0066st,HP,N/A,16 in,512 GB,1/29/2025 22:23
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 8GB 128GB SSD Webcam Win11 Home Red",$194.37 ,8 GB,Intel Pentium,HP LAPTOP 15-FD,HP,N/A,15.6 in,128 GB,1/29/2025 22:22
