Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,"Apple MacBook Pro Core i7 2.5GHz 13"" (2017) (MPXT2LL/A) 16GB RAM 256GB SSD, Good",US $279.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:15:33
Laptops,"Apple MacBook Pro MPXV2LL/A 13�� Core i5 3.1GHz 16GB RAM 256GB SSD, Gray, Good",$319.99,16 GB,Core i5 (I5-7267U),A1706,Apple,N/A,13.3 in,256 GB,2025-01-28 17:16:04
Laptops,"Apple MacBook Pro 13.3"" (256GB SSD, Intel Core i5 2.70GHz, 16GB RAM)",$159.00,16 GB,Intel Core i5 5th Gen.,MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-28 17:13:55
Laptops,"Apple Macbook Pro 13"" Core I5 2.5GHZ 8gb RAM 120gb SSD OS 10.15 + Changer",$105.00,16 GB,Intel Core i5 3rd Gen.,MacBook Pro,Apple,N/A,13.3in.,120 GB,2025-01-28 17:16:41
Laptops,"2022 A2338 Apple Macbook Pro 13"" M2 8gb 256gb Мас14,7 MNEH3LL/A Space Gray #4",$598.98,8 GB,Apple M2,A2338,Apple,N/A,13 in,256 GB,2025-01-28 17:14:44
Laptops,Apple MacBook Air 13.3 (256GB SSD; Intel Core i7-5650U; 2.2GHz; 8GB) Laptop,$199.99,8 GB,Intel Core i7 5th Gen.,MacBook Air,Apple,N/A,13 in,256 GB,2025-01-28 17:17:14
Laptops,"FOR PARTS - Apple MacBook Pro 13"" 2.8GHz i7 16GB RAM 256GB Space Gray - See Desc",$70.00,16 GB,Intel Core i7 8th Gen.,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-28 17:16:07
Laptops,"Apple A1990 MacBook Pro 15"" Intel Core i7 2.60GHz 32GB RAM 512 SSD 2019 [:read:]",US $375.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:15:32
Laptops,"Apple A1502 RETINA 13"" MacBook Pro i5 2.4GHz 8GB DDR3 121.3 GB SSD BIG SUR",$149.00,4 GB,Core i5 (I5-4258U),MacBook Pro (Retina),Apple,N/A,13 in,128 GB,2025-01-28 17:14:50
Laptops,"Apple MacBook Core m3 1.2GHz 8GB RAM 256GB SSD 12"" Gold MNYK2LL/A (2017) - Good",$294.97,8 GB,Core m3,Apple MacBook,Apple,N/A,12 in,256 GB,2025-01-28 17:15:08
Laptops,"2020 A2251 Apple Macbook Pro 13"" 2ghz  4C i5 16gb 512GB MacBookPro16,2 #317",$378.98,16 GB,Intel Core i5 8th Gen.,A2251,Apple,N/A,13 in,512 GB,2025-01-28 17:16:31
Laptops,"Apple Macbook Pro 13"" (2015) - i5 2.7GHZ 8GB 256GB SSD - OS Monterey - Warranty",$189.05,8 GB,Intel Dual Core i5,A1502,Apple,N/A,13 in,256 GB,2025-01-28 17:17:10
Laptops,Apple Macbook Pro Mid 2016 13 A1708 I5 2.0GHz 16GB 256GB SSD MLL42LL/A Space Gra,$205.00,16 GB,Intel Core i5 6th Gen.,A1708,Apple,N/A,13.3 in,256 GB,2025-01-28 17:16:09
Laptops,"Apple MacBook Pro 15"" (Intel Core i7 3rd Gen, 2.66 GHz, 8GB RAM, 256GB SSD)....",$149.99,8 GB,Intel Core i7 3rd Gen.,MacBook Pro,Apple,N/A,15 in,256 GB,2025-01-28 17:15:58
Laptops,MacBook Pro 13 Touch Bar Silver 2019 1.4 GHz Intel Core i5 16GB 256GB Excellent,$389.99,16 GB,Intel Core i5 8th Gen.,MacBook Pro,Apple,N/A,13.3 in.,256 GB,2025-01-28 17:15:18
Laptops,"Apple MacBook 2016 12"" Intel Core m5-6Y54 512GB SSD 8GB DDR3 Mac OS A1334",US $189.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:14:23
Laptops,"Apple MacBook Air Core i5 1.8GHz 128GB SSD 13"" MQD32LL/A (2017) Used-Excellent",$229.97,8 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:14:00
Laptops,MacBook Air 13 Space Gray 2020 M1 8-Core CPU/7-Core GPU 8GB 256GB - Good,$429.99,8 GB,Apple M1,MacBook Air,Apple,N/A,13 in,256 GB,2025-01-28 17:15:26
Laptops,"7X 13""  Apple MacBook Pro Touchbar EMC 3163 A1708 A1706 FAST SHIP AS-IS READ**",$399.00,8 GB,Intel Core i5 7th Gen.,MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-28 17:18:20
Laptops,"Apple MacBook Pro Core i5 2.7GHz 8GB RAM 128GB SSD 13"" MF839LL/A - Very Good",US $209.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:14:50
Laptops,"2012 Apple MacBook Pro Dual Core Intel i5 2.5 Ghz 13""",$40.00,4 GB,Intel Core i5 3rd Gen.,A 1278,Apple,N/A,13 in,N/A,2025-01-28 17:16:49
Laptops,"2018 A1932 Apple Macbook Air 13"" 1.6Ghz i5 16gb 512gb Gray MacBookAir8,1 #162",$248.98,16 GB,Intel Core i5 6th Gen.,A1932,Apple,N/A,13 in,512 GB,2025-01-28 17:16:35
Laptops,"*RARE* 2017 APPLE MACBOOK 12"" RETINA DISPLAY 256GB / 8GB / INTEL M3, ONLY 57 BC!",$279.00,8 GB,Intel Core m3 7th Gen.,MacBook,Apple,N/A,12 in,256 GB,2025-01-28 17:16:44
Laptops,"Apple MacBook Air Core i5 1.6GHz 4GB RAM 128GB SSD 11"" MJVM2LL/A 2015 Very Good",$179.97,4 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,11.6 in,128 GB,2025-01-28 17:15:50
Laptops,"GRADE B - 2014 Apple MacBook Air A1466 13"" - Core i5  4GB RAM 128GB SSD",$99.99,4 GB,Intel Core i5 4th Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:15:17
Laptops,"Apple Macbook MacBook Air (13-inch, Early 2015) Silver i7 2.2GHZ 8GB 512GB SSD",$139.95,8 GB,Intel Core i7 2.2 GHz,MacBook Air,Apple,N/A,13 in,512 GB,2025-01-28 17:13:36
Laptops,"Apple MacBook Air 11.6"" 128GB SSD Intel Core i5 8GB RAM A1465 OS 10.8 M-LION",$80.00,8 GB,Intel Core i5 5th Gen.,Apple MacBook Air A1465,Apple,N/A,11.6 in,128 GB,2025-01-28 17:14:47
Laptops,"Apple MacBook Pro 15"" Core i7 Retina 2.7GHz 16GB RAM 512GB SSD GRAY",$359.00,16 GB,Intel Core i7,MacBook Pro,Apple,N/A,15 in,512 GB,2025-01-28 17:14:25
Laptops,"Apple MacBook Core M 1.3GHz 8GB RAM 512GB SSD 12"" Silver MF865LL/A (2015) - Good",$254.97,8 GB,Intel Core M,Apple MacBook,Apple,N/A,12 in,512GB,2025-01-28 17:14:03
Laptops,"Apple MacBook Air Core i3 1.1GHz 8GB RAM 128GB SSD 13"" MWTK2LL/A (2020) - Good",$389.97,8 GB,Intel Core i3,Apple MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:17:30
Laptops,"NEW Apple 12"" MacBook (Late 2018, Gold) 256GB SSD",US $999.00,8GB,Intel Core m3 7th Gen.,N/A,Apple,N/A,12 in,N/A,2025-01-28 17:17:01
Laptops,"Apple MacBook Air 2015 11.6"" Intel  i5 128GB SSD 8GB RAM Mac OS A1465 #0044",$95.00,8 GB,Intel Core i5-5250U,A1465,Apple,N/A,11.6 in,128 GB,2025-01-28 17:18:28
Laptops,"Apple MacBook Air A1465 Mid 2013 11.6"" HD Core i5 1.3GHz 4GB 128GB MAC OS Mojave",$139.99,4 GB,Intel Core i5 4th Gen.,MacBook Air,Apple,N/A,11.6 in,128 GB,2025-01-28 17:14:33
Laptops,Apple Macbook Air A1466 13.3 i5-4260U 1.4 Ghz 4 GB 256 GB SSD Big Sur,$64.99,N/A,i5-4260U,N/A,Apple,N/A,13.3,N/A,2025-01-28 17:14:31
Laptops,Apple Macbook Pro Gray Touch Bar Core i5 1.4GHz 13in 128GB 8GB A2159 No WiFi,US $200.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:16:05
Laptops,Apple Macbook Air 13.3-Inch 1.8GHz i5 8GB 128GB-256GB w/Bundle Monterey OSX,$199.00,8 GB,Core i5 (I5-5350U),"Apple MacBook Air 13"" (2017)",Apple,N/A,13 in,N/A,2025-01-28 17:16:51
Laptops,Apple Macbook Pro Core i5 2.6GHz 13in Retina 256GB 8GB A1502 Excellent Condition,US $199.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:15:37
Laptops,"Apple MacBook Pro Retina A1989 13"" Core i5 16GB SSD 256GB Gray 2018",US $319.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:16:01
Laptops,"2017 Apple MacBook Pro A1708 Space Gray 13"" i5 2.3GHz 8GB RAM 256GB SSD #0001",$158.00,8 GB,Intel Core i5,A1708,Apple,N/A,13 in,256 GB,2025-01-28 17:13:42
Laptops,"Apple Macbook Pro 13"" Laptop i5 + 8GB RAM + 128GB SSD HD. OS Catalina",$129.00,8 GB,Intel Core i5 3rd Gen.,MacBook Pro,Apple,N/A,13 in,128 GB,2025-01-28 17:15:45
Laptops,"Apple MacBook Pro Retina 16"" | 2019 2.6 i7 16GB 512GB SSD Space Gray - Very Good",$469.00,16 GB,Intel Core i7,MVVJ2LL/A,Apple,N/A,16'',512 GB,2025-01-28 17:13:59
Laptops,"2022 A2338 Apple Macbook Pro 13"" M2 8gb 256gb Space Gray Мас14,7 #145 MNEH3LL/A",$598.98,8 GB,Apple M2,A2338,Apple,N/A,13 in,256 GB,2025-01-28 17:14:54
Laptops,Apple Macbook Pro Laptop 13 Inch - A2159,$230.00,N/A,Intel Core i5 8th Gen.,Apple Pro,Apple,N/A,13 in,N/A,2025-01-28 17:16:46
Laptops,"13.3"" Apple MacBook Air 2013 a1466 Intel i5 4th Gen 8GB RAM 128GB SSD W/ AC",$69.99,8 GB,Intel Core i5 4th Gen.,MacBook Air,Apple,N/A,13.3 in,128 GB,2025-01-28 17:14:03
Laptops,"Apple MacBook Air Core i5 1.7GHz 4GB RAM 128GB SSD 11"" MD224LL/A 2012 Very Good",$189.97,4 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,11 in,128 GB,2025-01-28 17:14:04
Laptops,"Apple MacBook Air Core i7 2.2GHz 8GB RAM 256GB SSD 13"" Z0UU1LL/A (2017) - Good",$249.97,8 GB,Intel Core i7,Apple Macbook Air,Apple,N/A,13.3 in,256 GB,2025-01-28 17:18:21
Laptops,"Apple MacBook Air Core i5 1.4GHz 4GB RAM 256GB SSD 13"" MD761LL/B 2014",$89.00,4 GB,Intel Core i5,Apple MacBook Air,Apple,N/A,13.3 in,256 GB,2025-01-28 17:16:28
Laptops,"Apple MacBook Pro Laptop Core i5 2.4GHz 8GB RAM 256GB SSD 13"" ME865LL/A",$199.00,8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-28 17:15:10
Laptops,"Apple MacBook Pro Laptop Core i5 2.4GHz 8GB RAM 256GB SSD 13"" ME865LL/A",$269.99,8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13.3 in,256 GB,2025-01-28 17:16:04
