Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Data not available,17.4875,45.2,,Unknown,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Android @Ios,16.0,2025-02-02 20:30:31
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,12.4875,45.2,,Fastrack,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,Android @Ios,16.0,2025-02-02 20:30:31
"beatXP Unbound Neo 1.8"" Super AMOLED Display, BT Callin...",12.4875,45.2,,Unknown,"Unbound Neo 1.8"" Super AMOLED Display, BT Calling, 500nits Brightness",Android @Ios,16.0,2025-02-02 20:30:31
GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,6.3875,45.2,,Unknown,I8 Pink-A1 Full Screen Touch Watch Specially Made for Girl & Women,Android and ios,1.0,2025-02-02 20:30:31
"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...",12.4875,45.2,,Unknown,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",Android @Ios,16.0,2025-02-02 20:30:31
Satyam TRADERS T800 Ultra Modern Smart Watch Series 8 S...,6.6875,45.2,,Unknown,T800 Ultra Modern Smart Watch Series 8 S3,Android @Ios,16.0,2025-02-02 20:30:31
Veritas Enterprises T800 Ultra Connect with Bluetooth C...,8.3625,45.2,,Unknown,"T800 Ultra Connect with Bluetooth Calling, Voice Assistant",Android @Ios,16.0,2025-02-02 20:30:31
"GameSir Silver T800 Ultra Smartwatch Stainless Steel, B...",9.7375,45.2,,Unknown,"Silver T800 Ultra Smartwatch Stainless Steel, BT Calling, Fitness & Music",Android and ios,512.0,2025-02-02 20:30:31
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",14.9875,45.2,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android @Ios,16.0,2025-02-02 20:30:31
Sanvitraders T900 Smartwatch,8.7375,45.2,,Unknown,T900,Android @Ios,16.0,2025-02-02 20:30:31
Data not available,6.6875,45.2,,Unknown,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Android @Ios,16.0,2025-02-02 20:30:31
Data not available,17.4875,45.2,,Unknown,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Android @Ios,16.0,2025-02-02 20:30:58
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,12.4875,45.2,,Fastrack,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Android @Ios,16.0,2025-02-02 20:30:58
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,17.4875,45.2,,Fastrack,Revoltt FS2+|2.01'' Display|Functional Crown|BT Calling|AI Voice Assistance|IP68,Android @Ios,16.0,2025-02-02 20:30:58
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,17.4875,45.2,,Fastrack,Revoltt XR1-1.38|BT Calling|Fast Charge|100+ Sports Mode|IP68|Calculator|Fashion,Android @Ios,16.0,2025-02-02 20:30:58
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,13.7375,45.2,,Unknown,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",Android @Ios,16.0,2025-02-02 20:30:58
Yash Enterprises T800 Android Smart Watch2 Men 4G Netwo...,8.275,45.2,,Yash Enterprises,T800 Android Smart Watch2 Men 4G Network BT Call GPS T800 Ultra,Android @Ios,16.0,2025-02-02 20:30:58
dicrobots T800 ultra smart watch with wireless charging...,9.4875,45.2,,Unknown,T800 ultra smart watch with wireless charging Smartwatchs,Android @Ios,256.0,2025-02-02 20:30:58
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,13.7375,45.2,,Fastrack,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,Android @Ios,16.0,2025-02-02 20:30:58
