Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
SAMSUNG Galaxy Fit3 | AMOLED Display & Aluminium Body |...,47.4875,45,,Samsung,Galaxy Fit3 | AMOLED Display & Aluminium Body | Upto 13Day Battery | 5ATM & IP68,Android and ios,32,1/29/2025 2:23
"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",18.7375,45,,Unknown,"Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest App, QR Code Tray","iOS 9 and Above, Android 6 and Above",32,1/29/2025 2:23
Data not available,11.8625,45,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android and ios,32,1/29/2025 2:23
"Boult Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+...",18.725,45,,Unknown,"Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+ Watch Faces, Health Track,IP67",Android and ios,32,1/29/2025 2:23
"Boult Trail Pro 2.01''3D Curved Display, 600Nits, 250+ ...",18.7375,45,,Unknown,"Trail Pro 2.01''3D Curved Display, 600Nits, 250+ Watch Faces, Health Track, IP68",Android and ios,32,1/29/2025 2:23
Onikuma T800 smart watch & SIM card 4G network Android ...,8.1,45,,Unknown,T800 smart watch & SIM card 4G network Android System,ANDROID AND iOS,2,1/29/2025 2:23
"boAt Storm Call 3 Plus w/ Turn by Turn Navigation, QR T...",13.7375,45,,Unknown,"Storm Call 3 Plus w/ Turn by Turn Navigation, QR Tray, 4.97cm(1.96'') HD Display",Android and ios,32,1/29/2025 2:23
"Noise Crew 1.38"" Display with Bluetooth Calling, Women'...",17.475,45,,Unknown,"Crew 1.38"" Display with Bluetooth Calling, Women's Edition, Metallic finish",Android and ios,32,1/29/2025 2:23
"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...",27.4875,45,,Unknown,"Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design",Android and ios,32,1/29/2025 2:23
"Pebble Hive 1.39""HD Octa Display,BT Calling, Health Sui...",21.2375,45,,Unknown,"Hive 1.39""HD Octa Display,BT Calling, Health Suite, DIY Watch Face, World Clock",Android and ios,32,1/29/2025 2:23
