Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Data not available,17.4875,44,,Unknown,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",watchOS 10,64,2/5/2025 17:28
"Boult Drift Max 2.01''HD Screen,BT Calling, Working Cro...",14.9875,44,,Unknown,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",watchOS 10,64,2/5/2025 17:28
"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...",18.7375,44,,Unknown,"Lunar Discovery w/ Turn by Turn Navigation, 3.53 cm HD Display & BT Calling",watchOS 10,64,2/5/2025 17:28
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",19.9875,44,,Unknown,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",watchOS 10,64,2/5/2025 17:28
Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,18.7375,35.3,,Unknown,"Ninja Talk 35.3mm (1.39) Round Bluetooth Calling Metal Body,120 Sports Modes",watchOS 10,64,2/5/2025 17:28
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...",13.7375,44,,Unknown,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",watchOS 10,64,2/5/2025 17:28
"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Displ...",12.4875,44,,Unknown,"Max Pro Infinity 2.01""Ultra HD 2.5D Curved Display,BT Calling,AI Voice Assistant",watchOS 10,64,2/5/2025 17:28
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,13.7375,44,,Unknown,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",watchOS 10,64,2/5/2025 17:28
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...",21.2375,44,,Unknown,"Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling",watchOS 10,64,2/5/2025 17:28
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, ...",16.2375,44,,Unknown,"Trail 2.01"" 3D Curved HD Display, Working Crown, 190+ Watch Faces, Health Track",watchOS 10,64,2/5/2025 17:28
Samsung Galaxy Gear S SM- Curved Super -,82.95,44,305,Samsung,Samsung Galaxy Gear,Tizen,32,2/5/2025 17:28
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",13.7375,44,,Unknown,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",watchOS 10,64,2/5/2025 17:28
"beatXP Unbound Neo 1.8"" Super AMOLED Display, BT Callin...",12.4875,44,,Unknown,"Unbound Neo 1.8"" Super AMOLED Display, BT Calling, 500nits Brightness",watchOS 10,64,2/5/2025 17:28
"Boult Trail Pro 2.01''3D Curved Display, 600Nits, 250+ ...",22.4875,44,,Unknown,"Trail Pro 2.01''3D Curved Display, 600Nits, 250+ Watch Faces, Health Track, IP68",watchOS 10,64,2/5/2025 17:28
PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,7.375,44,,Unknown,"T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness",Android and ios,2,2/5/2025 17:28
