Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Asus Chromebook C302C FlipM76y75,92.22,16.0,Core i7,Asus Chromebook C302C FlipM76y75,,Unknown Graphics,15.0,512.0,2025-02-02 16:59:43
.6Dell Latitude3190 Pentium NVMEComputer,94.99,8.0,Unknown CPU,Dell Latitude 3190,Dell,Intel® UHD Graphics 605,11.6,256.0,2025-02-02 16:59:57
Lenovo 300e .62inCeleron dows 10,99.5,4.0,Unknown CPU,Lenovo 300e 2nd Gen,Lenovo,Intel UHD Graphics 600,11.6,64.0,2025-02-02 17:00:26
Dell Latitude 7490 14 8250U dows,99.99,16.0,Core i5,Latitude,Dell,Unknown Graphics,14.0,128.0,2025-02-02 17:00:12
Lenovo Slim 14Chromebook Mediatek ARMStorage82XJ002DUS,99.99,4.0,Unknown CPU,Lenovo IP Slim 3 Chrome 14M868,Lenovo,ARM Mali-G52,14.0,64.0,2025-02-02 17:00:03
HP Chromebook 13 G1M7,102.58,16.0,core i5,HP Chromebook 13 G1M7,,Unknown Graphics,15.0,512.0,2025-02-02 16:59:47
Dell Latitude 3310Computer dows 10 Celeron,103.33,8.0,Unknown CPU,Dell Latitude 3310,HP,Intel HD Graphics 520,13.3,128.0,2025-02-02 17:00:13
ASUS CX1500CKANanoEdgeN4500 Military Grade Chromebook,109.0,8.0,Unknown CPU,CX1500CKA-WB84F,ASUS,Intel UHD Graphics,15.6,64.0,2025-02-02 17:00:22
Lenovo Yoga e.6 Pentium dows 10,109.45,4.0,Unknown CPU,Lenovo ThinkPad Yoga 11e 5th Gen,Lenovo,Intel HD Graphics 620,11.6,256.0,2025-02-02 17:00:17
CHUWI14.1 Celeron 2.8GH Memory HDMI,114.99,6.0,Unknown CPU,HeroBook Pro,CHUWI,Intel UHD Graphics 600,14.1,128.0,2025-02-02 16:59:56
Dell Latitude Computer HDi3 dows,119.4,16.0,Core i3,Dell Latitude 3310,Dell,Intel HD Graphics 520,13.3,128.0,2025-02-02 17:00:20
HP Book X360G2 .6 dows 10,119.4,8.0,Core i5,HP ProBook X360 11 G2 EE,HP,Intel UHD Graphics,11.6,128.0,2025-02-02 17:00:09
Dell LATITUDE 54008365U 16128dowsHome,119.99,16.0,Core i5,Dell Latitude 5400,Dell,Unknown Graphics,14.0,128.0,2025-02-02 16:59:54
2025 Ultra R7 4700U/R5 4500U Backlitdows 36,120.0,16.0,Ryzen 7,2025 Ultra,AMD,Unknown Graphics,14.0,512.0,2025-02-02 16:59:56
Acer Chromebook Spin 511 | N4100 Touch+ Chrome OS #,123.31,16.0,Ryzen 7,Acer Chromebook Spin 511 | N4100 Touch+ Chrome OS #,,Unknown Graphics,15.0,512.0,2025-02-02 17:00:30
HP EliteBook 8470p3230M,123.94,8.0,core i5,HP EliteBook 8470P,Intel,Unknown Graphics,14.1,512.0,2025-02-02 17:00:03
Dell Latitude E5520,124.34,16.0,Unknown CPU,Dell Latitude E5520,,Unknown Graphics,15.0,512.0,2025-02-02 16:59:42
Dell Latitude 5480 7300u WiFi 14 10,129.99,8.0,Core i5,Dell Latitude 5480,Dell,Intel HD Graphics,14.0,256.0,2025-02-02 17:00:11
CHUWI 14.1''Celeron Memory Natural,129.99,16.0,Core i5,CHUWI 14.1''Celeron Memory Natural,,Unknown Graphics,15.0,512.0,2025-02-02 17:00:01
HP EliteBook Revolve 810 G3 .6TOUCH10,129.99,8.0,core i5,HP Revolve 810 G3,HP,Unknown Graphics,11.6,512.0,2025-02-02 16:59:57
Dell Inspiron 35931035G1 Pro Cord,130.0,16.0,Core i3,Dell Inspiron 35931035G1 Pro Cord,,Unknown Graphics,15.0,512.0,2025-02-02 17:00:04
Dell Latitude 3310 Computeri3 dows,133.09,8.0,Core i3,Dell Latitude 3310,Dell,Intel UHD Graphics,13.3,128.0,2025-02-02 17:00:01
CHUWI 14.1''ComputerdowsHome HD,134.99,8.0,Unknown CPU,CHUWI Herobook Pro,Chuwi,"Intel UHD Graphics 600, 650MHz",15.0,128.0,2025-02-02 16:59:51
Microsoft Surface12.3 10 w/Pen & Case,137.54,512.0,Unknown CPU,Microsoft Surface Pro,Microsoft,Unknown Graphics,12.3,512.0,2025-02-02 17:00:29
DelldowsLatitude 5470,139.0,8.0,Core i5,Dell Latitude E5470,Dell,Intel HD Graphics,14.1,256.0,2025-02-02 17:00:30
HP X360G5 Pentiumdows 10,139.66,8.0,Unknown CPU,HP ProBook X360 11 G5 EE,HP,Intel UHD Graphics 605,11.6,128.0,2025-02-02 16:59:46
Dell Latitude 13Computer dows 10,139.89,8.0,Core i5,Dell Latitude 3340,Dell,Intel HD Graphics 4400,13.3,512.0,2025-02-02 17:00:09
~CLEARANCE14Dell Latitude !,139.95,8.0,Core i5,Dell Latitude E6230,Dell,Intel HD Graphics,12.5,256.0,2025-02-02 17:00:21
Dell Latitude Memory 10,139.99,8.0,Core i5,Dell Latitude 5250,Dell,Intel HD Graphics 5500,12.5,256.0,2025-02-02 17:00:00
