Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
HP EliteBook Revolve 810 G3 .6TOUCH10,149.99,8.0,Core i7,HP Revolve 810 G3,HP,Unknown Graphics,11.6,512.0,2025-01-31 23:52:56
Dell Latitude E727012.5HD 2.Backlit 10,149.99,8.0,Core i5,Dell Latitude E7270,Dell,Intel HD Graphics 520,12.5,256.0,2025-01-31 23:53:41
Dell Latitude 5410 10210U14 NVMe dows,149.99,16.0,Ryzen 5,Dell Latitude 5410 10210U14 NVMe dows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:39
Chromebook Lenovo IdeaPad 15'' 82N4002SUS,149.99,16.0,Core i7,Chromebook Lenovo IdeaPad 15'' 82N4002SUS,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:12
Dell Inspiron 35931035G1 Pro Cord,150.0,16.0,Core i5,Dell Inspiron 15 3593,Dell,Intel UHD Graphics,15.6,256.0,2025-01-31 23:54:04
HP 250 G5 6200U FAST G!,150.0,16.0,Ryzen 5,HP 250 G5 6200U FAST G!,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:57
HP Pavilion 15N274NFA10Disk,150.0,16.0,Core i3,HP Pavilion 15N274NFA10Disk,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:47
HP 14dq0714ds 14in N4120 eMMC,154.99,4.0,Unknown CPU,HP 14dq0714ds 14in N4120 eMMC,HP,Unknown Graphics,14.0,64.0,2025-01-31 23:54:04
Lenovo IdeaPad V33015IKBi38130U10,155.76,16.0,Core i7,Lenovo IdeaPad V33015IKBi38130U10,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:30
HP Pavilion 15N274NFA10Disk,155.87,16.0,Core i5,HP Pavilion 15N274NFA10Disk,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:42
~ClearanceDELL Latitude ~ dows 10,159.99,8.0,Core i5,Dell Latitude E5570,Dell,Intel HD Graphics,15.6,256.0,2025-01-31 23:52:54
Dell Latitude 5491 8400H14NVMe dows,161.99,16.0,Core i5,Dell Latitude 5491 8400H14NVMe dows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:51
Microsoft Surface1807 12.37300ULTE W10P G,164.99,8.0,Core i5,Microsoft Surface Pro,Microsoft,Intel HD Graphics,12.3,256.0,2025-01-31 23:53:43
Toshiba Tecra X407300U14USBHDMI Backlit Keys,165.0,8.0,Core i5,Toshiba Tecra X407300U14USBHDMI Backlit Keys,Toshiba,Unknown Graphics,14.0,256.0,2025-01-31 23:52:57
HP EliteBook 14Computer dows 10,165.34,8.0,Core i5,HP EliteBook 840 G2,HP,Intel HD Graphics 520,14.0,256.0,2025-01-31 23:52:59
Lenovo inkPad L560 HD dows 10,169.16,8.0,Core i5,Lenovo ThinkPad L560,Lenovo,Intel HD Graphics 520,15.6,256.0,2025-01-31 23:53:51
~OVERSTOCKLenovo inkPad!,169.99,16.0,Core i5,Lenovo Thinkpad T540p,Lenovo,Intel HD Graphics,15.6,256.0,2025-01-31 23:52:58
Panasonic ToughPad Tablet FZG1 6300U10G,169.99,8.0,Core i5,Panasonic ToughPad FZ-G1,Panasonic,Unknown Graphics,10.1,256.0,2025-01-31 23:52:57
Dell Latitude 7410 14 w 10310U@/ /,169.99,16.0,Unknown CPU,Dell Latitude 7410 14 w 10310U@/ /,Dell,Unknown Graphics,14.0,512.0,2025-01-31 23:53:06
Dell Latitude 7280 |7th| 12| + |#,171.45,16.0,Core i5,Dell Latitude 7280 |7th| 12| + |#,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:35
HP 15FD0083WM HD Pentium N200 H,176.39,4.0,Unknown CPU,15-fd0083wm,HP,Unknown Graphics,15.6,512.0,2025-01-31 23:53:04
Dell Latitude 14Computeri3 dowsHDMI,178.03,16.0,Core i3,Dell Latitude 3410,Dell,Intel UHD Graphics,14.0,256.0,2025-01-31 23:52:52
Dell Latitude Dual dows 10!,179.99,16.0,Core i5,Dell Latitude E5520,Dell,Intel HD Graphics,15.6,512.0,2025-01-31 23:52:56
BrandHP 14dq0760dx 14 --Celeron N4120// eMMC/,179.99,4.0,Unknown CPU,14-dq0760dx,HP,Intel UHD Graphics,14.0,128.0,2025-01-31 23:53:52
Lenovo inkPad 8thdows,179.99,8.0,Core i7,Lenovo Thinkpad T580,Lenovo,Intel® UHD Graphics 620,15.6,256.0,2025-01-31 23:53:42
HP 14EP 14HDi3N305 Moonlight Blue,179.99,8.0,Core i3,14-ep0792wm-RB,HP,Unknown Graphics,14.0,512.0,2025-01-31 23:54:02
dows 10in Quad + W/Bluetooth HDMI,180.99,8.0,Unknown CPU,GBOOK,G-Anica,Intel® UHD Graphics 600,10.0,512.0,2025-01-31 23:53:49
"Dell Latitude 7410,10310UDOWS",184.99,16.0,Core i5,Dell Latitude 7410,Dell,Intel HD Graphics,14.0,512.0,2025-01-31 23:54:00
HP14HDCeleron N4120 eMMC dowsS,185.07,4.0,Unknown CPU,HP 14,HP,Intel UHD Graphics,14.0,64.0,2025-01-31 23:52:52
Lenovo inkPad P50 6700HQ@ QUADRO M1000M L,185.7,16.0,Unknown CPU,See Title/Description,See Title/Description,Unknown Graphics,14.0,512.0,2025-01-31 23:53:55
HP Book X360G6 EE Touch.6 i3 dows,185.71,16.0,Unknown CPU,HP Book X360G6 EE Touch.6 i3 dows,,Unknown Graphics,14.0,512.0,2025-01-31 23:53:45
