Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Dell Latitude 12.5HD dows 10,159.21,8.0,Intel Core i5-6200U,Dell Latitude E7270,Dell,Intel HD Graphics 520,12.5,512.0,1/29/2025 22:23
HP Book 650 G48thdows,159.99,4.0,INTEL CORE I7-8TH GEN,HP ProBook,HP,Intel HD Graphics,14.0,256.0,1/29/2025 22:23
"ASUS VivoBook Pentium N5030,- L510MAWS21",160.04,4.0,Intel Pentium Silver N5030,L510MA-WS21-RB,ASUS,Unknown Graphics,15.6,512.0,1/29/2025 22:23
ASUS Vivobook Go 14 ( 7320U//Radeon /// S),169.99,4.0,AMD Ryzen 3 7000 Series,ASUS VivoBook,ASUS,AMD Radeon Graphics,14.0,128.0,1/29/2025 22:22
~OVERSTOCKLenovo inkPad!,169.99,16.0,Intel Core i5 4th Gen.,Lenovo Thinkpad T540p,Lenovo,Intel HD Graphics,15.6,256.0,1/29/2025 22:23
Lenovo T460s 14 CAM,169.99,12.0,Intel Core i5 6th Gen.,T460s,Lenovo,Intel HD Graphics 520,14.0,256.0,1/29/2025 22:22
Lenovo 14 i3Storage (82QC006KUSRefurb,169.99,8.0,Intel Core i3 i3-1215U,82QC006KUS,Lenovo,Intel UHD Graphics,14.0,256.0,1/29/2025 22:23
Dell Latitude 7280 |7th| 12| + |#,172.1,16.0,Intel Core i7 12th Gen.,Dell Latitude 7280 |7th| 12| + |#,,Unknown Graphics,14.0,512.0,1/29/2025 22:22
~CLEARANCE SALEHP Book!,174.95,8.0,Intel Core i5 4th Gen.,HP ProBook,HP,Intel HD Graphics,15.6,256.0,1/29/2025 22:22
DelldowsLatitude 54908th,179.0,16.0,Intel Core i5-8350U,Dell Latitude 5490,Dell,Intel UHD Graphics 620,14.1,256.0,1/29/2025 22:23
~CLEARANCEDell Latitude ~ dows 10,179.95,16.0,Intel Core i5 6th Gen.,Dell Latitude 3560,Dell,Intel HD Graphics,15.6,256.0,1/29/2025 22:22
Dell Latitude Dual dows 10!,179.99,16.0,Intel Core i5 2nd Gen.,Dell Latitude E5520,Dell,Intel HD Graphics,15.6,512.0,1/29/2025 22:23
HP EliteBook 840 G3 14 6600UNVMe+BT10P,180.49,16.0,Intel Core i7 6th Gen.,HP Elitebook 840 G3,HP,Intel HD Graphics 520,14.0,240.0,1/29/2025 22:23
10'' Minidows +Celeron Quad with,181.99,16.0,Intel Celeron N4500,10'' Minidows +Celeron Quad with,,Unknown Graphics,14.0,512.0,1/29/2025 22:23
