Title,Price,Screen_Size_in,Aspect_Ratio,Refresh_Rate_Hz,Response_Time_ms,Brand,Model,Collection Date
Data not available,115.61250000000001,24.0,16:09,75.0,4.0,Unknown,D24-20/D24-40,2025-02-02 20:18:00
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),149.9875,32.0,16:9,75.0,8.0,ZEBRONICS,ZEB -AC32FHD LED,2025-02-02 20:18:00
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",124.98750000000001,15.6,16:9,60.0,25.0,ZEBRONICS,(Zeb-Pixigo A16 (Zeb-KPM 2)),2025-02-02 20:18:00
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),30.8625,17.0,5:4,60.0,5.0,Frontech,MON-0065,2025-02-02 20:18:00
MarQ by Flipkart 68.58 cm (27 inch) Full HD LED Backlit VA Panel Monitor (27FHDMMQTT9B),78.73750000000001,27.0,16:09,100.0,5.0,Unknown,27FHDMMQTT9B,2025-02-02 20:18:00
"Acer 54.61 cm (21.5 inch) Full HD LED Backlit VA Panel with ZeroFrame Design, Ergonomic Stand, Acer Vi...",71.1875,21.5,16:09,100.0,1.0,Acer,EK220Q,2025-02-02 20:18:00
MarQ by Flipkart 68.58 cm (27 inch) Full HD IPS Panel Inbuilt Speakers Monitor (27FHDMEQNNXO),98.73750000000001,27.0,16:09,100.0,1.0,Unknown,27FHDMEQNNXO,2025-02-02 20:18:00
ZEBSTER 50.8 cm (20 inch) HD VA Panel Monitor (Z-GV120),33.737500000000004,20.0,16:09,60.0,8.0,Unknown,Z-GV120,2025-02-02 20:18:00
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,82.48750000000001,23.8,16:09,75.0,4.0,Lenovo,D24-20/D24-40,2025-02-02 20:18:00
"LG 68.58 cm (27 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabiliz...",124.98750000000001,27.0,16:09,100.0,5.0,Unknown,27MR400-BB.CTRRMV,2025-02-02 20:18:00
Frontech - 48.26 cm (19 inch) HD LED Backlit VA Panel Monitor (MON-0001),34.375,19.0,16:09,75.0,3.0,Frontech,MON-0001,2025-02-02 20:18:00
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...",199.9875,32.0,16:9,165.0,12.0,ZEBRONICS,ZEB-AC32FHD LED,2025-02-02 20:18:00
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...",149.9875,27.0,16:09,75.0,4.0,Unknown,S2721HNM / S2721HN,2025-02-02 20:18:00
ZEBRONICS Zebster 46.99 cm (18.5 inch) HD LED Backlit Monitor (ZEBSTER),32.487500000000004,18.5,16.09,60.0,8.0,ZEBRONICS,ZEBSTER,2025-02-02 20:18:00
"Lenovo L-Series 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with 99% sRGB, 1xHDMI1.4, 1xVGA, Tilt...",154.3625,27.0,16:09,100.0,1.0,Lenovo,L27i-4A,2025-02-02 20:18:00
MarQ by Flipkart 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (24FHDMMQTT9B),73.7375,24.0,16:09,100.0,5.0,Unknown,24FHDMMQTT9B,2025-02-02 20:18:00
MarQ by Flipkart 55.88 cm (22 inch) Full HD LED Backlit IPS Panel Monitor (22FHDMEQNNXO),73.7375,22.0,16:09,100.0,1.0,Unknown,22FHDMEQNNXO,2025-02-02 20:18:00
"Lenovo L-Series 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI 1.4, VGA, 2X3W Sp...",89.98750000000001,22.0,16:09,75.0,4.0,Lenovo,L22i-40,2025-02-02 20:18:00
"ZEBRONICS 68.58 cm (27 inch) Full HD IPS Panel with 300 Nits Brightness, HDR10, 99% sRGB 1 x DP, 1 x H...",124.98750000000001,27.0,16:9,180.0,1.0,ZEBRONICS,"ZEB-IGM 102,ZEB-N27A",2025-02-02 20:18:00
"SAMSUNG 68.58 cm (27 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...",119.98750000000001,27.0,16:09,100.0,4.0,Samsung,LS27C330GAWXXL,2025-02-02 20:18:00
Enter 50.8 cm (20 inch) HD VA Panel Gaming Monitor (20 INCH HDMI),34.5,20.0,16:09,60.0,5.0,Unknown,20 INCH HDMI,2025-02-02 20:18:00
Lenovo 68.58 cm (27 inch) Full HD VA Panel with TUV Eye Care Monitor (D27-40/D27-30),99.98750000000001,27.0,16:09,75.0,4.0,Lenovo,D27-40/D27-30,2025-02-02 20:18:00
"Lenovo L-Series 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel with 99% sRGB, 90% DCI-P3, 2xHDMI 2.1...",258.7375,27.0,16:09,100.0,1.0,Lenovo,L27q-4A,2025-02-02 20:18:00
"Acer Nitro 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbui...",99.98750000000001,23.8,16:9,180.0,0.5,Acer,VG240Y,2025-02-02 20:18:00
"ZEBRONICS 46.99 cm (18.5 inch) HD LED Backlit TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, G...",36.237500000000004,18.5,16:09,60.0,8.0,ZEBRONICS,ZEB-V19HD LED,2025-02-02 20:18:00
Data not available,115.61250000000001,24.0,16:09,75.0,4.0,Unknown,D24-20/D24-40,2025-02-02 20:18:59
"LG 68.58 cm (27 inch) Full HD IPS Panel with Dynamic Action Sync, Black Stabilizer, OnScreen Control, ...",99.98750000000001,27.0,16:09,100.0,5.0,Unknown,27MS500-BB.ATRKMVN,2025-02-02 20:18:59
"ZEBRONICS 76.2 cm (30 inch) Curved WFHD VA Panel with 300 Nits Brightness, HDR10, 99% sRGB, 95% DCI-P3...",224.9875,30.0,21:09,200.0,1.0,ZEBRONICS,"ZEB-IGM 106,ZEB-N30A",2025-02-02 20:18:59
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,82.48750000000001,23.8,16:09,75.0,4.0,Lenovo,D24-20/D24-40,2025-02-02 20:18:59
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),30.8625,17.0,5:4,60.0,5.0,Frontech,MON-0065,2025-02-02 20:18:59
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),149.9875,32.0,16:9,75.0,8.0,ZEBRONICS,ZEB -AC32FHD LED,2025-02-02 20:18:59
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),33.112500000000004,20.0,16:09,60.0,3.0,Frontech,MON-0074,2025-02-02 20:18:59
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...",149.9875,27.0,16:09,75.0,4.0,Unknown,S2721HNM / S2721HN,2025-02-02 20:18:59
"BenQ GW2790 68.58 cm (27 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...",131.225,27.0,16:09,100.0,5.0,Unknown,GW2790,2025-02-02 20:18:59
SAMSUNG 68.58 cm (27 inch) Full HD LED Backlit IPS Panel Frameless Monitor (LS27C310EAWXXL),111.23750000000001,27.0,16:09,75.0,5.0,Samsung,LS27C310EAWXXL,2025-02-02 20:18:59
"DELL SE-Series 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 5-Years warranty, Brightness: 250 ...",97.48750000000001,27.0,16:09,75.0,4.0,Unknown,SE2722H,2025-02-02 20:18:59
"Acer 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with EcoDisplay, Mercury Free, Flicker Free, Blu...",111.23750000000001,27.0,16:09,120.0,1.0,Acer,HA270,2025-02-02 20:18:59
"MSI 60.96 cm (24 inch) Full HD IPS Panel with Anti-Flicker Technology, Less Blue, Light, Wide Color Ga...",112.48750000000001,24.0,16:09,180.0,1.0,Unknown,G244F E2,2025-02-02 20:18:59
"DELL 60.96 cm (24 inch) Full HD LED Backlit IPS Panel 99% sRGB, 250 nits brightness , 3H Hardness, Gra...",172.4875,24.0,16:09,100.0,5.0,Unknown,P2425H,2025-02-02 20:18:59
Lenovo 68.58 cm (27 inch) Full HD VA Panel with TUV Eye Care Monitor (D27-40/D27-30),99.98750000000001,27.0,16:09,75.0,4.0,Lenovo,D27-40/D27-30,2025-02-02 20:18:59
"BenQ GW2490T 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with 99% sRGB, Height Adjustable, Eye-ca...",130.6125,24.0,16:09,100.0,5.0,Unknown,GW2490T,2025-02-02 20:18:59
Frontech - 46.99 cm (18.5 inch) HD LED Backlit VA Panel Monitor (MON-0061),34.2875,18.5,16:9,60.0,5.0,Frontech,MON-0061,2025-02-02 20:18:59
"DELL 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 16:9 Aspect Ratio, 300 Nits Brightness (Typi...",112.48750000000001,27.0,16:9,75.0,5.0,Unknown,SE2725H,2025-02-02 20:18:59
BenQ GW 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel Ultra-Slim Bezel Monitor- Height Adjustment...,122.48750000000001,23.8,16:09,60.0,5.0,Unknown,GW2480T,2025-02-02 20:18:59
Frontech Ultima Series DUAL PORTS HDMI & VGA 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (...,87.11250000000001,24.0,16:09,100.0,5.0,Frontech,MON-0080,2025-02-02 20:18:59
"Acer 60.45 cm (23.8 inch) Full HD IPS Panel with-Visioncare, VGA, HDMI, Ergonomic Stand, Flicker-Free ...",83.2,23.8,16:09,100.0,1.0,Acer,EK240Y,2025-02-02 20:18:59
Frontech - 55.88 cm (22 inch) HD LED Backlit VA Panel Monitor (MON-0060),43.737500000000004,22.0,16:10,60.0,3.0,Frontech,MON-0060,2025-02-02 20:18:59
"Acer NITRO 68.58 cm (27 inch) Full HD IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbuilt Speakers, A...",142.375,27.0,16:09,180.0,1.0,Acer,VG270 M3,2025-02-02 20:18:59
"LG 80.01 cm (31.5 inch) Full HD IPS Panel with webOS, Apple AirPlay 2, HomeKit compatibility, 5Wx2 spe...",199.9875,31.5,16:09,60.0,5.0,Unknown,32SR50F-WA.ATREMSN,2025-02-02 20:18:59
"ZEBRONICS 60.96 cm (24 inch) Full HD IPS Panel with 280 Nits Brightness, Built-in Speakers, HDR10, 99%...",99.98750000000001,24.0,16:9,180.0,1.0,ZEBRONICS,"ZEB-IGM 101, ZEB-N24A",2025-02-02 20:18:59
Data not available,115.61250000000001,24.0,16:09,75.0,4.0,Unknown,D24-20/D24-40,2025-02-02 20:19:59
Enter 48.26 cm (19 inch) HD LED Backlit TN Panel Monitor (19 inch HD LED Monitor),34.987500000000004,19.0,16:09,60.0,5.0,Unknown,19 inch HD LED Monitor,2025-02-02 20:19:59
"SAMSUNG 68.58 cm (27 inch) Curved Full HD VA Panel with 1800R Curvature, HDMI, Audio Ports, Flicker Fr...",129.9875,27.0,16:9,75.0,4.0,Samsung,LS27C360EAWXXL/LS27C366EAWXXL,2025-02-02 20:19:59
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...",91.23750000000001,24.0,16:09,100.0,4.0,Samsung,LS24C330GAWXXL,2025-02-02 20:19:59
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),149.9875,32.0,16:9,75.0,8.0,ZEBRONICS,ZEB -AC32FHD LED,2025-02-02 20:19:59
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",124.98750000000001,15.6,16:9,60.0,25.0,ZEBRONICS,(Zeb-Pixigo A16 (Zeb-KPM 2)),2025-02-02 20:19:59
Frontech 48.26 cm (19 inch) HD LED Backlit Monitor (MON-0071),31.625,19.0,16:09,60.0,3.0,Frontech,MON-0071,2025-02-02 20:19:59
"SAMSUNG M5 68.58 cm (27 inch) Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Offic...",182.4875,27.0,16:09,60.0,4.0,Samsung,LS27DM500EWXXL,2025-02-02 20:19:59
"SAMSUNG Odyssey G3 60.96 cm (24 inch) Full HD LED Backlit VA Panel with DP, HDMI, Height/Tilt/Pivot Ad...",143.7375,24.0,16:09,180.0,1.0,Samsung,LS24DG300EWXXL,2025-02-02 20:19:59
"SAMSUNG 60.96 cm (24 inch) Curved Full HD VA Panel with 1800R, HDMI, Audio Ports, HDMI, Flicker Free S...",93.73750000000001,24.0,16:09,75.0,4.0,Samsung,LS24C360EAWXXL,2025-02-02 20:19:59
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),30.8625,17.0,5:4,60.0,5.0,Frontech,MON-0065,2025-02-02 20:19:59
"Frontech Ultima Series TRIPLE INBUILT PORTS HDMI, VGA & TYPE C | 60.96 cm (24 inch) Full HD LED Backli...",88.73750000000001,24.0,1899-12-31,100.0,2.0,Frontech,MON-0077,2025-02-02 20:19:59
Frontech 39.12 cm (15.4 inch) HD LED Backlit VA Panel Monitor (MON-0068),30.875,15.4,16:10,60.0,3.0,Frontech,MON-0068,2025-02-02 20:19:59
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,82.48750000000001,23.8,16:09,75.0,4.0,Lenovo,D24-20/D24-40,2025-02-02 20:19:59
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...",199.9875,32.0,16:9,165.0,12.0,ZEBRONICS,ZEB-AC32FHD LED,2025-02-02 20:19:59
