Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Acer Swift Go 14 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) SFG1441R6G9 in a...,487.375,16.0,Ryzen 5 Hexa Core,SFG14-41,Acer,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-08
DELL Inspiron13th1355U - (16 GB/512 GB /dows 11 Home) 5430,987.375,16.0,Core i7,Inspiron 5430,DELL,Intel Integrated Intel Iris Xe Graphics,35.56 cm (14 inch),512.0,2025-02-08
"DELL Inspiron 15 with Backlit ,13th1355U - (16 GB/512 GB /dows 11 Ho...",859.875,16.0,Core i7,Inspiron 3530,DELL,NA Intel UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
SAMSUNG Galaxy Book413th1355U - (16 GB/512 GB /dows 11 Home) NP750XGJKG3IN ...,805.625,16.0,Core i7,NP750XGJ-KG3IN / NP750XGJ-LG3IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Aspire 3Celeron DualN4500 - (8 GB/512 GB /dows 11 Home) A32445 in and Light...,287.375,8.0,Celeron Dual Core,A324-45,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-08
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
ASUS TUFA15 7 Octa7435HS - (16 GB/512 GB /dows 11 Home/4 GB /NVI...,737.375,16.0,Ryzen 7 Octa Core,Gaming A15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 inch),512.0,2025-02-08
SAMSUNG Galaxy Book413th1335U - (8 GB/512 GB /dows 11 Home) NP750XGJKG1IN...,774.875,8.0,Core i5,NP750XGJ-KG1IN / NP750XGJ-LG1IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
ASUS Vivobook Go 15 5 Quad7520U - (8 GB/512 GB /dows 11 Home) E1504FANJ132WS | ...,433.875,8.0,Ryzen 5 Quad Core,E1504FA-NJ521WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo Lenovo V15 G3 IAP12th1235U - (16 GB/512 GB /dows 11 Home) 82TTA07RIH ...,510.5,16.0,Core i5,82TTA07RIH,Lenovo,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
HP 15s 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 15fc0026AU in and Light Lapt...,391.125,8.0,Ryzen 3 Quad Core,15-fc0026AU,HP,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo IdeaPad Slim 513th13500H - (16 GB/512 GB /dows 11 Home) 16IRL8 in a...,831.125,16.0,Core i5,Slim 5,Lenovo,Intel Integrated Iris Xe,40.64 cm (16 Inch),512.0,2025-02-08
ASUS Vivobook 1513th1335U - (16 GB/512 GB /dows 11 Home) X1504VANJ540WS i...,637.375,16.0,Core i5,X1504VA-NJ540WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
DELL Vostro 352012th1235U - (16 GB/512 GB /dows 11 Home) Vostro 3520 in an...,624.875,16.0,Core i5,Vostro 3520,DELL,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Aspire 312th1255U - (16 GB/512 GB /dows 11 Home) A32451 in and Light...,624.875,16.0,Core i7,A324-51,Acer,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-08
Acer Aspire12th12450H - (16 GB/512 GB /dows 11 Home) AL1552H in and Light...,597.5,16.0,Core i5,Aspire Lite,Acer,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-08
DELL Inspiron13th1355U - (16 GB/512 GB /dows 11 Home) 5430,987.375,16.0,Core i7,Inspiron 5430,DELL,Intel Integrated Intel Iris Xe Graphics,35.56 cm (14 inch),512.0,2025-02-08
"DELL Inspiron 15 with Backlit ,13th1355U - (16 GB/512 GB /dows 11 Ho...",859.875,16.0,Core i7,Inspiron 3530,DELL,NA Intel UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
HP Backlit12th1235U - (8 GB/512 GB /dows 11 Home) 15sfy5002TU in and Ligh...,598.75,8.0,Core i5,15s-fy5002TU,HP,Intel Integrated Integrated,39.62 cm (15.6 Inch),512.0,2025-02-08
HP 5 Hexa5500U - (16 GB/512 GB /dows 11 Home) 15seq2182AU in and Light Lapto...,521.125,16.0,Ryzen 5 Hexa Core,15s- eq2182AU,HP,AMD Radeon Radeon Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK321...,499.875,8.0,Ryzen 3 Quad Core,E1504FA-LK321WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
HP 15 (2024) 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 15fc0154AU in and Ligh...,366.125,8.0,Ryzen 3 Quad Core,15-fc0154AU,HP,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
ASUS Vivobook 1512th1235U - (16 GB/512 GB /dows 11 Home) X1504ZANJ549WS i...,586.125,16.0,Core i5,X1504ZA-NJ549WS,ASUS,Intel Integrated Integrated,39.62 cm (15.6 Inch),512.0,2025-02-08
ASUS Vivobook S 1513th13900H - (16 GB/512 GB /dows 11 Home) K5504VABBN417WS...,1049.875,16.0,Core i9,K5504VAB-BN417WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-08
ASUS TUFA15 5 Hexa7535HS - (16 GB/512 GB /dows 11 Home/4 GB /NVI...,724.875,16.0,Ryzen 5 Hexa Core,FA506NC-HN083W,ASUS,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-08
Acer Aspire 3 i3 13th1305U - (8 GB/512 GB /dows 11 Home) A32453 in and Light ...,387.375,8.0,Core i3,A324-53,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-08
Lenovo Ideapad12th12450H - (16 GB/512 GB /dows 11 Home/4 GB ) 15IAH8...,618.7375,16.0,Core i5,IdeaPad Slim 3,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
Lenovo IdeaPad Slim 513th13500H - (16 GB/512 GB /dows 11 Home) 16IRL8 in a...,831.125,16.0,Core i5,Slim 5,Lenovo,Intel Integrated Iris Xe,40.64 cm (16 Inch),512.0,2025-02-08
ASUS Vivobook GO 15 5 Quad7520U - (16 GB/512 GB /dows 11 Home) E1504FANJ549WS T...,512.375,16.0,Ryzen 5 Quad Core,E1504FA-NJ549WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-08
DELL i3 13th1305U - (8 GB/512 GB /dows 11 Home) Inspiron 3530 in and Light Lap...,471.625,8.0,Core i3,Inspiron 3530,DELL,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-08
HP (2024) i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15fd0061TU in and Light ...,456.2375,8.0,Core i3,15-fd0061TU,HP,Intel Integrated Intel® UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-08
