Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,499.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-05
Lenovo IdeaPad Slim 1 5 Hexa5500U - (16 GB/512 GB /dows 11 Home) 15ALC7 in and...,512.375,16.0,Ryzen 5 Hexa Core,Ideapad Slim 1,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-05
HP12th1235U - (16 GB/512 GB /dows 11 Home) 15sfq5330TU|15fd0111TU in and...,587.375,16.0,Core i5,15s-fq5330TU,HP,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-05
HP 15s i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15sfy5003TU in and Light La...,437.375,8.0,Core i3,15s-fy5003TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-05
HP i3 12th1215U - (16 GB/512 GB /dows 11 Home) 15sfy5004TU in and Light Lapto...,481.125,16.0,Core i3,15s-fy5004TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-05
HP 15s 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 15fc0026AU in and Light Lapt...,392.9375,8.0,Ryzen 3 Quad Core,15-fc0026AU,HP,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-05
Lenovo V1412th1235U - (16 GB/512 GB /dows 11 Home) V 14 in and Light Lapto...,462.375,16.0,Core i5,V14,Lenovo,Intel Integrated Intel,35.81 cm (14.1 inch),512.0,2025-02-05
Acer Swift Go 14 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) SFG1441R6G9 in a...,487.375,16.0,Ryzen 5 Hexa Core,SFG14-41,Acer,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-05
Acer Aspire 3Celeron Dual- (8 GB/512 GB /dows 11 Home) A31145 in and Light Lapto...,249.875,8.0,Celeron Dual Core,Aspire 3,Acer,Intel Integrated UHD,29.46 cm (11.6 inch),512.0,2025-02-05
Acer Swift Go 14 7 Octa7730U - (16 GB/512 GB /dows 11 Home) SFG1441 in and Li...,599.875,16.0,Ryzen 7 Octa Core,SFG14-41,Acer,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-05
"ASUS Vivobook 15, with Backlit , i3 12th1215U - (8 GB/512 GB /dows 11 Ho...",412.375,8.0,Core i3,Vivobook 15,ASUS,Intel Integrated Integrated Intel® UHD Graphics,39.62 cm (15.6 Inch),512.0,2025-02-05
ASUS ROG Ally Z1 OctaExtreme - (16 GB/512 GB /dows 11 Home) RC71LNH001W Handhel...,499.875,16.0,Ryzen Z1 Octa Core,RC71L-NH001W,ASUS,AMD Radeon RDNA 3 AMD,17.78 cm (7 Inch),512.0,2025-02-05
SAMSUNG Galaxy Book413th1355U - (16 GB/512 GB /dows 11 Home) NP750XGJKG3IN ...,849.375,16.0,Core i7,NP750XGJ-KG3IN / NP750XGJ-LG3IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-05
HP Pavilion12th1235U - (16 GB/512 GB /dows 11 Home) 14dv2014TU in and Lig...,712.375,16.0,Core i5,14-dv2014TU,HP,Intel Integrated UHD Graphics,35.56 cm (14 inch),512.0,2025-02-05
Lenovo Lenovo V15 G3 IAP12th1235U - (16 GB/512 GB /dows 11 Home) 82TTA07RIH ...,574.875,16.0,Core i5,82TTA07RIH,Lenovo,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-05
Lenovo IdeaPad 3 i3 12th1215U - (8 GB/512 GB /dows 11 Home) 14IAU7 in and Ligh...,437.375,8.0,Core i3,14IAU7,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-05
ASUS Vivobook 15 i3 12th1215U - (8 GB/512 GB /dows 11 Home) X1504ZANJ322WS in...,412.375,8.0,Core i3,X1504ZA-NJ322WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-05
omson NEOSeries12th1235U - (16 GB/512 GB /dows 11 Home) INN15I in...,374.875,16.0,Core i5,IN-N15I,Thomson,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-05
Lenovo Lenovo V15 G3 IAP12th1255U - (16 GB/512 GB /dows 11 Home) 82TTA073IN ...,687.375,16.0,Core i7,82TTA073IN,Lenovo,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-05
HPi3 12th1215U - (8 GB/256 GB /dows 11 Home) 15sfy5010TU in and Light...,399.875,8.0,Core i3,15s-fy5010TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),256.0,2025-02-05
Lenovo 7 Octa7730U - (16 GB/512 GB /dows 11 Home) V15 G4 in and Light,499.875,16.0,Ryzen 7 Octa Core,V15 G4,Lenovo,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-05
