Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Acer Chromebook Plus Google AI i3 N305 - (8 GB/256 GB /Chrome OS) CB5144H39T7 Chromebo...,249.875,8.0,Core i3,Chromebook Plus,Acer,Intel Integrated UHD,35.56 cm (14 Inch),256.0,2025-02-01
Lenovo IdeaPad Slim 3 Backlit12th12450H - (16 GB/512 GB /dows 11 Home) 15IAH...,628.625,16.0,Core i5,15IAH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
"ASUS Vivobook 15, with Backlit , i3 12th1215U - (8 GB/512 GB /dows 11 Ho...",412.375,8.0,Core i3,Vivobook 15,ASUS,Intel Integrated Integrated Intel® UHD Graphics,39.62 cm (15.6 Inch),512.0,2025-02-01
"ASUS Vivobook 15, with Backlit ,12th1235U - (16 GB/512 GB /dows 11 H...",612.375,16.0,Core i5,X1504ZA-NJ540WS|X1504ZA-NJ542WS,ASUS,Intel Integrated Integrated,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS Vivobook Go 15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FANJ322WS ...,399.875,8.0,Ryzen 3 Quad Core,E1504FA-NJ322WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
SAMSUNG Galaxy Book4 Metal i3 13th1315U - (8 GB/512 GB /dows 11 Home) NP750XGJL...,474.875,8.0,Core i3,NP750XGJ-LG4IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS TUFF17 - AI Powered 11th11400H - (8 GB/512 GB /dows 11 Ho...,599.875,8.0,Core i5,FX706HF-HX018W,ASUS,NVIDIA GeForce RTX 2050,43.94 cm (17.3 Inch),512.0,2025-02-01
Acer Aspire 3 i3 13th1305U - (8 GB/512 GB /dows 11 Home) A32453 in and Light ...,399.875,8.0,Core i3,A324-53,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Acer Aspire 3Celeron DualN4500 - (8 GB/512 GB /dows 11 Home) A32445 in and Light...,287.375,8.0,Celeron Dual Core,A324-45,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Acer Swift Go 14AIUltra 5 125H - (16 GB/512 GB /dows 11 Home) SFG14...,999.875,16.0,Core Ultra 5,SFG14-73T,Acer,Intel Integrated Arc Graphics,35.56 cm (14 Inch),512.0,2025-02-01
ASUS Vivobook S 15 OLEDEVO HSeries13th13500H - (16 GB/512 GB /dows 1...,962.375,16.0,Core i5,S5504VA-MA541WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-01
MSI in 1512th12450H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA GeF...,649.875,16.0,Core i5,Thin 15 B12UCX-1695IN,MSI,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-01
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-01
Lenovo IdeaPad 1 7 Octa5700U - (16 GB/512 GB /dows 11 Home) 15ALC7 in and Ligh...,524.875,16.0,Ryzen 7 Octa Core,15ALC7,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-01
HP 15s i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15sfy5003TU in and Light La...,437.375,8.0,Core i3,15s-fy5003TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo IdeaPad Slim 312th12450H - (8 GB/512 GB /dows 11 Home) 14IAH8 in an...,608.75,8.0,Core i5,14IAH8,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
MSI Modern 1412th1235U - (8 GB/512 GB /dows 11 Home) Modern 14 C12M440IN ...,462.375,8.0,Core i5,Modern 14 C12M-440IN,MSI,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-01
ASUS Vivobook 15 i3 12th1215U - (16 GB/512 GB /dows 11 Home) X1502ZAEJ993WS i...,424.875,16.0,Core i3,X1502ZA-EJ993WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS Vivobook 1512th1235U - (8 GB/512 GB /dows 11 Home) X1504ZANJ527WS|X150...,549.875,8.0,Core i5,X1504ZA-NJ527WS|X1504ZA-NJ522WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
omson NEOSeries12th1235U - (8 GB/512 GB /dows 11 Home) INN15I in ...,349.875,8.0,Core i5,IN-N15I,Thomson,Intel Integrated Iris Xe,39.62 cm (15.6 inch),512.0,2025-02-01
ASUS Vivobook Go 15 OLED 5 Quad7520U - (8 GB/512 GB /dows 11 Home) E1504FALK521...,537.375,8.0,Ryzen 5 Quad Core,E1504FA-LK521WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
SAMSUNG Galaxy Book413th1335U - (16 GB/512 GB /dows 11 Home) NP750XGJKG2IN ...,711.2375,16.0,Core i5,NP750XGJ-KG2IN / NP750XGJ-LG2IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
Lenovo i3 12th- (16 GB/512 GB /dows 11 Home) V14 in and Light,437.375,16.0,Core i3,V series,Lenovo,NA Intel,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo IdeaPad 513th13420H - (16 GB/512 GB /dows 11 Home) 14IRH9 2 in 1 Lapt...,906.125,16.0,Core i5,14IRH9,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Acer Aspire 3 i3 13th1305U - (8 GB/512 GB /dows 11 Home) A32453 in and Light ...,399.875,8.0,Core i3,A324-53,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
ASUS TUFF15 - AI Powered 11th11260H - (8 GB/512 GB /dows 11 Ho...,599.875,8.0,Core i5,Gaming F15,ASUS,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-01
DELLCeleron Dual- (4 GB/256 GB /4 GB EMMC Storage/dows 11 ) 5470 ULTRA SLIM in...,249.375,4.0,Celeron Dual Core,DELL ???? 5470 (ULTRA SLIM),DELL,NA Intel,35.56 cm (14 inch),256.0,2025-02-01
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-01
Lenovo IdeaPad Slim 312th12450H - (8 GB/512 GB /dows 11 Home) 14IAH8 in an...,608.75,8.0,Core i5,14IAH8,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
HP 255 G95 Hexa 55625U - (8 GB/512 GB /dows 11 Home) 255 G9 Bus...,374.875,8.0,Ryzen 5 Hexa Core,Notebook,HP,AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
Acer Aspire 3 i3 12th- (8 GB/512 GB /dows 11 Home) A31559 in and Light,368.625,8.0,Core i3,Aspire 3,Acer,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
HP13th1334U - (16 GB/512 GB /dows 11 Home) 15fd0315TU in and Light,699.875,16.0,Core i5,15-fd0315TU,HP,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
Lenovo 7 Octa7730U - (16 GB/512 GB /dows 11 Home) V15 G4 in and Light,499.875,16.0,Ryzen 7 Octa Core,V15 G4,Lenovo,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
MSI Modern 1412th1235U - (8 GB/512 GB /dows 11 Home) Modern 14 C12M440IN ...,462.375,8.0,Core i5,Modern 14 C12M-440IN,MSI,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-01
Lenovo IdeaPad Slim 3 i3 12th1215U - (8 GB/512 GB /dows 11 Home) 15IAU7 in and...,427.5,8.0,Core i3,15IAU7,Lenovo,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo V1412th1235U - (16 GB/512 GB /dows 11 Home) V 14 in and Light Lapto...,481.125,16.0,Core i5,V14,Lenovo,Intel Integrated Intel,35.81 cm (14.1 inch),512.0,2025-02-01
HP 255 G95 Hexa 55625U - (8 GB/512 GB /dows 11 Home) 255 G9 Bus...,374.875,8.0,Ryzen 5 Hexa Core,Notebook,HP,AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
Acer Swift Go 14 5 Hexa7430U - (16 GB/512 GB /dows 11 Home) SFG1441R6G9 in a...,487.375,16.0,Ryzen 5 Hexa Core,SFG14-41,Acer,AMD Radeon AMD,35.56 cm (14 Inch),512.0,2025-02-01
ASUS Vivobook 1512th1235U - (8 GB/512 GB /dows 11 Home) X1504ZANJ521WS|X150...,549.875,8.0,Core i5,X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS Vivobook 1512th1235U - (16 GB/512 GB /dows 11 Home) X1502ZAEJ545WS i...,587.375,16.0,Core i5,X1502ZA-EJ545WS,ASUS,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS Vivobook Go 15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FANJ321WS ...,399.875,8.0,Ryzen 3 Quad Core,E1504FA-NJ321WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
HPi3 12th1215U - (8 GB/256 GB /dows 11 Home) 15sfy5010TU in and Light...,424.875,8.0,Core i3,15s-fy5010TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),256.0,2025-02-01
ASUS X1504ZA i3 12th12thi31215U - (8 GB/512 GB /dows 11 Home) X...,399.875,8.0,Core i3,Vivobook 15,ASUS,Intel Integrated INTEL UHD,39.62 cm (15.6 inch),512.0,2025-02-01
Acer One i3 11th1115G4 - (8 GB/512 GB /dows 11 Home) AO 14 Z 8415 in and Ligh...,324.875,8.0,Core i3,Z8-415,Acer,Intel Integrated Integrated,35.56 cm (14 Inch),512.0,2025-02-01
ASUS Vivobook 15 i3 12th1215U - (16 GB/512 GB /dows 11 Home) X1504ZANJ342WS i...,474.875,16.0,Core i3,X1504ZA-NJ342WS,ASUS,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
Lenovo IdeaPad 1Celeron DualN4020 - (8 GB/512 GB /dows 11 Home) 14IGL7 in and Lig...,306.125,8.0,Celeron Dual Core,14IGL7,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-01
ASUS TUFA15 5 Hexa7535HS - (16 GB/512 GB /dows 11 Home/4 GB /NVI...,699.875,16.0,Ryzen 5 Hexa Core,FA506NC-HN083W,ASUS,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-01
HP 5 Hexa5500U - (16 GB/512 GB /dows 11 Home) 15seq2305AU in and Light,562.375,16.0,Ryzen 5 Hexa Core,15s-eq2305AU,HP,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
Lenovo IdeaPad Flex 513th1355U - (16 GB/512 GB /dows 11 Home) 14IRU8 2 in 1 ...,1024.875,16.0,Core i7,Flex 5,Lenovo,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-01
Acer Aspire 313th1334U - (16 GB/512 GB /dows 11 Home) A32453 in and Light...,612.375,16.0,Core i5,A324-53,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Lenovo V15 7 Octa7730U - (16 GB/512 GB /dows 11 Home) v15 G4 Business,498.7375,16.0,Ryzen 7 Octa Core,V series,Lenovo,AMD Radeon AMD Radeon™ Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
Acer Aspire 5 Backlit13th1335U - (16 GB/512 GB /dows 11 Home) A51558M in ...,599.875,16.0,Core i5,A515-58M,Acer,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
HPAthlon Dual- (8 GB/256 GB /dows 11 Home) 255,283.625,8.0,Athlon Dual Core,255 G8,HP,AMD Radeon AMD,39.62 cm (15.6 inch),256.0,2025-02-01
Lenovo Ideapad12th12450H - (16 GB/512 GB /dows 11 Home/4 GB ) 15IAH8...,631.2375,16.0,Core i5,IdeaPad Slim 3,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS ExpertBook B14 i3 12th1215U - (8 GB/512 GB /dows 11 Home) B1402CBANK1494WS...,462.375,8.0,Core i3,B1402CBA-NK1494WS,ASUS,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Acer Aspire Lite 5 Hexa5625U - (16 GB/512 GB /dows 11 Home) AL1541 in and Lig...,484.875,16.0,Ryzen 5 Hexa Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo IdeaPad Slim 1 5 Hexa5500U - (16 GB/512 GB /dows 11 Home) 15ALC7 in and...,449.875,16.0,Ryzen 5 Hexa Core,Ideapad Slim 1,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo IdeaPad Slim 3 i3 13th1305U - (8 GB/512 GB /dows 11 Home) 14IRU8 in and...,688.625,8.0,Core i3,14IRU8,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
Acer Nitro V 7 Octa7735HS - (16 GB/512 GB /dows 11 Home/6 GB /NVIDIA GeF...,1037.375,16.0,Ryzen 7 Octa Core,ANV15-41,Acer,NVIDIA GeForce RTX 4050,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS ExpertBook B14 i3 12th1215U - (8 GB/512 GB /dows 11 Home) B1402CBANK1494WS...,462.375,8.0,Core i3,B1402CBA-NK1494WS,ASUS,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
ASUS Vivobook 1512th- (16 GB/512 GB /dows 11 Home) X1504ZANJ542WS in and ...,607.375,16.0,Core i5,Vivobook 15,ASUS,Intel Integrated Intel Hd,39.62 cm (15.6 inch),512.0,2025-02-01
Acer Aspire 3 i3 13th1305U - (8 GB/512 GB /dows 11 Home) A32453 in and Light ...,399.875,8.0,Core i3,A324-53,Acer,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
MSI in 1513th13420H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA GeF...,668.75,16.0,Core i5,Thin 15 B13UCX-1807IN,MSI,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),512.0,2025-02-01
Lenovo IdeaPad Slim 312th12450H - (16 GB/512 GB /dows 11 Home) 15IAH8 in a...,655.0,16.0,Core i5,15IAH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
Acer Aspire 312th1255U - (16 GB/512 GB /dows 11 Home) A32451 in and Light...,624.875,16.0,Core i7,A324-51,Acer,Intel Integrated Iris Xe,35.56 cm (14 Inch),512.0,2025-02-01
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK321...,462.375,8.0,Ryzen 3 Quad Core,E1504FA-LK321WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
Acer Aspire 3 Backlit12th1235U - (16 GB/512 GB /dows 11 Home) A32451 in a...,562.375,16.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-01
HP G8 i3 12th12- (16 GB/512 GB /dows 11 ) 250G8 Business,431.125,16.0,Core i3,250G9 12th gen,HP,Intel Integrated,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo IdeaPad Slim 1 5 Hexa5500U - (16 GB/512 GB /dows 11 Home) 15ALC7 in and...,449.875,16.0,Ryzen 5 Hexa Core,Ideapad Slim 1,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-01
MSI Modern 1513th1355U - (8 GB/512 GB /dows 11 Home) Modern 15 B13M290IN ...,593.7375,8.0,Core i7,Modern 15 B13M-290IN,MSI,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
DELL Latitude 3540 (2024) i3 12th1215U - (16 GB/512 GB /dows 11 ) Latitude 35...,418.625,16.0,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
DELL Latitude 3540 (2024) i3 12th1215U - (16 GB/512 GB /dows 11 ) Latitude 35...,418.625,16.0,Core i3,Latitude 3540,DELL,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
HP i3 12th1215U - (16 GB/512 GB /dows 11 Home) 15sfy5004TU in and Light Lapto...,487.375,16.0,Core i3,15s-fy5004TU,HP,Intel Integrated UHD,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo V15 3 Quad7320U - (8 GB/512 GB /dows 11 Home) V15 G4 AMN 1 in and Light...,342.5,8.0,Ryzen 3 Quad Core,V15 G4,Lenovo,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo IdeaPad Flex 5 7 Octa5700U - (16 GB/512 GB /dows 11 Home) 14ALC7 2 in 1 L...,799.875,16.0,Ryzen 7 Octa Core,14ALC7,Lenovo,Intel Integrated AMD,35.56 cm (14 inch),512.0,2025-02-01
Acer Aspire 712th12450H - (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA G...,674.875,16.0,Core i5,A715-76G,Acer,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-01
ASUS Vivobook 1612th12500H - (16 GB/512 GB /dows 11 Home) X1605ZACMB540WS T...,673.75,16.0,Core i5,X1605ZAC-MB540WS,ASUS,Intel Integrated Iris Xe,40.64 cm (16 Inch),512.0,2025-02-01
ASUS Vivobook Go 15 OLED 3 Quad7320U - (8 GB/512 GB /dows 11 Home) E1504FALK322...,462.375,8.0,Ryzen 3 Quad Core,E1504FA-LK322WS,ASUS,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
Acer Aspire Lite 5 Hexa5625U - (8 GB/512 GB /dows 11 Home) AL1541 in and Ligh...,462.375,8.0,Ryzen 5 Hexa Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 inch),512.0,2025-02-01
HP 255 G10 (2024) 3 Quad7320U - (8 GB/512 GB /dows 11 Home) 250 G10 in and Lig...,336.2375,8.0,Ryzen 3 Quad Core,255 G10,HP,AMD Radeon AMD RADEON,39.62 cm (15.6 inch),512.0,2025-02-01
Lenovo LOQ 5 Quad7235HS - (24 GB/512 GB /dows 11 Home/6 GB /NVIDIA GeFor...,787.375,24.0,Ryzen 5 Quad Core,15ARP9,Lenovo,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),512.0,2025-02-01
Acer Aspire 3 Backlit 5 Hexa7430U - (8 GB/512 GB /dows 11 Home) A32542 in and...,462.375,8.0,Ryzen 5 Hexa Core,A325-42,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
Acer 3 Quad5300U - (16 GB/512 GB /dows 11 Home) AL1541 in and Light,399.875,16.0,Ryzen 3 Quad Core,AL15-41,Acer,AMD Radeon AMD,39.62 cm (15.6 Inch),512.0,2025-02-01
Infinix Y4 Max Series i3 13th1315U - (8 GB/512 GB /dows 11 Home) YL613 in and ...,374.875,8.0,Core i3,INBOOK Y4 Max Core i3,Infinix,Intel Integrated Iris Xe,40.64 cm (16 inch),512.0,2025-02-01
DELL i3 13th- (8 GB/512 GB /dows 11 Home) 3530 in and Light,467.5,8.0,Core i3,Inspiron 15,DELL,Intel Integrated Intel® UHD Graphics,39.62 cm (15.6 inch),512.0,2025-02-01
SAMSUNG Galaxy Book4 7 150U - (16 GB/512 GB /dows 11 Home) NP750XGKKS3IN NP750XGK...,912.5,16.0,Core 7,NP750XGK-KS3IN / NP750XGK-LS3IN,SAMSUNG,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),512.0,2025-02-01
HP Victus12th- (16 GB/512 GB /dows 11 Home/4 GB /NVIDIA GeForce...,862.375,16.0,Core i5,15-fa1351TX,HP,NVIDIA GeForce RTX 2050,39.62 cm (15.6 inch),512.0,2025-02-01
Acer Aspire 3 Backlit12th1235U - (8 GB/512 GB /dows 11 Home) A32451 in an...,537.375,8.0,Core i5,A324-51,Acer,Intel Integrated Intel Graphics,35.56 cm (14 Inch),512.0,2025-02-01
Lenovo IdeaPad Slim 313th13420H - (16 GB/512 GB /dows 11 Home) 15IRH8 in a...,737.375,16.0,Core i5,15IRH8,Lenovo,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
"Acer Aspire Lite with Backlit ,12th1255U - (16 GB/512 GB /dows 11 Ho...",637.375,16.0,Core i7,AL15-52,Acer,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
Lenovo IdeaPad 3 i3 12th1215U - (8 GB/512 GB /dows 11 Home) 14IAU7 in and Ligh...,449.875,8.0,Core i3,14IAU7,Lenovo,Intel Integrated UHD,35.56 cm (14 Inch),512.0,2025-02-01
DELL i3 12th1215U - (8 GB/512 GB /dows 11 Home) Inspiron 3520 in and Light Lap...,427.375,8.0,Core i3,Inspiron 3520,DELL,Intel Integrated UHD,39.62 cm (15.6 Inch),512.0,2025-02-01
