Category,Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
Laptops,"Notebook Apple Macbook Air 11"" | i5 4GB RAM + 128GB SSD | MacOS Big Sur | Light Up","EUR 132,42",4 GB,Intel Core i5 3rd Gen.,MacBook Air,Apple,N/A,11 in,128 GB,2025-01-27 11:52:55
Laptops,Apple Macbook Pro 🍎💻🍎 13” 2012 2.5GHz i5 16GB RAM 256GBSSD macOS Sonoma 2024,"EUR 261,98",16 GB,Intel Core i5 3rd Gen.,MacBook Pro,Apple,N/A,13 in,256 GB,2025-01-27 11:52:52
Laptops,Apple Mac Book Pro 5.1,"€ 99,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:52:47
Laptops,MacBook Air 13 polegadas Core i5 1.3ghz 8GB RAM 250GB SSD Mac OS 11 Big Sur,"EUR 71,45",8 GB,Intel Core i5 4th Gen.,MacBook Air,Apple,N/A,13 in,250 GB,2025-01-27 11:52:52
Laptops,"Apple MacBook Pro Core i5 2.7GHz 8GB RAM 128GB SSD 13"" MGX82LL/A (2014)","EUR 19,05",8 GB,Intel Core i5,Apple MacBook Pro,Apple,N/A,13 in,128 GB,2025-01-27 11:52:55
