title,price,image_url,promo,coupon,product_url,collection_date,brand,model_name,screen_size,color,hard_disk_size,cpu_model,ram_memory,operating_system,special_feature,graphics_card
"2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",0.0,https://m.media-amazon.com/images/I/61bwiPRcv2L._AC_UY218_.jpg,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-19%E2%80%91core/dp/B0BSHF7LLL/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-3,2025-01-13 11:23:11,Apple,MacBook Pro,16.2,Silver,16.0,Unknown,0.0,Mac OS,Anti Glare Coating,Integrated
"2024 MacBook Pro Laptop with M4, 10‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black - Z1DS0005P",0.0,https://m.media-amazon.com/images/I/61-oTP1X4rL._AC_UY218_.jpg,No promotion,No coupon,https://www.amazon.com/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DP3KYZDV/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-4,2025-01-13 11:23:11,Apple,MacBook Pro,14.2,Color not available,24.0,Apple M4,0.0,Mac OS,Special Feature not available,Integrated
"2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Midnight",0.0,https://m.media-amazon.com/images/I/81EHBhjC-+L._AC_UY218_.jpg,No promotion,No coupon,https://www.amazon.com/Apple-2023-MacBook-Laptop-chip/dp/B0CDJL36W4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-6,2025-01-13 11:23:11,Brand not available,Model Name not available,15.3,Color not available,16.0,CPU Model not available,0.0,Operating System not available,Special Feature not available,Graphics Card not available
"2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage; Space Black",0.0,https://m.media-amazon.com/images/I/61RJn0ofUsL._AC_UY218_.jpg,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Laptop-11%E2%80%91core-14%E2%80%91core/dp/B0CM5JV26D/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-7,2025-01-13 11:23:11,Brand not available,Model Name not available,14.2,Color not available,18.0,CPU Model not available,0.0,Operating System not available,Special Feature not available,Graphics Card not available
"2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage; Silver",0.0,https://m.media-amazon.com/images/I/61HUaSA6c0L._AC_UY218_.jpg,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Laptop-8%E2%80%91core-10%E2%80%91core/dp/B0CM5JLWJK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-9,2025-01-13 11:23:11,Apple,MacBook Pro,14.2,Silver,8.0,Apple M3,0.0,Mac OS,Special Feature not available,Integrated
"16.0-inch Laptop, 16GB DDR4 512GB SSD Gaming Laptop, Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",389.99,https://m.media-amazon.com/images/I/71Ls2+M7TSL._AC_UY218_.jpg,"Thu, Jan 23",10% off coupon applied,https://www.amazon.com/16-0-inch-Windows-Quad-Core-Processor-Display/dp/B0DN1MNBPK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-13,2025-01-13 11:23:11,KAIGERR,AX16,16.0,Sliver Gray,16.0,Intel Mobile CPU,0.0,Windows 11,"Lightweight, Numeric Keypad",Integrated
"2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Silver",0.0,https://m.media-amazon.com/images/I/71h-tsPzk5L._AC_UY218_.jpg,No promotion,No coupon,https://www.amazon.com/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX241RN4/ref=sr_1_18?dib=eyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww&dib_tag=se&keywords=laptop+Mac&qid=1736763789&sr=8-18,2025-01-13 11:23:11,Apple,MacBook Air,15,Silver,8.0,Apple M3,0.0,Mac OS,Fingerprint Reader,Integrated
"15.6-inch Laptop Computer, DDR5 12GB RAM 512GB SSD, Intel Celeron N95 Processor(Up to 3.4GHz), Windows 11 Pro Laptop Computers with FHD IPS Display, WiFi 5, Bluetooth 5.0, Type-C, HDMI, USB 3.2",289.0,https://m.media-amazon.com/images/I/71wk7VLe9oL._AC_UY218_.jpg,"Thu, Jan 23",$20.00 off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNzQzNjMxNzY3MjMyNTE4OjE3MzY3NjM3ODk6c3BfYnRmOjMwMDM5Mjg1Mjc1MzQwMjo6MDo6&url=%2F15-6-inch-Computer-Processor-Computers-Bluetooth%2Fdp%2FB0D7L1BYKP%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.xCtqXq9tPQhcG9sLZAQgDHRADHLLroIJ9iLNTb8aGY610cbUsohK-d0p6Yvcql8ZiS9wpwud7WPZnTdN5ISiKgvytHc2MqvRXj6F0cRE8C4pD_nm_989PgQsrymHFJIIX7AAlznqFgFSjvFxlaCqprJzojcIRTdBM3ycMROtZy_fsQiMPLKYFceBqMt1G6tBCYmX6b5SOc4lJb9vAkh3kH8RAAkz2NWZOef0yuGBmG0.XY8u1adY9Uobd4xiipMVnXUR0Hj4F_BWkkB74qYZVww%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1736763789%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,2025-01-13 11:23:11,Akocrsiy,N95,15.6,Black,12.0,Celeron,12.0,Windows 11 Pro,Lightweight,Integrated
