Title,Price,Case Size,Battery Capacity,Model,Operating System,Storage Capacity,Price (USD)
"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",1499.0,51.0,Upto 7 days,"Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Screen, Crest App, QR Code Tray",Android & iOS,,17.988
,949.0,,,,,,11.388
"Boult Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+...",1498.0,35.052,Upto 7 Days,"Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+ Watch Faces, Health Track,IP67",Android & iOS,,17.976
"Boult Trail Pro 2.01''3D Curved Display, 600Nits, 250+ ...",1499.0,51.054,Upto 7 Days,"Trail Pro 2.01''3D Curved Display, 600Nits, 250+ Watch Faces, Health Track, IP68",Android & iOS,,17.988
Onikuma T800 smart watch & SIM card 4G network Android ...,648.0,49.2,3 days,T800 smart watch & SIM card 4G network Android System,Android & iOS,2.0,7.776
"boAt Storm Call 3 Plus w/ Turn by Turn Navigation, QR T...",1099.0,49.7,Upto 7 days,"Storm Call 3 Plus w/ Turn by Turn Navigation, QR Tray, 4.97cm(1.96'') HD Display",Android & iOS,,13.188
"Noise Crew 1.38"" Display with Bluetooth Calling, Women'...",1398.0,35.052,7 Days,"Crew 1.38"" Display with Bluetooth Calling, Women's Edition, Metallic finish",Android & iOS,,16.776
"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...",2199.0,36.32,Upto 7 days,"Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design",Android & iOS,,26.388
"Pebble Hive 1.39""HD Octa Display,BT Calling, Health Sui...",1699.0,35.306,Upto 5 Days,"Hive 1.39""HD Octa Display,BT Calling, Health Suite, DIY Watch Face, World Clock",Android & iOS,,20.388
"Boult Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+...",1398.0,35.052,Upto 7 Days,"Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+ Watch Faces, Health Track,IP67",Android & iOS,,16.776
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
"Pebble Rio 1.39 inch HD Display, Unique Polygonal Bezel...",1599.0,34.54,Upto 5 Days,"Rio 1.39 inch HD Display, Unique Polygonal Bezel Less Design, Premium Build",Android & iOS,,19.188
,2199.0,,,,,,26.388
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
Fastrack Revoltt FR2-1.38''|Advanced Blazing Fast UI|Wo...,1699.0,35.0,Upto 5 Days,Revoltt FR2-1.38''|Advanced Blazing Fast UI|Working Crown|AIVoice Assistant|IP68,Android & iOS,,20.388
Fastrack Revoltt FS1-1.85''|Advanced Blazing Fast UI|Wo...,1399.0,1.85,5 days,Revoltt FS1-1.85''|Advanced Blazing Fast UI|Working Crown|AIVoice Assistant|IP68,Android & iOS,,16.788
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...",1399.0,1.83,7 Days,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Android & iOS,,16.788
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...",1499.0,38.6,Upto 7 days,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Android & iOS,,17.988
"ZEPAD DZ09 Smartwatch with Camera, Smartwatch",1299.0,40.0,6,"DZ09 Smartwatch with Camera,",Android & iOS,256.0,15.588000000000001
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....",1399.0,46.4,Upto 7 days,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Android & iOS,,16.788
Apple Watch Series 10 GPS 42mm Jet Black Aluminium with...,46900.0,42.0,Upto 18 Hours On Normal Use,Watch Series 10 GPS 42mm Jet Black Aluminium with Sport Band,iOS,,562.8000000000001
"Pebble Celia 1.32"" HD Infinite Display, BT Calling, Wom...",998.0,33.52,Upto 7 Days,"Celia 1.32"" HD Infinite Display, BT Calling, Women's Health suite, Sleek Dial",Android & iOS,,11.976
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...",1699.0,35.306,Up to 7 Days,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Android & iOS,,20.388
,2299.0,,,,,,27.588
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...",1099.0,1.85,Upto 7 Days,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Android & iOS,,13.188
