title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
AMD amd ati radeon hd8350 ddr3 x16 cards,14.0,AMD,1.0,DDR3,AMD Radeon HD 8350,"DVI, HDMI, VGA",2025-02-02 19:56:38
AMD AMD RADEON R5 340X,15.0,AMD,1.0,GDDR3,AMD RADEON R5 340X,"DisplayPort, DVI",2025-02-02 19:56:30
AMD AMD FirePro V4900,19.99,AMD,1.0,GDDR5,AMD FirePro V4900,"DisplayPort, DVI, DVI-I",2025-02-02 19:55:52
AMD AMD FirePro W2100,8.0,AMD,2.0,DDR3,AMD FirePro W2100,DisplayPort,2025-02-02 19:56:05
AMD Radeon R5 340X,16.99,AMD,2.0,DDR3,Radeon R5 340X,"DisplayPort, DVI",2025-02-02 19:56:10
AMD AMD Radeon R5 340X,21.76,AMD,2.0,GDDR3,AMD Radeon R5 340X,DisplayPort,2025-02-02 19:56:15
AMD AMD Radeon E9173,21.98,AMD,2.0,GDDR5,AMD Radeon E9173,,2025-02-02 19:56:32
AMD AMD Radeon R7 450,24.99,AMD,2.0,GDDR5,AMD Radeon R7 450,"DisplayPort, DVI, DVI-I",2025-02-02 19:55:51
AMD FIREPRO W4300,39.0,AMD,4.0,GDDR5,FIREPRO W4300,Mini DisplayPort,2025-02-02 19:56:02
AMD AMD Radeon Pro WX 7100,79.99,AMD,8.0,GDDR5,AMD Radeon Pro WX 7100,4x Display Port,2025-02-02 19:56:18
AMD AMD Radeon PRO W5500,79.99,AMD,8.0,GDDR6,AMD Radeon PRO W5500,DisplayPort,2025-02-02 19:56:00
AMD AMD Radeon RX 6800,355.0,AMD,16.0,GDDR6,AMD Radeon RX 6800,"DisplayPort, HDMI, USB-C",2025-02-02 19:56:34
AMD amd radeon instinct mi50 accelerator hbm2 machine learning hpc ai,110.0,AMD,16.0,HBM2,AMD Instinct Mi50,,2025-02-02 19:55:50
AMD 102d0531802 amd v340l radeon pro pcie x16 hbm2,64.0,AMD,16.0,HBM2,AMD Radeon PRO,,2025-02-02 19:56:29
AMD rb amd radeon pro wx9100 hbm2 6x mini,299.99,AMD,16.0,HBM2,Radeon Pro WX 9100,6x Mini DisplayPort,2025-02-02 19:56:04
ASRock asrock radeon rx 6600 pci 40 cld 8g,198.99,ASRock,8.0,GDDR6,AMD Radeon RX 6600,"DisplayPort, HDMI",2025-02-02 19:56:31
ASRock Arc A580,177.99,ASRock,8.0,GDDR6,Arc A580,"DisplayPort, HDMI",2025-02-02 19:56:06
ASRock B580,339.95,ASRock,12.0,GDDR6,B580,"DisplayPort, HDMI",2025-02-02 19:56:05
ASUS asus ati radeon 2400pro tvout g4a,36.5,ASUS,0.25,DDR2,ATI Radeon HD 2400 PRO,"TV Out, Hdtv Out",2025-02-02 19:56:36
ASUS NVIDIA GeForce GTX 465,29.0,ASUS,1.0,GDDR5,NVIDIA GeForce GTX 465,"DVI, mini-HDMI",2025-02-02 19:56:11
ASUS asus geforce gtx 650 grp240504,39.0,ASUS,1.0,GDDR5,NVIDIA GeForce GTX 650,,2025-02-02 19:56:22
ASUS asus geforce gt 630 2024mb ddr3 pcie,15.0,ASUS,1.9765625,DDR3,NVIDIA GeForce GT 630,"DVI, HDMI, VGA",2025-02-02 19:56:34
ASUS asus nvidia geforce gt620 ddr3 gt620sl2gd3v3dp free sh,24.99,ASUS,2.0,DDR3,NVIDIA GeForce GT 620,,2025-02-02 19:56:05
