title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
AMD amd ati radeon hd8350 ddr3 x16 cards,14,AMD,1,DDR3,AMD Radeon HD 8350,"DVI, HDMI, VGA",2/1/2025 17:56
AMD AMD RADEON R5 340X,15,AMD,1,GDDR3,AMD RADEON R5 340X,"DisplayPort, DVI",2/1/2025 17:56
AMD AMD FirePro V4900,19.99,AMD,1,GDDR5,AMD FirePro V4900,"DisplayPort, DVI, DVI-I",2/1/2025 17:56
AMD AMD FirePro W2100,8,AMD,2,DDR3,AMD FirePro W2100,DisplayPort,2/1/2025 17:56
AMD Radeon R5 340X,16.99,AMD,2,DDR3,Radeon R5 340X,"DisplayPort, DVI",2/1/2025 17:56
AMD AMD Radeon R5 340X,21.76,AMD,2,GDDR3,AMD Radeon R5 340X,DisplayPort,2/1/2025 17:56
AMD AMD Radeon E9173,21.98,AMD,2,GDDR5,AMD Radeon E9173,,2/1/2025 17:56
AMD AMD Radeon R7 450,24.99,AMD,2,GDDR5,AMD Radeon R7 450,"DisplayPort, DVI, DVI-I",2/1/2025 17:56
AMD FIREPRO W4300,39,AMD,4,GDDR5,FIREPRO W4300,Mini DisplayPort,2/1/2025 17:56
AMD AMD Radeon Pro WX 7100,79.99,AMD,8,GDDR5,AMD Radeon Pro WX 7100,4x Display Port,2/1/2025 17:56
AMD AMD Radeon PRO W5500,79.99,AMD,8,GDDR6,AMD Radeon PRO W5500,DisplayPort,2/1/2025 17:56
AMD AMD Radeon RX 6800,355,AMD,16,GDDR6,AMD Radeon RX 6800,"DisplayPort, HDMI, USB-C",2/1/2025 17:56
AMD amd radeon instinct mi50 accelerator hbm2 machine learning hpc ai,110,AMD,16,HBM2,AMD Instinct Mi50,,2/1/2025 17:56
AMD 102d0531802 amd v340l radeon pro pcie x16 hbm2,64,AMD,16,HBM2,AMD Radeon PRO,,2/1/2025 17:56
AMD rb amd radeon pro wx9100 hbm2 6x mini,299.99,AMD,16,HBM2,Radeon Pro WX 9100,6x Mini DisplayPort,2/1/2025 17:56
ASRock asrock radeon rx 6600 pci 40 cld 8g,198.99,ASRock,8,GDDR6,AMD Radeon RX 6600,"DisplayPort, HDMI",2/1/2025 17:56
ASRock Arc A580,177.99,ASRock,8,GDDR6,Arc A580,"DisplayPort, HDMI",2/1/2025 17:56
ASRock B580,339.95,ASRock,12,GDDR6,B580,"DisplayPort, HDMI",2/1/2025 17:56
ASUS asus ati radeon 2400pro tvout g4a,36.5,ASUS,0.25,DDR2,ATI Radeon HD 2400 PRO,"TV Out, Hdtv Out",2/1/2025 17:56
ASUS NVIDIA GeForce GTX 465,29,ASUS,1,GDDR5,NVIDIA GeForce GTX 465,"DVI, mini-HDMI",2/1/2025 17:56
ASUS asus geforce gtx 650 grp240504,39,ASUS,1,GDDR5,NVIDIA GeForce GTX 650,,2/1/2025 17:56
ASUS asus geforce gt 630 2024mb ddr3 pcie,15,ASUS,1.9765625,DDR3,NVIDIA GeForce GT 630,"DVI, HDMI, VGA",2/1/2025 17:56
ASUS asus nvidia geforce gt620 ddr3 gt620sl2gd3v3dp free sh,24.99,ASUS,2,DDR3,NVIDIA GeForce GT 620,,2/1/2025 17:56
ASUS asus geforce gt 710 ddr3 low profile,49.99,ASUS,2,DDR3,NVIDIA GeForce GT 710,HDMI,2/1/2025 17:56
ASUS NVIDIA GeForce GT 710,69.99,ASUS,2,GDDR5,NVIDIA GeForce GT 710,HDMI,2/1/2025 17:56
ASUS NVIDIA GeForce GT 730,49.95,ASUS,2,GDDR5,NVIDIA GeForce GT 730,"DVI, HDMI",2/1/2025 17:56
ASUS asus g75vx nvidia gtx670m 3gb graphic 60nlevg1001,75.65,ASUS,3,GDDR5,NVIDIA GeForce GTX 670,,2/1/2025 17:56
ASUS AMD Radeon RX 550,30,ASUS,4,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, HDMI",2/1/2025 17:56
ASUS asus geforce gtx 1650 pci for pc gaming,150,ASUS,4,GDDR6,Asus Dual GeForce GTX,"HDMI, DVI-D, DisplayPort",2/1/2025 17:56
ASUS ASUS GeForce GTX 1660 SUPER GUNDAM,219.99,ASUS,6,GDDR6,ASUS GeForce GTX 1660 SUPER GUNDAM,"DisplayPort, DVI, HDMI",2/1/2025 17:56
ASUS asus tuf gaming geforce gtx 1660 super 6gb,125,ASUS,6,GDDR6,ASUS TUF Gaming GeForce GTX 1660 Super OC Edition,"DisplayPort, DVI, HDMI",2/1/2025 17:56
ASUS asus turbo gtx1070,80,ASUS,8,GDDR5,NVIDIA GeForce GTX 1070,"DisplayPort, DVI, HDCP, HDMI",2/1/2025 17:56
ASUS asus radeon rx 6600 xt,47.4,ASUS,8,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDMI",2/1/2025 17:56
ASUS asus geforce 2080 super evo v2 rtx2080so8gevov2 not,63,ASUS,8,GDDR6,NVIDIA GeForce RTX 2080 DUAL-RTX2080S-8G-EVO-V2,"DisplayPort, HDMI",2/1/2025 17:56
ASUS asus geforce rtx 3060 rtx3060o8g,249.99,ASUS,8,GDDR6,NVIDIA GeForce RTX 3060,HDMI,2/1/2025 17:56
ASUS NVIDIA GeForce RTX 3060 Ti,1,ASUS,8,GDDR6,NVIDIA GeForce RTX 3060 Ti,"DisplayPort, HDMI",2/1/2025 17:56
ASUS asus tuf geforce rtx 3070,270,ASUS,8,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/1/2025 17:56
ASUS asus tuf gaming geforce rtx 3070 ti,350,ASUS,8,GDDR6X,NVIDIA GeForce RTX 3070 Ti,"DisplayPort, HDMI",2/1/2025 17:56
ASUS asus geforce rtx 4070 ti super tuf gaming white,1285.9,ASUS,16,GDDR6X,NVIDIA GeForce RTX 4070 Ti,,2/1/2025 17:56
ATI ATI Radeon 9200,55,ATI,0.125,DDR,ATI Radeon 9200,"DVI, S-Video, VGA",2/1/2025 17:56
ATI RV610,21.06,ATI,0.25,DDR2 SDRAM,RV610,"TV-Out, DMS-59 Output",2/1/2025 17:56
ATI Technologies ATI Radeon HD 6500,17,ATI Technologies,1,DDR3,ATI Radeon HD 6500,"DisplayPort Output, DVI Output, DisplayPort, DVI",2/1/2025 17:56
Akemy NVIDIA GeForce GTX 560,31.6,Akemy,2,/,NVIDIA GeForce GTX 560,/,2/1/2025 17:56
NVIDIA GeForce 9600 GT,67.36,BFG Tech,0.5,GDDR3,NVIDIA GeForce 9600 GT,DVI Output|VGA D-Sub Output|S-Video Input,2/1/2025 17:56
BIOSTAR biostar radeon rx 550 va5515rf41tbmrabs2,11.5,BIOSTAR,4,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI-D, HDMI",2/1/2025 17:56
COOLMOON NVIDIA GeForce RTX 3080,5.5,COOLMOON,10,GDDR6X,NVIDIA GeForce RTX 3080,"DisplayPort, HDMI",2/1/2025 17:56
Dell sff dell yp477 0yp477 radeon hd 2400 pro win 10,12.38,Dell,0.25,DDR2,ATI Radeon HD 2400 PRO,"DVI, TV Out",2/1/2025 17:56
Dell AMD Radeon HD 8490,7.89,Dell,1,DDR3,AMD Radeon HD 8490,"DisplayPort, DVI",2/1/2025 17:56
Amd Radeon R5 240,13,Dell,1,DDR3,Amd Radeon R5 240,"DisplayPort, DVI",2/1/2025 17:56
Dell NVIDIA GeForce GT 705,18,Dell,1,DDR3,NVIDIA GeForce GT 705,"DVI, HDMI, VGA",2/1/2025 17:56
