title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
NVIDIA NVIDIA GeForce GTX 1650,179.55,NVIDIA,4.0,GDDR5,NVIDIA GeForce GTX 1650,,2/5/2025 1:39
NVIDIA NVIDIA Quadro T400,100.0,NVIDIA,4.0,GDDR6,NVIDIA Quadro T400,Mini DisplayPort,2/5/2025 1:39
"NVIDIA, NVIDIA Quadro",109.99,NVIDIA,4.0625,DDR2,NVIDIA Quadro,DMS-59 Output,2/5/2025 1:38
NVIDIA NVIDIA Quadro P2000,45.0,NVIDIA,5.0,GDDR5,NVIDIA Quadro P2000,"VGA, DisplayPort, DVI, HDCP, DVI-D, HDMI",2/5/2025 1:38
NVIDIA nvidia crystal gtx 1080 ic die specimen tech cyber art decoration gift,50.0,NVIDIA,8.0,GDDR5,NVIDIA GeForce GTX 1080,"DVI, HDMI, DisplayPort",2/5/2025 1:38
NVIDIA CMP 50HX,154.99,NVIDIA,10.0,GDDR6,CMP 50HX,,2/5/2025 1:39
NVIDIA tesla m40 nvidia pg600 9002g6000010000 f pcie 30x16,39.99,NVIDIA,12.0,GDDR5,Nvidia Tesla M40,,2/5/2025 1:39
NVIDIA Tesla M40,38.69,NVIDIA,12.0,GDDR5,Tesla M40,,2/5/2025 1:39
NVIDIA NVIDIA Tesla K80,20.0,NVIDIA,24.0,GDDR5,NVIDIA Tesla K80,,2/5/2025 1:38
NVIDIA A10G,2331.07,NVIDIA,24.0,GDDR6,A10G,,2/5/2025 1:39
PNY pny geforce gtx 460 xlr8 enthusiast edition,20.0,PNY,1.0,GDDR5,NVIDIA GeForce GTX 460,"DVI, DVI-D, mini-HDMI",2/5/2025 1:39
PNY Nvidia Quadro P400,43.56,PNY,2.0,GDDR5,Nvidia Quadro P400,mini-HDMI,2/5/2025 1:38
PNY NVIDIA Quadro 2000,39.95,PNY,5.0,GDDR5,NVIDIA Quadro 2000,DisplayPort,2/5/2025 1:39
PNY NVIDIA RTX A2000,295.0,PNY,6.0,GDDR6,NVIDIA RTX A2000,"DisplayPort, DVI, HDMI",2/5/2025 1:39
PNY pny nvidia t1000 vcnt10008gbpb,250.0,PNY,8.0,GDDR6,NVIDIA Quadro,Mini DisplayPort,2/5/2025 1:38
PowerColor great powercolor radeon rx 5600 xt itx,138.62,PowerColor,6.0,GDDR6,AMD Radeon RX 5600 XT,"DisplayPort, HDMI",2/5/2025 1:38
PowerColor powercolor amd radeon rx vega 56 red devil hbm2 w box,96.67,PowerColor,8.0,HBM2,Devil RX Vega 64,,2/5/2025 1:39
Profile NVIDIA Quadro NVS 310,22.99,Profile,1.0,DDR3,NVIDIA Quadro NVS 310,DisplayPort,2/5/2025 1:39
SAPPHIRE Sapphire Radeon R7 240,41.95,SAPPHIRE,2.0,DDR3,Sapphire Radeon R7 240,"DVI-D, HDMI, VGA",2/5/2025 1:38
SAPPHIRE sapphire amd pulse radeon rx 580 full hd gaming,85.0,SAPPHIRE,8.0,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI, DVI-D, HDMI",2/5/2025 1:39
SAPPHIRE AMD Radeon RX 6600 XT,184.99,SAPPHIRE,8.0,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDMI",2/5/2025 1:39
Sparkle sparkle sfpx95 geforce 9400gt sout pcie,22.4,Sparkle,1.0,DDR2,NVIDIA GeForce 9400 GT,"DVI, S-Video, VGA",2/5/2025 1:38
Unbranded NVIDIA GeForce FX 5500,44.88,Unbranded,0.25,3D-RAM,NVIDIA GeForce FX 5500,VGA,2/5/2025 1:39
Unbranded AMD Radeon RX 550,8.65,Unbranded,3.0,GDDR5,AMD Radeon RX 550,"DisplayPort, Mini DisplayPort",2/5/2025 1:39
XFX xfx radeon hd 6870 ddr5 hd687xcnfc,35.97,XFX,2.0,DDR5,AMD Radeon HD 6870,"DVI-D, DVI-I, HDMI, Mini DisplayPort",2/5/2025 1:39
XFX AMD Radeon RX 590,92.0,XFX,8.0,DDR5,AMD Radeon RX 590,"DisplayPort, DVI, HDMI",2/5/2025 1:38
ZOTAC zotac gt730 2884n360000z8 64bit ddr3,24.95,ZOTAC,1.0,DDR3,NVIDIA GeForce GT 730,DisplayPort,2/5/2025 1:38
ZOTAC zotac geforce rtx 2080 super 30,220.0,ZOTAC,8.0,GDDR6,NVIDIA GeForce RTX 2080,"DisplayPort, HDMI",2/5/2025 1:39
ZOTAC zotac gaming geforce rtx 3070 twin edge no fans,120.0,ZOTAC,8.0,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/5/2025 1:38
