Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
"Dell Latitude Touchscreen 13.3"" FHD Core i7 Laptop Windows 11 16GB RAM 256GB SSD",$292.11,16 GB,Intel Core i7-8665U,Dell Latitude 5300 2-in-1,Dell,Intel HD Graphics 620,13.3 in,256 GB,2025-02-08 16:15:52
"HP ProBook X360 11 G5 2-in-1 Laptop 11.6"" Windows 10 Pentium 8GB RAM 128GB SSD",US $148.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:16:03
"HP X360 11 G5 Laptop 11"" Touchscreen Pentium Silver 8GB RAM 128GB SSD Windows 10",$138.98/ea,8 GB,Intel Pentium Silver N5030,HP ProBook X360 11 G5 EE,HP,Intel UHD Graphics 605,11.6 in,128 GB,2025-02-08 16:15:51
"2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD",$239.00,Up to 20 GB,Intel Celeron N4500,Lenovo IdeaPad 1i,Lenovo,Intel UHD Graphics,15.6 in,Up to 1 TB SSD,2025-02-08 16:15:39
"2025 HP Laptop Computer 15.6"" Touch 6-Core Intel i3 Upto 64GB RAM 2TB SSD WinPro",$369.00,Up to 64 GB,Intel Core i3-1215U,HP Flagship,HP,Intel UHD Graphics,15.6 in,Up to 2 TB,2025-02-08 16:15:59
Dell Inspiron 15.6 Touchscreen Laptop Ryzen 7 7730U 16GB 512GB SSD i3535-A813BLK,$339.00,16 GB,Ryzen 7 7730U,N/A,Dell,N/A,15.6 in,512 GB,2025-02-08 16:15:35
2024 Lenovo IdeaPad Laptop 15.6 FHD 10-Core Intel i5 16GB RAM 1TB SSD Win11 PRO,$459.00,16 GB,Intel Core i5-1235U,Lenovo IdeaPad 1i,Lenovo,AMD Radeon Graphics,15.6 in,1 TB,2025-02-08 16:15:55
"14"" DELL Latitude Laptop: Intel i7QC! 32GB RAM ~ 1TB NVME SSD! Windows 11 Pro!",$319.95,32 GB,Intel Core i7-8650U,Dell Latitude 5400,Dell,Intel UHD Graphics 620,14 in,1 TB,2025-02-08 16:16:24
"Dell Latitude 5320 13.3"" Touchscreen Laptop 4-Core i5 16GB 256GB SSD Windows 11",$237.64,16 GB,Intel Core i5-1135G7,Dell Latitude 5320 2-in-1,Dell,Intel UHD Graphics,13.3 in,256 GB,2025-02-08 16:16:20
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4070",$899.99,16 GB,Ryzen 7 7435HS,83JC009CUS,Lenovo,NVIDIA GeForce RTX 4070,"15.6""",512 GB,2025-02-08 16:16:10
