Title,Price,RAM,CPU,Model,Brand,GPU,Screen Size,Storage,Collection Date
"HP EliteBook X360 13.3"" HD Touch Laptop/Tablet, i7-Gen7, 2.8GHz 16 GB, 512 SSD",$299.00,16 GB,Intel Core i7 7th Gen.,Elitebook x360-G2,HP,N/A,13.3 in,512 GB,2025-02-05 01:16:17
"2024 HP Victus Gaming Laptop 15.6"" Intel i5-13420H RTX 4050 32GB RAM 1TB SSD Pro",$789.00,32 GB,Intel 13th Gen Core i5-13420H,HP Victus,HP,NVIDIA GeForce RTX 4050 Laptop GPU,15.6 in,1 TB,2025-02-05 01:14:18
"Dell Latitude Laptop PC Computer 11.6"" Windows 10 Intel 4GB RAM 128GB SSD WiFi",$95.33,4 GB,Intel Pentium Silver N5000,Dell Latitude 3190,Dell,Intel UHD Graphics 600,11.6 in,128 GB,2025-02-05 01:14:12
HP EliteBook 845 G7 Laptop PC 1920x1080 Ryzen 5 PRO 4650U 16GB DDR4 256GB SSD,$249.00,16 GB,AMD Ryzen 5 PRO 4650U,HP EliteBook 845 G7 Notebook PC,HP,AMD Radeon Graphics,"14.0""",256 GB,2025-02-05 01:14:14
"HP ProBook 15.6"" Laptop PC: Intel i5! 8GB RAM! 512GB SSD! Windows 10!",$194.99,8 GB,Intel Core i5 6th Gen.,HP Elitebook 850 G3,HP,Intel HD Graphics,15.6 in,512 GB,2025-02-05 01:14:22
"Dell Latitude 7410 14"" FHD Laptop i7-10610u 16GB DDR4 512gb NVMe WIN 11 pro CAM",US $279.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:15:32
"Dell Latitude 7400 14"" 256 GB SSD i7 8th Gen, 16GB Laptop Windows 10",$179.99,16 GB,Intel Core i5 8th Gen.,Dell Latitude 7400,Dell,Intel HD Graphics,14 in,256 GB,2025-02-05 01:14:11
"HP Laptop 17.3"" HD+ Intel N200 Up to 32GB RAM & 2TB SSD Windows11 Pro+OFFICE",$399.00,Up to 32GB,Intel N200,HP Pavilion 17,HP,Intel UHD Graphics,17.3 in,Up to 2TB,2025-02-05 01:14:34
"MICROSOFT SURFACE LAPTOP 3 1872 15"" CORE I5-1035G7 256GB SSD 16GB RAM W11Pro",US $425.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:16
"HP ENVY x360 13-ay0xxx 13.3"" (512 SSD, AMD Ryzen 7 4700U, 2-in-1) (Free Pen)",$559.01,16 GB,AMD Ryzen 7 4700U,HP ENVY x360,HP,AMD Radeon Graphics,13.3 in,512 GB,2025-02-05 01:14:09
"Acer Swift Go 14 AI  SFG14-73 Intel Core Ultra 5 16Gb RAM 1TB SSD 14"" 2.8K OLED",$600.70,16 GB,Intel Core Ultra 5,SFG14-73,Acer,Intel Arc Graphics,14 in,1 TB,2025-02-05 01:14:10
Dell Inspiron 15 3530 I3530-5067BLK-PUS Touchscreen Laptop-Open Box,$412.97,16 GB,Intel Core i5,Dell I3530-5067BLK-PUS,Dell,N/A,15.6 In.,512 GB,2025-02-05 01:14:07
Dell Laptop Windows 11 Latitude 5490 Intel Core i5 8th Gen 256 SSD 16GB Webcam,$179.00/ea,16 GB,Intel Core i5-8350U,Dell Latitude 5490,Dell,Intel UHD Graphics 620,14.1 in,256 GB,2025-02-05 01:14:13
"Lenovo IdeaPad 1i 14"" 256GB, Intel i3 1.20 GHz, 8GB RAM (82QC006KUS) New, Open",$239.99,8 GB,Intel Core i3 12th Gen.,IdeaPad 1i,Lenovo,Intel UHD Graphics,14 in,256 GB,2025-02-05 01:14:07
"Dell Latitude 5400 14"" FHD TOUCH i5-8365U 32GB 500GB SSD  Windows 11 Pro laptop",$259.99,32 GB,core i5 8th gen,DELL LATITUDE 5400,Dell,Intel UHD Graphics 620,14 in,500 GB,2025-02-05 01:14:19
"Lenovo Slim 14"" Chromebook Mediatek ARM, 4GB RAM, 64GB Storage, 82XJ002DUS",$99.99,4 GB,Mediatek Kompanio 520,Lenovo IP Slim 3 Chrome 14M868,Lenovo,ARM Mali-G52,14 in,64 GB,2025-02-05 01:14:24
"13.3"" Dell Latitude Laptop: Intel i5 Quad Core! FHD 1080P! Backlit Keyboard!",$197.99,8 GB,Intel Core i5 8th Gen.,Dell Latitude 7390,Dell,Intel HD Graphics,13.3 in,256 GB,2025-02-05 01:14:19
"HP 15-DY1044NR Replacement Laptop 15.6"" Touch LCD Screen Assembly On-Cell Touch",US $113.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:17
"10.1inch Android Netbook, Portable Laptop with A133P CPU, 2GB RAM 64GB ROM",$84.99,N/A,Quad-core 1.8GHz,N/A,Unbranded,N/A,10.1 in,N/A,2025-02-05 01:14:20
Lenovo ThinkPad E14 Intel i5-10210U 16GB RAM 1.60GHz 256GB SSD Windows 11 Pro,US $245.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:08
"Dell Latitude 5501 15.6"" Core i5 9400H 2.5GHz 16GB RAM 1TB SSD Win 11 Pro",$285.00,16 GB,Intel Core i5-9400H,Dell 5501,Dell,Intel UHD Graphics 630,15.6 in,1 TB,2025-02-05 01:14:18
"Dell Latitude 5430 13.3"" FHD i5-1245U @ 3.96GHz 16GB/512GB Win 11 Pro",US $304.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-05 01:14:16
"Lenovo ThinkPad 21D2001QUS Z13 13.3"" R7 16GB 512GB Touch W11 Pro Arctic Gray",$829.00,16 GB,AMD Ryzen 7 PRO 6000 Series,Lenovo ThinkPad Z13 Gen 1,Lenovo,AMD Radeon 680M,13.3 in,512 GB,2025-02-05 01:14:16
DELL Latitude 3420 Laptop Core i5-1145G7 2.60GHz 32GB RAM 512GB NVME WIN 11 pro,$327.99,32 GB,N/A,N/A,DELL,N/A,N/A,512 GB,2025-02-05 01:14:14
"Dell Inspiron 14 7440 14"" Touch Intel® Core™ 7 150U 512 GB SSD 16 GB DDR5",$699.99,N/A,Intel® Core™ 7 150U,Dell Inspiron 14 7440,Dell,N/A,"14""",512 GB,2025-02-05 01:14:14
HP EliteBook 850 G5 Core i7 8550U 1.80GHz 32GB RAM 1TB SSD Win 11 Pro,$385.00,32 GB,Intel Core i7 8th Gen.,HP EliteBook 850,HP,Intel UHD Graphics 620,15.6 in,1 TB,2025-02-05 01:14:07
"13.3"" Dell Latitude Laptop PC: Intel i7! 8GB RAM! 256GB SSD! Windows 10 Pro!",$149.95,8 GB,Intel Core i7 3rd Gen.,Dell Latitude E6330,Dell,Intel HD Graphics,13.3 in,256 GB,2025-02-05 01:14:19
"Lenovo ThinkPad E14 Gen 2 14"" i7-1165G7 2.4GHz 8GB 512GB WIN 11 PRO",$249.99,8 GB,Intel Core i7 11th Gen.,ThinkPad E14 Gen 2,Lenovo,Integrated Intel Iris Xe Graphics,14 in,512 GB,2025-02-05 01:14:15
CHUW MiniBook X Touchscreen Laptop Intel N100 12GB 512GB SSD Windows 11 Home,$314.99/ea,12 GB,intel N100,CHUWI MiniBook X,Chuwi,Intel UHD Graphics,10.5 in,512 GB,2025-02-05 01:14:09
