Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors
ZOTAC GeForce RTX  3060,251.6,ZOTAC,8.0,GDDR6,GeForce RTX  3060,DisplayPort; HDMI
ZOTAC GeForce RTX  3060,51.1,ZOTAC,12.0,GDDR5,GeForce RTX  3060,3 x DisplayPort 1.4a; 1 x HDMI 2.1
AMD amd rx 5600 xt 6 gb ddr6 outperforms rtx 3050 by 13 gtx 660 ti 15,277.6,AMD,12.0,GDDR5,GeForce RTX  3060,3 x DisplayPort 1.4a; 1 x HDMI 2.1
ZOTAC GeForce RTX 4070,7162757.2,ZOTAC,12.0,GDDR5,GeForce RTX 4070,HDMI
ZOTAC zotac geforce rtx 3070 ti trinity 19 gbps 40 gaming,962.1,ZOTAC,12.0,GDDR5,GeForce RTX  3070,HDMI
ZOTAC zotac gaming geforce rtx 3080 ti amp extreme holo 384bit 19 gbps,2723.4,ZOTAC,12.0,GDDR6,GeForce RTX  3080,VGA; DVI
ZOTAC GeForce RTX  3080,81.4,ZOTAC,4.0,GDDR6,GeForce RTX  3080,VGA; DVI
PNY GeForce RTX 4070,1246.5,PNY,12.0,GDDR6,GeForce RTX 4070,VGA; DVI
PNY GeForce RTX 4070,82.4,PNY,4.0,GDDR6,GeForce RTX 4070,DisplayPort
PNY GeForce RTX 4070,56.5,PNY,1.0,GDDR6,GeForce RTX 4070,DisplayPort
PNY NVIDIA,196.9,PNY,12.0,GDDR5,NVIDIA,HDMI
EVGA evga geforce gt730 ddr3,222.9,EVGA,12.0,GDDR5,NVIDIA,HDMI
EVGA NVIDIA,265.2,EVGA,12.0,GDDR6,NVIDIA,HDMI
ASUS asus rtx3060o12gv2 graphic rog herculx antisag holder,449.7,ASUS,2.0,GDDR5,NVIDIA,DisplayPort; DVI; HDMI
ZOTAC zotac gaming geforce rtx 3070 ti trinity 19 gbps 40,1235.4,ZOTAC,2.0,GDDR5,GeForce RTX  3070,DisplayPort; DVI; HDMI
ZOTAC GeForce GTX 960,401.9,ZOTAC,2.0,GDDR5,GeForce GTX 960,PCI Express
ZOTAC GeForce GTX 960,210.6,ZOTAC,2.0,GDDR6,GeForce GTX 960,PCI Express
ZOTAC zotac gaming geforce rtx 3050 twin edge 14 gbps 40 gaming,421.8,ZOTAC,8.0,GDDR6,GeForce RTX  3050,PCI Express
AMD AMD Radeon RX580,155.9,AMD,8.0,GDDR5,AMD Radeon RX580,VGA
AMD AMD Radeon RX580,197.0,AMD,8.0,GDDR5,AMD Radeon RX580,VGA
ZOTAC GeForce RTX 4080,2000.6,ZOTAC,2.0,GDDR5,GeForce RTX 4080,DVI; HDMI
ZOTAC GeForce RTX 4080,198.8,ZOTAC,2.0,GDDR5,GeForce RTX 4080,DVI; HDMI
ZOTAC GeForce RTX 4080,66.8,ZOTAC,2.0,GDDR5,GeForce RTX 4080,DVI; HDMI
ZOTAC GeForce RTX 4080,216.8,ZOTAC,8.0,GDDR5,GeForce RTX 4080,VGA; DisplayPort; HDMI
EVGA GeForce GTX 960,442.9,EVGA,2.0,GDDR5,GeForce GTX 960,VGA; DisplayPort; HDMI
EVGA GeForce GTX 960,128.6,EVGA,4.0,GDDR5,GeForce GTX 960,DisplayPort; HDMI
EVGA GeForce GTX 960,53.3,EVGA,1.0,GDDR5,GeForce GTX 960,DisplayPort; HDMI
EVGA GeForce GTX 960,2003.3,EVGA,16.0,GDDR5,GeForce GTX 960,DisplayPort; HDMI
EVGA GeForce GTX 960,91.6,EVGA,8.0,GDDR5,GeForce GTX 960,DisplayPort; HDMI
ZOTAC GeForce RTX 4070,1903.4,ZOTAC,12.0,GDDR5,GeForce RTX 4070,DisplayPort; HDMI and DisplayPort
ASUS asus rtx3060o12gv2 graphic rog herculx antisag holder,470.2,ASUS,16.0,GDDR5,GeForce RTX 4070,DisplayPort; HDMI and DisplayPort
ASUS GeForce RTX 4070,177.8,ASUS,16.0,GDDR5,GeForce RTX 4070,DisplayPort; HDMI and DisplayPort
ZOTAC GeForce RTX 4070,1056.5,ZOTAC,16.0,GDDR5,GeForce RTX 4070,DisplayPort; HDMI and DisplayPort
ZOTAC GeForce RTX 4060,893.7,ZOTAC,16.0,GDDR5,GeForce RTX 4060,DisplayPort; HDMI and DisplayPort
ZOTAC GeForce RTX 4080,2424.2,ZOTAC,16.0,GDDR6,GeForce RTX 4080,DisplayPort; HDMI and DisplayPort
