title,price,image_url,product_url,Aspect Ratio,Item model number,Package Weight,Brand,Date First Available,Manufacturer,Standing screen display size,ASIN,Resolution,Screen Size,Screen Surface Description,Product Dimensions,Item Weight,Voltage
"24 Inch Monitor IPS Screen FHD 1080p Computer PC Monitor 75hz Flicker Free, 5ms Low ...",MAD 1054,https://m.media-amazon.com/images/I/71x56UDrWeL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MKTIJPZX8-24-inch-monitor-ips-screen-fhd-1080p-computer-pc-monitor-75hz-flicker-free-5ms-low-blue-light-anti-glare-led-24-desktop-display,,,,,,,,,,,,,,
"21.5 Inch Monitor, Full HD 1080p Computer Monitor with VGA & HDMI Ports, 75Hz ...",MAD 1286,https://m.media-amazon.com/images/I/718hrjhyFCL._AC_SL1500_.jpg,https://www.ubuy.ma/en/product/8ROV6862U-feihe-17-inch-computer-monitor-fhd-1920x1200-led-monitor-with-hdmi-vga-build-in-speakers-60hz-refresh-rate-vesa-mounting,,,,,,,,,,,,,,
"21.5 Inch Monitor, Full HD 1080p Computer Monitor with VGA & HDMI Ports, 75Hz ...",MAD 1286,https://m.media-amazon.com/images/I/718hrjhyFCL._AC_US218_.jpg,https://www.ubuy.ma/en/product/4KGGXKEM4-feihe-1920-x-1080p-computer-monitor-21-5-inch-monitor-with-75hz-refresh-rate-5s-response-time-built-in-dual-speakers-computer-screen-with,,,,,,,,,,,,,,
"24 Inch Monitor 75Hz FHD IPS Computer Screen 1080P PC Monitor, 5msGTG 99% sRGB Low ...",MAD 1067,https://m.media-amazon.com/images/I/81wRACzPHfL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MW0PX2WO0-24-inch-monitor-75hz-fhd-ips-computer-screen-1080p-pc-monitor-5ms-gtg-99-srgb-low-blue-light-anti-glare-led-desktop-display,,,,,,,,,,,,,,
27 Inch Monitor FHD 1080p 75Hz Gaming Monitor Home Office PC Monitor IPS Panel ...,MAD 1286,https://m.media-amazon.com/images/I/71u+LQUnCyL._AC_US218_.jpg,https://www.ubuy.ma/en/product/MKTIJPZV4-27-inch-monitor-fhd-1080p-75hz-gaming-monitor-home-office-pc-monitor-ips-panel-computer-display-hdmi-vga-flicker-free-flicker-free-blue-light,,,,,,,,,,,,,,
"27 inch Curved Gaming Monitor, 144hz/180hz PC Monitor FHD 1080P VA Screen 1800R ...",MAD 1833,https://m.media-amazon.com/images/I/719+stkL4PL._AC_US218_.jpg,https://www.ubuy.ma/en/product/IQDU0DOMS-zer-lon-27-inch-gaming-monitor-full-hd-1920-x-1080p-computer-monitor-180hz-1ms-1800r-va-curved-monitors-with-dp1-4-hdmi1-4-eye-care-frameless-100-x,,,,,,,,,,,,,,
Computer Monitor 14 Inch Touchscreen Portable Monitor FHD HDR 1080P 100% sRGB Small ...,MAD 1423,https://m.media-amazon.com/images/I/71zmjcodG0L._AC_US218_.jpg,https://www.ubuy.ma/en/product/JMM4GKDZU-showscren-pc-monitor-14-inch-touchscreen-portable-monitor-fhd-hdr-1080p-99-srgb-desktop-monitor-with-hdmi-usb-c-port-multifunctional-stand-built-in,,,,,,,,,,,,,,
PC Monitor 15.6 Inch Touchscreen Portable Monitor HDR 1920x1080 100% sRGB ...,"MAD 1420                                                                        
                                                                            1546",https://m.media-amazon.com/images/I/71h0iFC3uQL._AC_US218_.jpg,https://www.ubuy.ma/en/product/JN2FYD7C8-showscren-pc-monitor-15-6-inch-touchscreen-portable-monitor-hdr-1920x1080-100-srgb-hdmi-usb-c-ips-desktop-monitor-with-speakers-for,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4QZHV5E5S-koorui-27-inch-fhd-monitor-computer-monitor-ips-panel-1080p-75hz-hdmi-vga-99-srgb-5ms-response-eye-care-virtually-borderless-design-display,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JS6O5AEJO-koorui-24-inch-computer-monitor-full-hd-1920-x-1080p-va-display-75hz-3000-1-contrast-ratio-with-hdmi-vga-frameless-75-x-75-mm-vesa-mountable,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/EQJSF6AY8-koorui-22-inch-computer-gaming-monitor-fhd-1080p-desktop-display-with-2-speakers-100hz-ultra-thin-bezel-eye-care-ergonomic-tilt-hdmi-vga-ports-led,,,,,,,,,,,,,,
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BI8IRXA6S-koorui-24-full-hd-ips-monitor-computer-monitors-75hz-5ms-1080p-3-sided-frameless-ultra-slim-design-hdmi-vga-vesa-compatible-eye,,,,,,,,,,,,,,
"Dell 27 inch Monitor, P2722H Full HD 1080p Computer Monitor, Anti Glare 169 IPS ...",MAD 3732,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FSVXWOZ20-dell-27-inch-monitor-p2722h-full-hd-1080p-computer-monitor-anti-glare-16-9-ips-computer-screen-lcd-60hz-monitor-with-slim-design-for-home-and,,,,,,,,,,,,,,
LYMAX Computer Monitor Led Lights PC Monitor LED Bar Eye Caring Monitor Led Lights ...,"MAD 548                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4LMKEZ7WQ-raone-monitor-light-bar-flat-curved-monitor-screen-led-lights-eye-caring-pc-monitor-led-bar-space-saving-desk-lamp-with-auto-dimming-for,,,,,,,,,,,,,,
"STGAubron 24 Inch Gaming Computer Monitor, FHD 1920 x 1080P Office PC LED Display, ...",MAD 1423,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/CDCNMZESO-stgaubron-24-inch-gaming-computer-monitor-fhd-1920-x-1080p-office-pc-led-display-99-srgb-hdmi-vga-vesa-ergonomic-tilt-adjustment,,,,,,,,,,,,,,
"SANSUI Computer Monitor 22 inch Monitor IPS FHD 1080P PC Monitor 75Hz, Monitors ...",MAD 999,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IKERR1IMC-sansui-monitor-22-inch-ips-75hz-fhd-1080p-hdmi-vga-ports-computer-monitor-ultra-thin-tilt-adjustable-vesa-mount-with-178-wide-viewing-angle,,,,,,,,,,,,,,
