title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
ZOTAC NVIDIA GeForce RTX 4060 8GB Twin Edge 8 GB GDDR6 ...,325.29,ZOTAC,8,GDDR6,GeForce RTX 4060 8GB Twin Edge,DVI,2/2/2025 20:00
ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,16.33,ZEBRONICS,2,DDR3,ZEB-GT610,HDMI,2/2/2025 20:00
Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,234.93,Colorful,4,DDR5,GT-1050,"HDMI, DVI",2/2/2025 20:00
AARVEX NVIDIA GT 730 4GB GDDR3 GPU 4 GB DDR3 Graphics C...,37.41,AARVEX,4,DDR3,GT 730 4GB GDDR3 GPU,"HDMI, DVI",2/2/2025 20:00
ASRock AMD Radeon RX 7600 8 GB GDDR6 Graphics Card,299.99,ASRock,8,GDDR6,RX 7600,Unknown,2/2/2025 20:00
Colorful NVIDIA Battle AX Mainstream 4 GB GDDR4 Graphic...,192.77,Colorful,4,GDDR4,Battle AX Mainstream,DVI,2/2/2025 20:00
ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,253,ASRock,4,GDDR6,RX6500XT PGD,HDMI,2/2/2025 20:00
JieShuo AMD Radeon RX 590 8 GB GDDR5 Graphics Card,127.7,JieShuo,8,GDDR5,RX 590,HDMI,2/2/2025 20:00
Colorful NVIDIA Battle AX Mainstream 8 GB GDDR6 Graphic...,469.88,Colorful,8,GDDR6,Battle AX Mainstream,Unknown,2/2/2025 20:00
JieShuo AMD Radeon RX 580 8 GB GDDR5 Graphics Card,124.08,JieShuo,8,GDDR5,RX 580,HDMI,2/2/2025 20:00
GIGABYTE NVIDIA N710D5-2GIL 2 GB GDDR5 Graphics Card,46.69,GIGABYTE,2,GDDR5,N710D5-2GIL,Unknown,2/2/2025 20:00
ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Car...,361.43,ZOTAC,8,GDDR6,RTX 3050 Twin Edge,Unknown,2/2/2025 20:00
ZOTAC NVIDIA GeForce RTX 4060 Ti Twin Edge 8 GB GDDR6 G...,461.22,ZOTAC,8,GDDR6,GeForce RTX 4060 Ti Twin Edge,Unknown,2/2/2025 20:00
"Zorbes NVIDIA Graphics Card Bracket, GPU Stand,Graphics...",7.16,Zorbes,1,DDR3,"Graphics Card Bracket, GPU Stand,Graphics Card GPU Brace",Unknown,2/2/2025 20:00
mytechvision AMD Radeon AMD RADEON 8 GB GDDR5 Graphics ...,130.11,mytechvision,8,GDDR5,AMD RADEON,Unknown,2/2/2025 20:00
Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graph...,285.41,Inno3D,8,GDDR6,GEFORCE RTX 3050 TWIN X2,Unknown,2/2/2025 20:00
