Category,Title,Price,RAM,CPU,Model,GPU,Screen Size,Storage,Collection Date
Laptops,"2020 Apple Macbook Air 13'' i5 1.1GHz 8GB RAM 256GB SSD MVH22LLA, Space Gray",399.0,8.0,Intel Core i5 10th Gen.,MacBook Air,,13 in,256.0,2025-01-27 01:46:39
Laptops,Apple 13.3 Macbook Pro i5 2.7GHz 8GB RAM 128GB SSD Silver MF839LL/A Very Good,209.99,8.0,Intel Core i5 5th Gen.,MacBook Pro,,13.3 in,128.0,2025-01-27 01:47:40
Laptops,Mdngt Apple MBK Air 15- 2024 M3 / 8GB RAM / 256GB SSD / 10C gpu & Applecare+,929.99,8.0,Apple M3,MacBook Air,,15 in,256.0,2025-01-27 01:46:24
Laptops,"Apple MacBook Pro (13-, 8GB RAM, 256GB SSD Storage, ) - Silver",799.0,8.0,Intel Core i5 8th Gen.,MacBook Pro,,13.3 in,256.0,2025-01-27 01:48:32
Laptops,Apple 13.3 MacBook Air i7 2.2GHz 8GB RAM 256GB SSD Silver Z0UU1LL/A Good,225.99,8.0,Intel Core i7,MacBook Air,,13.3,256.0,2025-01-27 01:47:52
Laptops,Apple Macintosh 13  Retina Display Laptop  2.9 MHz 16 GB  500 Gig SSD S7566x,375.0,16.0,2.9 GHz Dual Core i5,MacBook Pro,,13 in,500.0,2025-01-27 01:46:08
Laptops,MacBook Pro 13 Touch Bar Space Gray 2018 2.7 GHz i7 16GB 1TB Excellent Condition,459.99,16.0,Intel Core i7 8th Gen.,MacBook Pro,,13.3 in.,,2025-01-27 01:48:04
Laptops,Apple MacBook Pro Core i7 2.5GHz 16GB RAM 512GB SSD 15 MJLT2LL/A (2015) - Good,294.97,16.0,Intel Core i7,Apple Macbook Pro,,15.4 in,512.0,2025-01-27 01:47:31
Laptops,MacBook Pro 13 Touch Bar Space Gray 2019 2.8GHz i7 16GB 512GB Good,389.99,16.0,Intel Core i7 8th Gen.,MacBook Pro,,13.3 in.,512.0,2025-01-27 01:45:42
Laptops,Apple MacBook Air Core i5 1.6GHz 8GB RAM 256GB SSD 13 MVFJ2LL/A (2019) - Good,334.97,8.0,Intel Core i5,Apple MacBook Air,,13.3 in,256.0,2025-01-27 01:48:08
Laptops,"Apple MacBook Pro 15.4 512GB SSD Intel Core i7 4th Gen 2.8GHz 16GB RAM, Good",256.99,16.0,Intel Core i7,Apple MacBook Pro,,15 in,512.0,2025-01-27 01:47:54
Laptops,MacBook Pro 13 Space Gray 2017 2.3GHz Intel Core i5 8GB 256GB SSD - Good Cond,265.19,8.0,Intel Core i5 1st Gen.,MacBook Pro,,13 in,256.0,2025-01-27 01:46:22
Laptops,Apple MacBook Air Core i5 1.7GHz 4GB RAM 128GB SSD 11 MD224LL/A 2012 Very Good,129.97,4.0,Intel Core i5,Apple MacBook Air,,11 in,128.0,2025-01-27 01:45:58
Laptops,Apple MacBook Pro 16 Silver 2019 2.6GHz i7 16GB 512GB SSD Radeon Pro 5300M,439.99,16.0,Intel Core i7 9th Gen.,MacBook Pro,,16 in.,512.0,2025-01-27 01:45:26
Laptops,MacBook Pro 15 Touch Bar Space Gray 2018 2.6GHz 16GB 512GB - Radeon Pro 560X,367.19,16.0,Intel Core i7 8th Gen.,MacBook Pro,,15 in,512.0,2025-01-27 01:45:53
Laptops,SEQUOIA Apple MacBook Pro 13 4.1GHz i7 Quad Core 16GB RAM 1TB SSD - WARRANTY,755.87,16.0,Intel Core i7,MacBook Pro (Magic Keyboard),,13 in,,2025-01-27 01:47:31
Laptops,Apple Macbook Pro Retina 13” 2015 2.7GHz i5 8GB RAM 256GBSSD  macOS Ventura 2023,245.0,8.0,Intel Core i5 7th Gen.,MacBook Pro (Retina),,13 in,256.0,2025-01-27 01:47:25
Laptops,MacBook Pro 16 Touch Bar Silver 2019 2.4GHz i9 16GB 1TB - AMD Radeon Pro 5500M,429.99,16.0,Intel Core i9 9th Gen.,MacBook Pro,,16 in,,2025-01-27 01:48:38
Laptops,Apple 2024 MacBook Air 13.6  Laptop w/ M3 chip: 512GB SSD; 8GB RAM. NEW,771.0,8.0,Apple M3,MacBook Air,,13 in,512.0,2025-01-27 01:47:43
Laptops,MacBook Pro 16 Touch Bar Space Gray 2019 2.6GHz i7 16GB 512GB - Radeon Pro 5300M,379.99,16.0,Intel Core i7 9th Gen.,MacBook Pro,,16 in,512.0,2025-01-27 01:48:13
Laptops,Apple MacBook Air MRYU3LL/A 2024 Magsafe 3 - M3 15.3 8GB/512GB SSD Excellent,979.0,8.0,Apple M3,MacBook Air,,15.3 in,512.0,2025-01-27 01:46:05
Laptops,Apple MacBook Air M1 8-Core CPU 8GB RAM 256GB SSD 13 MGND3LL/A (2020) - Good,514.97,8.0,Apple M1 8-Core CPU,Apple MacBook Air,,13.3 in,256.0,2025-01-27 01:47:48
Laptops,2020+ Apple MacBook Pro 13 3.2GHz M1 TURBO 8GB RAM 256GB SSD - SEQUOIA,605.81,8.0,Apple M1,MacBook Pro (Magic Keyboard),,13 in,256.0,2025-01-27 01:47:30
Laptops,13 Apple MacBook Pro 2018 2.3GHz Intel Core i5 8GB RAM 512GB SSD Sequoia - Good,296.1,8.0,Intel Core i5 8th Gen.,MacBook Pro (Thunderbolt 3),,13 in,512.0,2025-01-27 01:46:04
Laptops,Apple MacBook Air Core i5 1.6GHz 4GB RAM 256GB SSD 13 MJVG2LL/A 2015 Very Good,214.97,4.0,Intel Core i5,Apple MacBook Air,,13.3 in,256.0,2025-01-27 01:47:10
Laptops,Apple MacBook Pro 15.4 Laptop Retina 512GB SSD 8GB RAM MC976LL/A 2012,224.08,8.0,Intel Core i7 3rd Gen.,MacBook Pro (Retina),,15.4 in,512.0,2025-01-27 01:48:04
Laptops,Apple MacBook Pro Core i5 2.0GHz 16GB RAM 512GB SSD 13 MWP72LL/A 2020 Very Good,542.99,16.0,Intel Core i5,Apple MacBook Pro,,13.3 in,512.0,2025-01-27 01:46:29
Laptops,SEQUOIA MACBOOK PRO 15 TOUCHBAR - 8 CORE 2.3GHz i9 TURBO 32GB RAM 1TB SSD,754.59,32.0,Intel Core i9,MacBook Pro (Retina),,15 in,,2025-01-27 01:45:28
Laptops,Apple Macbook Pro Quad Core i7 2.3ghz 13 16GB RAM 1TB Silver MWP82LL/A 2020,666.88,16.0,Intel Core i7 10th Gen.,MacBook Pro,,13 in,,2025-01-27 01:46:22
Laptops,Apple MacBook Air Core i5 1.4GHz 8GB RAM 128GB SSD 13 MD760LL/B (2014) - Good,189.97,8.0,Intel Core i5,Apple MacBook Air,,13.3 in,128.0,2025-01-27 01:47:00
