Category,Title,Price,RAM,CPU,Model,GPU,Screen Size,Storage,Collection Date
Laptops,Apple MacBook Pro Core i7 1.7GHz 16GB RAM 512GB SSD 13.3 MUHP2LL/A (2019) Good,504.97,16.0,Intel Core i7,Apple MacBook Pro,,13.3 in,512.0,2025-01-27 01:48:32
Laptops,SEQUOIA  APPLE MACBOOK PRO 16 16GB RAM 1TB SSD 2.3GHZ i9 WARRANTY,729.11,8.0,Intel Core,MacBook Pro (Magic Keyboard),,16 in,256.0,2025-01-27 01:48:14
Laptops,Apple MacBook Pro 13 Touch Bar Space Gray  3.1 GHz i5 8GB 256GB SSD Very Good,389.99,8.0,Intel Core i5,MacBook Pro,,13 in,256.0,2025-01-27 01:45:45
Laptops,Apple MacBook Pro Core i7 1.7GHz 8GB RAM 512GB SSD 13 MUHP2LL/A (2019) - Good,489.97,8.0,Intel Core i7,Apple MacBook Pro,,13.3 in,512.0,2025-01-27 01:48:08
Laptops,Apple iBook G3 Clamshell . UNIQUE OS 9 + Many Gifts COLLECTOR PIECE  ⭐️⭐️⭐️⭐️⭐,1338.75,,Mac POWER PC G3,NOTEBOOK IBOOK G3,,12.1 LCD,,2025-01-27 01:47:31
Laptops,2018 Apple Macbook Pro 15'' Retina i7-8750H 2.2GHz 16GB 512GB A1990 MR932LL/A,459.0,16.0,I7-8750H,MacBook Pro (Retina),,15 in,512.0,2025-01-27 01:49:41
Laptops,Apple Macbook Air Mqd32ll/a 2017 MS2-45W Silver - Azerty/French 8GB 13.3 256GB,429.0,8.0,Intel Core i5 5th Gen.,MacBook Air,,13.3 in,256.0,2025-01-27 01:47:20
Laptops,Apple MacBook Pro 15 2017 Silver i7 2.8GHz 16GB 512GB SSD MacOS MPTR2LL/A LC,359.99,16.0,Intel Core i7 7th Gen.,MacBook Pro,,15.4 in,512.0,2025-01-27 01:48:20
Laptops,Apple MacBook Air Core i3 1.1GHz 8GB RAM 512GB SSD 13 MWTK2LL/A (2020) - Good,444.97,8.0,Intel Core i3,Apple MacBook Air,,13.3 in,512.0,2025-01-27 01:48:37
Laptops,Apple MacBook Air 13 2022 M2 8-Core CPU 8-Core GPU 8GB 256GB Starlight Good,639.99,8.0,Apple M2,MacBook Air,,13.3 in.,256.0,2025-01-27 01:46:20
Laptops,Apple MacBook Pro 14 2021 M1 Pro 10-Core CPU 14-Core GPU 16GB 1TB Silver,999.99,16.0,Apple M1 Pro,MacBook Pro,,14 in.,,2025-01-27 01:45:55
Laptops,"2016 Apple MacBook Pro 15'' Core I7 2.6GHz 16GB RAM 2TB SSD MLH32LL/A, Gray",519.0,16.0,Intel Core i7 6th Gen.,MacBook Pro,,15 in,,2025-01-27 01:48:07
Laptops,Apple MacBook Pro Core i5 1.4GHz 8GB RAM 1TB SSD 13.3 MUHR2LL/A 2019 Very Good,489.97,8.0,Intel Core i5,Apple MacBook Pro,,13.3 in,1000.0,2025-01-27 01:48:23
Laptops,Apple MacBook Air Core i3 1.1GHz 8GB RAM 512GB SSD 13 MWTK2LL/A (2020) - Good,444.97,8.0,Intel Core i3,Apple MacBook Air,,13.3 in,512.0,2025-01-27 01:45:53
Laptops,Apple MacBook Air 11.6 4GB RAM 256GB SSD,179.0,4.0,Intel Core i5 5th Gen.,MacBook Air,,11.6 in,256.0,2025-01-27 01:45:32
Laptops,Apple MacBook Air MJVE2LL/A 2015 MS2-45W Silver - Azerty/French 4GB 13.3 128GB,300.0,4.0,Intel Core i5 5th Gen.,MacBook Air,,13.3 in,128.0,2025-01-27 01:48:21
Laptops,Apple MacBook Pro 16- 2019 A2141 i7-9750H 2.6GHz 16GB RAM 512GB SSD TouchBar,489.99,16.0,Intel Core i7 9th Gen.,MacBook Pro,,16 in,512.0,2025-01-27 01:47:24
Laptops,Apple MacBook Pro 13 Touch Bar  3.1 GHz i5 8GB 256GB SSD Very Good,389.99,8.0,Intel Core i5,MacBook Pro,,13 in,256.0,2025-01-27 01:46:51
Laptops,Apple MacBook Pro 13- 2017 i5-7360U 2.3GHz 16GB RAM 256GB SSD FOR PARTS READ,209.99,16.0,Intel Core i5 7th Gen.,MacBook Pro,,13 in,256.0,2025-01-27 01:46:09
Laptops,Apple MacBook Pro MPXQ2LL/A 13 2017 i5-7th Gen Azerty/French 8GB RAM 128GB,699.0,8.0,Intel Core i5 7th Gen.,MacBook Pro,,13.3 in,128.0,2025-01-27 01:45:50
Laptops,Apple MacBook Pro 16 MVVM2LLA i9 2.3GHz 32GB 1TB (Space Gray) - Very Good,845.99,32.0,Intel Core i9 9th Gen.,MacBook Pro,,16 in,,2025-01-27 01:46:06
Laptops,Apple MacBook Pro Mjlq2ll/a 2015 MS2-85W Silver - Azerty/French I7 16GB 15.4 1TB,549.0,16.0,Intel Core i7 4th Gen.,MacBook Pro,,15.4 in,,2025-01-27 01:48:04
Laptops,Apple Geek Squad Certified  MacBook Air 13.3•8GB•13.3 es,588.99,8.0,Not provided,Geek Squad Certified Refurbished MacBook Air 13.3,,13.3 in,256.0,2025-01-27 01:46:55
Laptops,"MacBook Air Apple A1466 , 13.3 Laptop, core i5, 4GB RAM, 128GB SSD Early 2015",315.07,4.0,Intel Core i5 5th Gen.,A1466,,13.3 in,128.0,2025-01-27 01:48:06
Laptops,Apple MacBook Air 11'' Core i5-5250U 1.6GHz 4GB 128GB SSD MJVM2LL/A 2015,159.99,4.0,Intel Core i5 5th Gen.,MacBook Air,,11 in,128.0,2025-01-27 01:46:45
Laptops,Apple MacBook Pro Me864ll/a 2013 MS2-60W Silver - Azerty/French 16GB 13.3 512GB,234.0,16.0,Intel Core i5 4th Gen.,MacBook Pro,,13.3 in,512.0,2025-01-27 01:47:48
Laptops,SEQUOIA MACBOOK PRO 15 TOUCHBAR - 6 CORE 2.9GHz i9 TURBO - 32GB RAM 1TB SSD,705.35,32.0,Intel Core i9,MacBook Pro (Retina),,15 in,,2025-01-27 01:46:45
Laptops,Apple MacBook Pro Core i7 2.8GHz 16GB RAM 512GB SSD 13 MV9A2LL/A (2019) - Good,499.97,16.0,Intel Core i7,Apple MacBook Pro,,13.3 in,512.0,2025-01-27 01:45:54
