Category,Title,Price,Screen Size,Refresh Rate,Response Time,Brand,Model,Collection Date,Condition
Gaming Monitors,"LG 34GK950F-B 34"" 21:9 UltraGear™ QHD Curved IPS Gaming Monitor",40.0,34.0,163.0,4.0,LG,PS4087,2025-01-27 00:26:42,New
Gaming Monitors,"Onn. 24"" FHD 1080p 165hz 1ms Gaming Monitor, includes 6ft DP & HDMI Cable",79.87,24.0,165.0,1.0,ONN,ONN 100027813,2025-01-27 00:24:21,New
Gaming Monitors,"ASUS TUF VG32VQ1B 31.5"" WQHD 16:9 165Hz VA LCD Gaming Monitor - SKU#1697164",24.0,31.5,165.0,2.0,ASUS,ASUS TUF Gaming VG32VQ1B,2025-01-27 00:28:17,New
Gaming Monitors,"Crossover 27GQ7 IPS QHD Crossgear 27"" Monitor 2560 x 1440 75Hz sRGB 125%",269.99,27.0,75.0,5.0,Crossover,27GQ7 IPS QHD Crossgear,2025-01-27 00:28:50,New
Gaming Monitors,"SAMSUNG 25"" Odyssey G4 Series FHD Gaming Monitor, 240Hz, LS25BG402ENXGO - BLACK",210.0,25.0,240.0,1.0,Samsung,dyssey G4 Series,2025-01-27 00:26:15,New
Gaming Monitors,ASUS VA27EHF Eye Protection FHD 27 Inch 100Hz 1ms Gaming Monitor,210.88,27.0,100.0,1.0,ASUS,PS4087,2025-01-27 00:28:11,New
Gaming Monitors,Acer Nitro XFA243Y Sbiipr 23.8” Full HD (1920 x 1080) VA Gaming Monitor NEW,229.0,23.8,105.0,2.0,Acer,PS4087,2025-01-27 00:28:46,New
Gaming Monitors,AOC C27G2Z 27'' Curved Frameless Ultra-Fast Gaming Monitor Black,55.0,27.0,240.0,0.0,AOC,C27G2Z,2025-01-27 00:24:32,New
Gaming Monitors,"New HP V27i G5 27"" LCD FHD Monitor AMD FreeSync Tilt 75Hz HDMI VGA DisplayPort",79.99,27.0,75.0,5.0,HP,V27i G5,2025-01-27 00:26:19,New
Gaming Monitors,G27C4X 27 Curved Gaming Monitor 1920 x 1080 FHD 1ms 250Hz FreeSync HDMI DisplayP,247.04,22.8,112.0,4.0,MSI,PS4087,2025-01-27 00:24:32,New
Gaming Monitors,"BenQ MOBIUZ EX2510S 24.5"" Full HD 16:9 165Hz IPS LED Gaming Monitor with Eye-Car",104.0,24.5,165.0,2.0,BenQ,BenQ MOBIUZ EX2510S,2025-01-27 00:26:26,New
Gaming Monitors,24 inch LED/LCD Ultra-thin Compute Curved Screen Monitor PC 75Hz HD Gaming HDMI,334.3788,24.0,75.0,5.0,Xintai Touch,XT-CM2401W,2025-01-27 00:26:23,New
Gaming Monitors,HORI Portable Gaming Monitor for PlayStation 4 PS4 PS4-087 from Japan,129.99,15.6,60.0,8.0,Hori,PS4087,2025-01-27 00:24:21,New
Gaming Monitors,"ASUS TUF Gaming VG259 24.5"" Monitor - Full HD 144Hz IPS Adaptive-Sync",64.49,24.5,144.0,1.0,ASUS,VG259,2025-01-27 00:26:23,New
