Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Response Time,Model,Refresh Rate,Price (USD),Brand
"ZEBRONICS 76.2 cm (30 inch) Curved WFHD VA Panel with 300 Nits Brightness, HDR10, 99% sRGB, 95% DCI-P3...",20999.0,76.2,2560x1080,21:09,1.0,"ZEB-IGM 106,ZEB-N30A",200.0,251.99,Unknown
"SAMSUNG M5 68.58 cm (27 inch) Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Offic...",15299.0,68.58,1920x1080,,4.0,LS27DM500EWXXL,60.0,183.59,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),3154.0,50.8,1600x900,16:09,5.0,MON-0054,60.0,37.85,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),2699.0,50.8,1600x900,16:09,3.0,MON-0074,60.0,32.39,Unknown
"Acer Nitro 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbui...",7999.0,60.45,1920x1080,16:09,0.5,VG240Y,180.0,95.99,Unknown
"Acer 54.61 cm (21.5 inch) Full HD IPS Panel with Blue Light Shield, Low Dimming, Comfy View, Eco Displ...",6862.0,54.61,,16:09,1.0,SA222Q,100.0,82.34,Unknown
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),11999.0,81.28,1920x1080,16:09,8.0,ZEB -AC32FHD LED,75.0,143.99,Unknown
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...",7599.0,60.45,,16:09,5.0,24MR400-BA.CTRRMV,100.0,91.19,Unknown
"LG 68.58 cm (27 inch) Full HD IPS Panel with Dynamic Action Sync, Black Stabilizer, OnScreen Control, ...",10500.0,68.58,,,5.0,27MS500-BB.ATRKMVN,100.0,126.0,Unknown
SAMSUNG 68.58 cm (27 inch) Full HD LED Backlit IPS Panel Frameless Monitor (LS27C310EAWXXL),8599.0,68.58,1920x1080,16:09,5.0,LS27C310EAWXXL,75.0,103.19,Unknown
"SAMSUNG Odyssey G4 68.58 cm (27 inch) Full HD IPS Panel with Ergonomic Stand, HDR10, Dual Sync Compati...",20899.0,68.58,1920x1080,16:09,1.0,LS27BG400EWXXL/LS27BG402EWXXL,240.0,250.79,Unknown
LG 68.58 cm (27 inch) 4K Ultra HD IPS Panel White Colour Monitor (27UL500),18479.0,68.58,3840x2160,16:09,5.0,27UL500,60.0,221.75,Unknown
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",9999.0,39.62,1920x1080,16:09,25.0,(Zeb-Pixigo A16 (Zeb-KPM 2)),60.0,119.99,Unknown
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...",15999.0,81.28,1920x1080,16:09,12.0,ZEB-AC32FHD LED,165.0,191.99,Unknown
"Lenovo D-Series 49.53 cm (19.5 Inch) Full HD TN Panel with Fully Adjustable Tilt Stand, Seamless Conne...",6099.0,49.53,1600x900,16:09,5.0,D20-30,60.0,73.19,Unknown
MarQ by Flipkart 81.28 cm (32 inch) Full HD LED Backlit VA Panel Gaming Monitor (32FHDMMQTT9G),11999.0,81.28,1920x1080,16:09,1.0,32FHDMMQTT9G,165.0,143.99,Unknown
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,6599.0,60.45,,,4.0,D24-20/D24-40,75.0,79.19,Unknown
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),2469.0,43.18,1280x1024,5:04,5.0,MON-0065,60.0,29.63,Unknown
"DELL SE-Series 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 5-Years warranty, Brightness: 250 ...",7799.0,68.58,1920x1080,16:09,4.0,SE2722H,75.0,93.59,Unknown
Frontech 39.12 cm (15.4 inch) HD LED Backlit VA Panel Monitor (MON-0068),2470.0,39.12,1280x800,16:10,3.0,MON-0068,60.0,29.64,Unknown
"Acer NITRO VG1 series 68.58 cm (27 inch) WQHD IPS Panel with DCI-P3 95%, HDR10 support, 2X2W Inbuilt S...",14999.0,68.58,,,1.0,VG271U M3,180.0,179.99,Unknown
"SAMSUNG Odyssey G3 60.96 cm (24 inch) Full HD LED Backlit VA Panel with DP, HDMI, Height/Tilt/Pivot Ad...",10999.0,60.96,1920x1080,16:09,1.0,LS24DG300EWXXL,180.0,131.99,Unknown
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...",9799.0,60.45,1920x1080,16:09,4.0,S2421HNM / S2421HN,75.0,117.59,Unknown
"ZEBRONICS 68.58 cm (27 inch) Full HD IPS Panel with 300 Nits Brightness, HDR10, 99% sRGB 1 x DP, 1 x H...",11799.0,68.58,1920x1080,16:09,1.0,"ZEB-IGM 102,ZEB-N27A",180.0,141.59,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
"SAMSUNG 68.58 cm (27 inch) Curved Full HD VA Panel with 1800R Curvature, HDMI, Audio Ports, Flicker Fr...",9899.0,68.58,1920x1080,16:09,4.0,LS27C360EAWXXL/LS27C366EAWXXL,75.0,118.79,Unknown
"SAMSUNG S4 60.96 cm (24 inch) Full HD IPS Panel with Eye Saver Mode, Flicker Free, Height Adjustable S...",11599.0,60.96,1920x1080,16:09,4.0,LS24C430GAWXXL,100.0,139.19,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),3154.0,50.8,1600x900,16:09,5.0,MON-0054,60.0,37.85,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),2699.0,50.8,1600x900,16:09,3.0,MON-0074,60.0,32.39,Unknown
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...",9999.0,39.62,1920x1080,16:09,25.0,(Zeb-Pixigo A16 (Zeb-KPM 2)),60.0,119.99,Unknown
"Acer 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with Blue Light Shield, Low Dimming, Comfy View,...",9606.0,68.58,1920x1080,,1.0,SA272E,100.0,115.27,Unknown
Frontech Ultima Series 62.23 cm (24.5 inch) Full HD LED Backlit IPS Panel Monitor (MON-0087),6973.0,62.23,1920x1080,16:09,8.0,MON-0087,100.0,83.68,Unknown
"SAMSUNG M5 81.28 cm (32 inch) Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Offic...",17899.0,81.28,1920x1080,,4.0,LS32DM500EWXXL,60.0,214.79,Unknown
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),11999.0,81.28,1920x1080,16:09,8.0,ZEB -AC32FHD LED,75.0,143.99,Unknown
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...",7599.0,60.45,,16:09,5.0,24MR400-BA.CTRRMV,100.0,91.19,Unknown
"LG 73.66 cm (29 inch) WFHD LED Backlit IPS Panel with HDR 10, Black Stabilizer, Dynamic Action Sync, D...",14219.0,73.66,2560x1080,21:09,5.0,29WL500,75.0,170.63,Unknown
"ZEBRONICS 60.96 cm (24 inch) Full HD IPS Panel with 280 Nits Brightness, Built-in Speakers, HDR10, 99%...",8999.0,60.96,1920x1080,16:09,1.0,"ZEB-IGM 101, ZEB-N24A",180.0,107.99,Unknown
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...",15999.0,81.28,1920x1080,16:09,12.0,ZEB-AC32FHD LED,165.0,191.99,Unknown
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,6599.0,60.45,,,4.0,D24-20/D24-40,75.0,79.19,Unknown
LG QHD Monitor 60.96 cm (24 inch) Quad HD LED Backlit IPS Panel Monitor (24QP550-BB.ATRDMSN),14999.0,60.96,2560x1440,16:09,5.0,24QP550-BB.ATRDMSN,75.0,179.99,Unknown
Lenovo 68.58 cm (27 inch) Full HD VA Panel with TUV Eye Care Monitor (D27-40/D27-30),8499.0,68.58,1920x1080,16:09,4.0,D27-40/D27-30,75.0,101.99,Unknown
"LG 108.0 cm (42.5197 inch) 4K Ultra HD IPS Panel with WebOS, Smart Monitor (43SQ700S-WB.ATRLMSN)",33999.0,108.0,,16:09,5.0,43SQ700S-WB.ATRLMSN,60.0,407.99,Unknown
"BenQ GW2790 68.58 cm (27 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...",10498.0,68.58,1920x1080,16:09,5.0,GW2790,100.0,125.98,Unknown
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),2469.0,43.18,1280x1024,5:04,5.0,MON-0065,60.0,29.63,Unknown
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...",9799.0,60.45,1920x1080,16:09,4.0,S2421HNM / S2421HN,75.0,117.59,Unknown
"BenQ GW2490T 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with 99% sRGB, Height Adjustable, Eye-ca...",10990.0,60.96,1920x1080,16:09,5.0,GW2490T,100.0,131.88,Unknown
"Acer 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with EcoDisplay, Mercury Free, Flicker Free, Blu...",8899.0,68.58,1920x1080,16:09,1.0,HA270,120.0,106.79,Unknown
"ZEBRONICS 68.58 cm (27 inch) Full HD IPS Panel with 300 Nits Brightness, HDR10, 99% sRGB 1 x DP, 1 x H...",11799.0,68.58,1920x1080,16:09,1.0,"ZEB-IGM 102,ZEB-N27A",180.0,141.59,Unknown
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...",11999.0,68.58,1920x1080,,4.0,S2721HNM / S2721HN,75.0,143.99,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
Data not available,,60.45,,,5.0,nan,,,Unknown
"Lenovo L-Series 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI 1.4, VGA, 2X3W Sp...",7199.0,55.88,,16:09,4.0,L22i-40,75.0,86.39,Unknown
"ZEBRONICS 49.53 cm (19.5 inch) Full HD TN Panel with Slim & Glossy Design, Anti-Glare, Wall Mountable ...",,49.53,1600x900,16:09,5.0,Zeb-A20HD LED,60.0,,Unknown
Enter 48.26 cm (19 inch) HD LED Backlit TN Panel Monitor (19 inch HD LED Monitor),2799.0,48.26,1440x900,16:09,5.0,19 inch HD LED Monitor,60.0,33.59,Unknown
"SAMSUNG Odyssey G3 68.58 cm (27 inch) Full HD VA Panel with Height Adjustable Stand, 3-Sided Borderles...",14239.0,68.58,,16:09,1.0,LS27AG320NWXXL/LS27AG322NWXXL,165.0,170.87,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),3154.0,50.8,1600x900,16:09,5.0,MON-0054,60.0,37.85,Unknown
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),2699.0,50.8,1600x900,16:09,3.0,MON-0074,60.0,32.39,Unknown
ZEBRONICS 68.58 cm (27 inch) Full HD VA Panel Wall Mountable Monitor (ZEB-A27FHD Ultra slim LED monito...,8099.0,68.58,1920x1080,16:09,12.0,"ZEB-A27FHD Ultra slim LED monitor with 68.5cm,75Hz refresh rate",75.0,97.19,Unknown
"Acer XV2 68.58 cm (27 inch) WQHD LED Backlit IPS Panel with DCI-P3 95%, VESA DisplayHDR 400, Display W...",16815.0,68.58,2560x1440,16:09,0.5,XV272U V3,180.0,201.78,Unknown
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),11999.0,81.28,1920x1080,16:09,8.0,ZEB -AC32FHD LED,75.0,143.99,Unknown
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...",7599.0,60.45,,16:09,5.0,24MR400-BA.CTRRMV,100.0,91.19,Unknown
ZEBSTER Z-GV122 55.88 cm (22 inch) HD LED Backlit TN Panel Monitor (Z-GV122 LED),,55.88,1366x768,16:09,8.0,Z-GV122 LED,60.0,,Unknown
"ViewSonic 60.96 cm (24 inch) Full HD IPS Panel with HDR10, 104 sRGB, Eye Care, Wall Mount, Tilt, 2 x H...",8999.0,60.96,,16:09,1.0,VX2479-HD-PRO,180.0,107.99,Unknown
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,6599.0,60.45,,,4.0,D24-20/D24-40,75.0,79.19,Unknown
"Acer NITRO 68.58 cm (27 inch) Curved Full HD LED Backlit VA Panel with HDR10 Support, Vision Care, Dis...",12699.0,68.58,1920x1080,,1.0,ED270R S3,180.0,152.39,Unknown
