title,price,promo,coupon,collection_date
"ASUS 15.6” Vivobook Go Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",$229.99,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",$470.88,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"DELL OptiPlex 3000 Series Business Tower Desktop, Intel Core i9-12900K, 64GB RAM, 2TB SSD, DVD-RW, Display Port, RJ-45, HDMI, Wired KB & Mouse, Wi-Fi, Windows 11 Pro, Black",$999.99,No promotion,No coupon,2025-01-12 17:41:43
"CyberPowerPC Gamer Master Gaming PC, AMD Ryzen 5 5500 3.6GHz, Radeon RX 6400 4GB, 16GB DDR4, 500GB PCIe Gen4 SSD, WiFi Ready & Windows 11 Home (GMA3100A)",$649.99,No promotion,No coupon,2025-01-12 17:41:43
"Dell OptiPlex 7050 Micro Computer, Intel Quad Core i5-6500T up to 3.1GHz, 16G DDR4, 256G SSD, Windows 10 Pro 64 Bit-Multi-Language Supports English/Spanish/French(Renewed)",$119.99,"Fri, Jan 24",No coupon,2025-01-12 17:41:43
"Gaming Laptop, Laptop with AMD Ryzen 7 5825U (8C/16T, Up to 4.5GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB",$599.99,"Wed, Jan 22",$100.00 off coupon applied,2025-01-12 17:41:43
"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",$299.00,"Wed, Jan 22",No coupon,2025-01-12 17:41:43
"AINOTE Air 2 Note Taking Tablet, 8.2-inch Writing Tablet for Adults, Voice Transcribe Support 8 Languages, 32GB Memory, Digital Notebook with Stylus Pen, E Ink Paper Tablet for Meetings, Grey",$549.00,"Wed, Jan 22",$90.00 off coupon applied,2025-01-12 17:41:43
"Laptop 16"" 12GB+512GB SSD Celeron N5095 Up to 2.9 GHz Win 11 Laptop Support 512GB TF 1TB SSD Expand Notebook with 1920*1200 FHD 5G WiFi BT 4.2 Webcam Cooling Fan for Students and Business-Purple",$459.99,"Wed, Jan 22",$150.00 off coupon applied,2025-01-12 17:41:43
Title not available,$49.99,No promotion,30% off coupon applied,2025-01-12 17:41:49
Title not available,"$1,389.00",No promotion,No coupon,2025-01-12 17:41:49
