Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
PNY NVIDIA GeForce GTX 1080 Founders Edition 8GB GDDR5X Video Graphics Card,$116.99 ,PNY,8GB,GDDR5X,NVIDIA GeForce GTX 1080,"DisplayPort, DVI, DVI-D, HDMI, Component",2/1/2025 17:56
AMD Radeon R5 340X 2GB GDDR3 Graphics Card DisplayPort DVI,$21.76 ,AMD,2 GB,GDDR3,AMD Radeon R5 340X,DisplayPort,2/1/2025 17:56
Dell AMD Radeon HD 7570 1GB GDDR5 High Profile DVI DP Video Card NJ0D3 9M4KG,$11.99 ,Dell,1 GB,GDDR5,Radeon Hd 7570,"DisplayPort, DVI",2/1/2025 17:56
ASUS ATI Radeon 2400PRO 256MB DVI/VGA/TV-Out PCIE Graphics Card G4A,$36.50 ,ASUS,256 MB,DDR2,ATI Radeon HD 2400 PRO,"TV Out, Hdtv Out",2/1/2025 17:56
Lenovo Radeon HD 7450 1 GB DDR3 PCI Express x16 Graphics Card,$9.00 ,Lenovo,1 GB,DDR3,AMD Radeon HD 7450,"DisplayPort, DVI",2/1/2025 17:56
MSI NVIDIA GTX 1070 8GB Aero DDR5 Graphics Card,$120.00 ,MSI,8 GB,DDR5,NVIDIA GeForce GTX 1070,N/A,2/1/2025 17:56
Sapphire NITRO AMD RX 590 8GB GDDR5 PCIe 3.0 x16 Special Edition Graphics Cards,$114.00 ,SAPPHIRE,8 GB,GDDR5,AMD Radeon RX 590,"DVI, DVI-D, HDMI",2/1/2025 17:56
AMD Radeon Pro WX 7100 8GB GDDR5 Workstation Graphics Card,$79.99 ,AMD,8GB,GDDR5,AMD Radeon Pro WX 7100,4x Display Port,2/1/2025 17:56
Lenovo NVIDIA Quadro P400 2GB GDDR5 PCIe Graphics Card FRU P/N: 00FC959 Tested,$31.99 ,Lenovo,2 GB,GDDR5,Nvidia Quadro P400,Mini DisplayPort,2/1/2025 17:56
NVIDIA  GTX 1660 Super 6GB Graphics Card - PARTS ONLY,$20.00 ,Graphics,6 GB,GDDR6,NVIDIA GeForce GTX 1660,N/A,2/1/2025 17:56
Low Profile Bracket For Dell AMD Radeon RX550 RX640 R9J9P 6J78X Graphics Card,$9.23 ,Unbranded,Does Not Apply,N/A,AMD Radeon RX 550,"DisplayPort, Mini DisplayPort",2/1/2025 17:56
"Nvidia GeForce GTX 680 2GB Graphics Card GPU | 1yr Warranty, Fast Ship!",$37.48 ,NVidia,2 GB,GDDR5,Nvidia GeForce GTX 680,"DisplayPort, DVI, HDMI",2/1/2025 17:56
ASUS Dual Radeon RX 6600 XT OC 8GB GDDR6 Graphics Card,$47.40 ,ASUS,8 GB,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDMI",2/1/2025 17:56
"Nvidia GeForce GTX 680 2GB Graphics Card GPU | 1yr Warranty, Fast Ship!",$37.48 ,NVidia,2 GB,GDDR5,Nvidia GeForce GTX 680,"DisplayPort, DVI, HDMI",2/1/2025 17:56
GeForce GT730 DDR3 DVI VGA HDMI Output Interface PCI-E Graphics Card For PC Desk,$23.62 ,Unbranded,N/A,N/A,/,N/A,2/1/2025 17:56
64bit 1GB GeForce GT730 DDR3 DVI VGA HDMI Output Interface PCI-E Graphics Card,$23.62 ,Unbranded,N/A,N/A,/,N/A,2/1/2025 17:56
SAPPHIRE Pulse AMD Radeon RX 5600 XT 6GB GDDR6 Graphics Card (112960120G),$123.00 ,SAPPHIRE,6 GB,GDDR6,AMD Radeon RX 5600 XT,HDMI,2/1/2025 17:56
NVIDIA Tesla K40m 12GB GDDR5 Passive CUDA GPU PCI-e 3.0 x16 Accelerator Card,$29.95 ,NVIDIA,12GB,GDDR5,Tesla K40,N/A,2/1/2025 17:56
NEW HP Z2 Mini G5 Nvidia RTX3000 6GB Video Graphics Card  M13733-001,$179.55 ,HP,6 GB,GDDR6,Nvidia Quadro RTX3000,N/A,2/1/2025 17:56
NVIDIA Quadro P4000 8GB GDDR5 Video Graphics Card 0GN4T7,$125.00 ,Graphics,8 GB,GDDR5,NVIDIA Quadro 4000,N/A,2/1/2025 17:56
Low Profile Full High Bracket for MSI GTX1050 GTX1050Ti LP Graphics Video Cards,$4.09 ,N/A,N/A,N/A,N/A,N/A,2/1/2025 17:56
