Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
NVIDIA TESLA K80 24GB GDDR5 GPU GRAPHICS CARD ACCELERATOR 699-22080-0200-511,$42.99 ,NVIDIA,24 GB,GDDR5,NVIDIA Tesla K80,N/A,2/5/2025 1:39
Graphics Card GPU Magnetic Support Bracket Holder Brace NVIDIA GPU AMD GPU UK,$5.53 ,COOLMOON,N/A,N/A,NVIDIA GeForce RTX 3080,N/A,2/5/2025 1:39
GTX  1060 (6 GB)   Graphics Card,$65.00 ,PNY,6 GB,N/A,NVIDIA GeForce GTX 1060,N/A,2/5/2025 1:39
PNY VCNRTXA400ATX-B NVIDIA RTX A400 4GB GDDR6 Graphics Card Board Only,$159.99 ,PNY,N/A,N/A,N/A,N/A,2/5/2025 1:38
NEW PNY GeForce GTX 460 XLR8 Enthusiast Edition 1GB GDDR5 PCIE Graphics Card,US $29.99/ea,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
ZOTAC GAMING GeForce RTX 3070 Twin Edge OC 8GB GDDR6 Graphics Card - NO FANS,$120.00 ,ZOTAC,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2/5/2025 1:38
NVIDIA P102-100 5GB GDDR5X 320bit PCI-E1X4(ROHS) MINING GPU CARD,US $44.95,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
Dell AMD Radeon HD8490 1GB DDR3 Graphics Video Card,$9.00 ,Dell,1 GB,DDR3,AMD Radeon HD 8490,"DisplayPort, DVI, DVI-I",2/5/2025 1:38
Dell NDRG5 AMD Radeon RX 550 4GB GDDR5 Graphics Card,$40.00 ,Dell,4 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, HDMI",2/5/2025 1:39
XFX GeForce GTX 285 1GB DDR3 PCI Express 2.0 x16 SLI Support Video Card GX285XZW,$59.99 ,XFX,N/A,N/A,GeForce GTX 285,N/A,2/5/2025 1:38
Graphics Card Jaton JAX 8241 S3 805 VL-Bus 1MB DRAM VL41C/V2 KY2-JAX-SVGA805 VGA,US $89.90,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
NVIDIA RTX 5000 ADA 32GB GDDR6 - 900-5G132-0040-000 GPU Graphics Card,"EUR 2,799.00",N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
ASUS NVIDIA Geforce RTX 3050 6GB GDDR5 Graphics Card Dual-RTX3050-O6G,US $129.50,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
NVIDIA GeForces RTX 4060 8GB GDDR6 Graphics Card - Lenovo OEM FRU 5V11K41546,$299.94 ,Lenovo,8 GB,GDDR6,Nvidia GeForce RTX 4060,"DisplayPort, HDMI",2/5/2025 1:38
"MSI AMD - Radeon R9 380 4G 4GD5T OC Edition - Armor 2x, Graphics Card, GPU",US $75.35,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
MSI NVIDIA CMP 50HX MINER 10GB GDDR6 Graphics Card,$154.99 ,NVIDIA,10 GB,GDDR6,CMP 50HX,N/A,2/5/2025 1:39
10 LOT: Dell AMD Radeon HD 7470 1GB GDDR3 SFF Graphics Card C264,$47.49/ea,Dell,1 GB,GDDR3,AMD Radeon HD 7470,"DisplayPort, DVI, DVI-D, DVI-I",2/5/2025 1:39
Nvidia GeForce RTX 3050 8GB 256-Bit GDDR6 PCIe x 16 FH Graphics card N12058-001,$350.00 ,Graphics,8 GB,GDDR6,NVIDIA GeForce RTX 3050,"DisplayPort Output, HDMI Standard Output",2/5/2025 1:39
TESLA M40 NVIDIA PG600 900-2G600-0010-000 F  12GB GDDR5 PCI-E 3.0X16 GPU CARD,$39.99/ea,NVIDIA,12 GB,GDDR5,Nvidia Tesla M40,N/A,2/5/2025 1:39
ASUS ROG Strix GeForce RTX 4090 24G GDDR6X White OC Edition Graphic Card .,"$3,620.40 ",N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
GIGABYTE GeForce GTX 1660 SUPER Gaming OC 6GB GDDR6 PCI Express 3.0 x16,$109.99 ,GIGABYTE,6 GB,GDDR6,NVIDIA GeForce GTX1660 SUPER,"DisplayPort, HDMI",2/5/2025 1:38
ASUS Dual Radeon RX 6600 XT OC 8GB GDDR6,$170.00 ,ASUS,8 GB,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDCP, HDMI",2/5/2025 1:38
msi p104 8g Graphics Card,$80.00 ,MSI,8 GB,N/A,msi p104,N/A,2/5/2025 1:39
AMD Radeon RX 6700 XT 12GB GDDR6 Graphics Card,US $265.00,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
HP AMD Radeon R5 420 1GB DDR5 VGA DP Graphics Card,$21.00 ,HP,1GB,GDDR5,AMD Radeon R5 420,"DisplayPort, VGA",2/5/2025 1:39
ATI AMD FIREPRO W4300 4GB DDR5 4xMINI DP FH Desktop PC GRAPHICS VIDEO CARD,$33.98 ,AMD,4 GB,DDR5,FIREPRO W4300,N/A,2/5/2025 1:39
ASUS ROG STRIX NVIDIA GeForce RTX 4080 Super OC White 16GB GDDR6X Graphics Card!,$635.86 ,ASUS,16 GB,GDDR6X,NVIDIA GeForce RTX 4080 Super,"DisplayPort, HDCP, HDMI",2/5/2025 1:39
2GB Lenovo AMD Radeon RX550 GDDR5 VGA / DP / HDMI PCI-e Graphics Video Card,$49.79 ,AMD,2 GB,GDDR5,AMD Radeon RX 550,"DisplayPort, DVI, VGA",2/5/2025 1:38
LENOVO NVIDIA NVS GRAPHICS CARD,$22.99 ,Profile,1 GB,DDR3,NVIDIA Quadro NVS 310,DisplayPort,2/5/2025 1:39
NVidia GeForce GT730 2GB GDDR5 (2) Display Port Graphics Card Low Profile SFF,$17.79 ,Lenovo,2 GB,GDDR5,NVIDIA GeForce GT 730,DisplayPort,2/5/2025 1:38
NEW HP Z2 Mini G5 Nvidia RTX3000 6GB Video Graphics Card  M13733-001,$179.55 ,HP,6 GB,GDDR6,Nvidia Quadro RTX3000,N/A,2/5/2025 1:38
AMD Radeon Pro WX 2100 2GB GDDR5 Graphics Card Low Profile. SKU221076,$29.29 ,AMD RADEON,2100,N/A,Does not apply,N/A,2/5/2025 1:38
NEW NVIDIA GeForce GTX 1650 4GB VIDEO Graphics Card N18P-G0-MP-A1 MXM 3.0 Type A,$179.55 ,NVIDIA,4 GB,GDDR5,NVIDIA GeForce GTX 1650,N/A,2/5/2025 1:39
AMD Radeon Pro WX 7100 8GB GDDR5 Workstation Graphics Card,$79.99 ,AMD,8GB,GDDR5,AMD Radeon Pro WX 7100,4x Display Port,2/5/2025 1:39
Lenovo NVIDIA Quadro P400 2GB GDDR5 PCIe Graphics Card FRU P/N: 00FC959 Tested,$31.99 ,Lenovo,2 GB,GDDR5,Nvidia Quadro P400,Mini DisplayPort,2/5/2025 1:39
Dell Nvidia Tesla M10 32GB GDDR5 PCIe Server Graphics GPU Accelerator Card H56H0,$179.28 ,Dell,32 GB,GDDR5,NVIDIA Tesla M10,N/A,2/5/2025 1:39
NVIDIA QUADRO M2000 4GB GDDR5 128 bit Graphics Card - Used but Like New!!!,$62.06 ,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
2GB DDR5 DUAL HDMI/DP Video Card BUNDLE. Includes 2 DP to HDMI adapters. Dell HP,US $28.44,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
LENOVO NVIDIA NVS GRAPHICS CARD,$22.99 ,Profile,1 GB,DDR3,NVIDIA Quadro NVS 310,DisplayPort,2/5/2025 1:39
hp AMD FirePro W5100 4-Port DP 4GB GDDR5 Video Graphics Card; Tested,$27.00 ,AMD,4GB,GDDR5,AMD FirePro W5100,Display Port,2/5/2025 1:38
GIGABYTE GeForce GTX 1660 SUPER Gaming OC 6GB GDDR6 PCI Express 3.0 x16,$109.99 ,GIGABYTE,6 GB,GDDR6,NVIDIA GeForce GTX1660 SUPER,"DisplayPort, HDMI",2/5/2025 1:38
NVIDIA Quadro P2000 - 5GB GDDR5 - GPU - Video Card - READ - TESTED & WORKING,$39.95 ,PNY,5 GB,GDDR5,NVIDIA Quadro 2000,DisplayPort,2/5/2025 1:39
Dell AMD Radeon R5 430 2GB GDDR5 DVI DisplayPort Low Profile Graphics Card 0F8PX,$11.97 ,Dell,2 GB,GDDR5,ATI Radeon R5 430,"DVI, DisplayPort",2/5/2025 1:38
INNO3D GEFORCE RTX 4080 SUPER X3 OC 16GB GDDR6X Graphics Card,"$1,350.00 ",Inno3D,16 GB,GDDR6X,NVIDIA Geforce RTX 4080 SUPER,"DisplayPort, HDMI",2/5/2025 1:39
MSI Graphics Card Bolster Adjustable Support Bar 390 mm - 680mm  NEW,$39.00 ,MSI,N/A,N/A,NA,N/A,2/5/2025 1:39
512MB XFX ATi Radeon HD5750 Dual DVI / HDMI / DisplayPort PCI-e Graphics Card,GBP 16.99,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
Zotac Nvidia PG150 RTX MINI RTX 2070 8GB GPU 256bit GDDR6 Video Graphics Card,$114.00 ,ZOTAC,N/A,GDDR6,NVIDIA GeForce RTX 2070,N/A,2/5/2025 1:39
Low Profile Bracket For Dell AMD Radeon RX550 RX640 R9J9P 6J78X Graphics Card,$8.65 ,Unbranded,Does Not Apply,N/A,AMD Radeon RX 550,"DisplayPort, Mini DisplayPort",2/5/2025 1:39
PowerColor AMD Radeon RX Vega 56 Red Devil 8GB HBM2 Graphics Card w box,EUR 96.67,PowerColor,8 GB,HBM2,Devil RX Vega 64,N/A,2/5/2025 1:39
"Dell AMD Radeon HD 8570 1GB DDR3 SFF LP Graphics Card - DVI, Displayport",US $9.89,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
2 LOT: Dell AMD Radeon HD 7470 1GB GDDR3 SFF Graphics Card C264,US $14.24/ea,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
GIGABYTE GeForce RTX 2080 GAMING OC 8GB GDDR6 Graphics Card,$280.00 ,GIGABYTE,8 GB,GDDR6,NVIDIA GeForce RTX 2080,"DisplayPort, HDMI, USB-C",2/5/2025 1:39
GUNNIR Intel Arc B580 Index 12G 2670MHz GDDR6 PCIE4.0 Graphics Card Gaming GPU,US $369.99,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
Gigabyte Radeon RX 6600 XT Eagle 8G GV-R66XTEAGLE-8GD Graphics Card - READ,$100.96 ,GIGABYTE,N/A,N/A,Radeon RX 6600,N/A,2/5/2025 1:38
MSI LP GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card RTX 3050 LP,$198.99 ,MSI,6GB,GDDR6,GeForce RTX 3050,N/A,2/5/2025 1:39
Radeon HD5450 2GB DDR3 PCI-E HDMI DVI-I VGA Graphics Card 299-1E199-700SA. g075,$49.50 ,AMD,2 GB,DDR3,ATI Radeon HD 5450,DVI-I,2/5/2025 1:38
"AMD Radeon R5 340X 2GB GDDR3 Graphics Card (109-C87051-00) - DisplayPort, DVI",US $9.99,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
GIGABYTE WINDFORCE GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card,US $200.59,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
Asus NVIDIA GeForce RTX 4060 Ti Graphic Card - 16 GB GDDR6 (dual-rtx4060ti-o16g),US $551.19,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
NEW Dell AMD Radeon R7 450 4GB DDR5 PCIe Video Graphics Card FN46D,$39.99 ,Dell,4 GB,DDR5,Radeon R7 450,"DisplayPort, DVI-D, HDMI",2/5/2025 1:39
Dell H56H0 Nvidia Tesla M10 32GB GDDR5 Gaming Video Graphics Card GPU,US $71.50,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
Sapphire Radeon R7 240 2GB DDR3 HDMI/DVI-D/VGA Boost PCI-Express Graphics Card,$41.95 ,SAPPHIRE,2 GB,DDR3,Sapphire Radeon R7 240,"DVI-D, HDMI, VGA",2/5/2025 1:38
MATROX C420-E2GBLAF 2GB GDDR5 PCIe 3.0 x 16 Graphic Card - Full or Half Height,$39.99 ,Matrox,2 GB,GDDR5,Matrox C420,N/A,2/5/2025 1:38
NVIDIA A2 Tensor Core GPU 16GB PCIe Graphics Accelerator CUDA Ampere Tesla Card,$499.00 ,Graphics,16 GB,DDR6,A2,N/A,2/5/2025 1:38
Asus Nvidia Geforce GT620 2GB DDR3 Graphics Card GT620-SL-2GD3-V3-DP FREE S/H!!!,$24.99 ,ASUS,2 GB,DDR3,NVIDIA GeForce GT 620,N/A,2/5/2025 1:39
NVIDIA Tesla M40 12GB GDDR5 GPU Accelerator for Server (900-2G600-0010-000),$38.69 ,NVIDIA,12 GB,GDDR5,Tesla M40,N/A,2/5/2025 1:39
AMD Radeon R7 450 4GB GDDR5 Video Graphics Full Profile Card FN46D + HDMI Cable,US $34.95,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
ASUS Geforce RTX 3070 Turbo 8GB GDDR6 TURBO-RTX3070-8G Video Graphics Card GPU,$319.99 ,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3070,N/A,2/5/2025 1:39
"NVIDIA 2-Slot NVlink Graphics card bridge, Quadro RTX bridge",$109.99 ,"NVIDIA,",N/A,N/A,NVIDIA Quadro,N/A,2/5/2025 1:38
2GB Dell AMD FirePro V5900 Dual DisplayPort / DVI PCI-e Graphics Card 5DRVJ,US $24.99,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
GTX10 GTX1650 4GB 4K 2K Half Height Graphics Card Single Slot Graphics Card GPU-,EUR 182.83,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
Yamaha V6355D-F 8 bit ISA MGA CGA Video Graphics Card NEW OLD STOCK,$19.90 ,Yamaha,N/A,N/A,V6355D-F,"Composite (RCA), D-Sub",2/5/2025 1:39
SAPPHIRE PULSE AMD Radeon RX 6600 XT GDDR6 8GB Graphics Card,$184.99 ,SAPPHIRE,8 GB,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDMI",2/5/2025 1:39
"NVIDIA Quadro P2000 5GB GDDR5 Video Graphics Card-Used, Tested & Working",$45.00 ,NVIDIA,5 GB,GDDR5,NVIDIA Quadro P2000,"VGA, DisplayPort, DVI, HDCP, DVI-D, HDMI",2/5/2025 1:38
CLEVO P870DM-G NVIDIA VIDEO GRAPHICS CARD N16E-GXX-A1 GTX 980 8G DDR5 MXM 3.0,$134.99 ,CLEVO,8 GB,GDDR5,GTX 980,N/A,2/5/2025 1:39
NEW VisionTek ATI Radeon X1300 256MB GDDR2 PCI Graphics Card - L51,US $25.00,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
ATI Radeon HD 2400 Pro 256MB PCIe X16 Graphics Card - Great for Basic Gaming!,$22.87 ,ATI,N/A,GDDR2,ATI Radeon HD 2400 PRO,N/A,2/5/2025 1:39
EVGA GeForce GTX 980 4GB GDDR5 Graphics Card (04GP42986KR) Used Tested Working,$30.00 ,EVGA,4GB,GDDR5,NVIDIA GeForce GTX 980,"DisplayPort, DVI",2/5/2025 1:38
SAPPHIRE AMD Pulse Radeon RX 580 8GB GDDR5 GPU Full HD Gaming Graphics Card,$85.00 ,SAPPHIRE,8 GB,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI, DVI-D, HDMI",2/5/2025 1:39
GIGABYTE GeForce RTX 3080 GAMING OC 10GB GDDR6X Graphics Card (GV-N3080GAMING...,US $650.00,GIGABYTE,10 GB,GDDR6X,NVIDIA GeForce RTX 3080,"DisplayPort, HDMI",2/5/2025 1:38
PNY NVIDIA RTX A2000 6GB GDDR6 Graphics Card GPU Low Profile IN BOX + ADAPTERS,$295.00 ,PNY,6 GB,GDDR6,NVIDIA RTX A2000,"DisplayPort, DVI, HDMI",2/5/2025 1:39
Matrox Millennium G450 PCI AGPx4 Dual Video Graphics Card G45FMDHA32DB  (NEW)VGA,$35.99 ,Matrox,32 MB,N/A,G450,VGA,2/5/2025 1:38
AMD Radeon R5 320 1GB HDMI DP VGA Graphics Card,$22.42 ,MSI,1 GB,DDR3,AMD Radeon R5 320,"DisplayPort, HDMI, VGA",2/5/2025 1:38
MSI NVIDIA P106-100 MINER 6GB Graphics card,$41.00/ea,MSI,6 GB,GDDR5,MSI NVIDIA P106-100,N/A,2/5/2025 1:39
64bit 1GB GeForce GT730 DDR3 DVI VGA HDMI Output Interface PCI-E Graphics Card,$23.66 ,Unbranded,N/A,N/A,/,N/A,2/5/2025 1:39
"128MB HP 5187-6145 Asus ATi RV370SE VGA, COMP Out, S-Vid-Out PCI-e Graphics Card",$22.40 ,ASUS,128 MB,N/A,ATI Radeon X300 SE,VGA,2/5/2025 1:39
"AMD Radeon R5 340X 2GB GDDR3 Graphics Card (109-C87051-00) - DisplayPort, DVI",$9.99/ea,AMD,2 GB,GDDR3,AMD Radeon R5 340X,"DVI-I, DisplayPort, DVI",2/5/2025 1:38
FX 5500 FX5500 256 NEW GeForce MB PCI 3D Video Card Graphics 2048x1536,$44.88 ,Unbranded,256 MB,3D-RAM,NVIDIA GeForce FX 5500,VGA,2/5/2025 1:39
AMD Radeon R5 340X 2GB GDDR3 Graphics Card DisplayPort DVI,$21.79 ,AMD,2 GB,GDDR3,AMD Radeon R5 340X,DisplayPort,2/5/2025 1:39
(FOR PARTS ONLY) NVIDIA Tesla K80 24GB GDDR5 Graphics Card (900-22080-0000-000),$20.00/ea,NVIDIA,24 GB,GDDR5,NVIDIA Tesla K80,N/A,2/5/2025 1:38
MSI GeForce RTX 3050 GAMING X 8GB GDDR6 Graphics Card,US $100.99,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
"Asus Radeon R7 250 1GB Graphics Card GPU | 1yr Warranty, Fast Ship!",$34.97 ,ASUS,1 GB,N/A,AMD Radeon R7 250,N/A,2/5/2025 1:39
NVIDIA Crystal Card GTX 1080 GPU IC Die Specimen Tech Cyber Art Decoration Gift,$50.00 ,NVIDIA,N/A,N/A,NVIDIA GeForce GTX 1080,N/A,2/5/2025 1:38
Dell/NVIDIA Quadro P2200 5GB GDDR5X PCIe Graphics Video Card GPU PX8M5,EUR 160.00,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:38
NVidia Tesla M10 Graphics Card / Graphics Card 4x GM107 GPU 32GB GDDR5,$195.50 ,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
XFX AMD Radeon RX 590 8GB 2304sp GDDR5 Graphics Card,$92.00 ,XFX,8 GB,DDR5,AMD Radeon RX 590,"DisplayPort, DVI, HDMI",2/5/2025 1:38
PNY XLR8 GEFORCE GTX 470 1280MB Mini HDMI Dual DVI Video Card MW4E2 Nvidia,US $19.00/ea,N/A,N/A,N/A,N/A,N/A,2/5/2025 1:39
