title,price,rating,reviews,image_url,product_url,collection_date
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Qualcomm Snapdragon X Plus - (16 GB/1 TB SSD/Windows...","89,990",4.1,9 Ratings & 1 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/m/4/-original-imah4fhvg7hggyje.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s-15-oled-powered-copilot-ai-pc-qualcomm-snapdragon-x-plus-16-gb-1-tb-ssd-windows-11-home-s5507qa-ma551ws-thin-light-laptop/p/itm64aa566d270be?pid=COMHFCBZ64HJFXKG&lid=LSTCOMHFCBZ64HJFXKGRNINFT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMHFCBZ64HJFXKG.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK323...,"46,990",4.4,"3,273 Ratings & 348 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/e/h/e1504fa-lk543ws-thin-and-light-laptop-asus-original-imahf7yvddama8xh.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk323ws-thin-light-laptop/p/itm3de88f71e558b?pid=COMGMGXFGF7ZTKHF&lid=LSTCOMGMGXFGF7ZTKHFBG8NVU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMGMGXFGF7ZTKHF.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"79,990",4.7,"15,896 Ratings & 967 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itmdc5308fa78421?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en__nujO8hv5qZ5m7ASX_h_huNhvocTBaIAqRWxhuY6DS63AXmrXOCNVCZFWc7qmVPsi2hU4ZUanKv5yEL3fjlKNevN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,"62,990",4.5,"4,460 Ratings & 404 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/g/m/-original-imah3xrqttkdbss4.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en__nujO8hv5qZ5m7ASX_h_huNhvocTBaIAqRWxhuY6DS4fxRo_hLkFQSlNiJpc3YOFMg6vLF1VzchvADrGHnhuMkhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","46,990",4.2,"6,528 Ratings & 353 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/9/4/-original-imah4qspccqnpsc4.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj540ws-x1504za-nj542ws-thin-light-laptop/p/itm200184e4e0443?pid=COMHYG8ZSP9DC2GZ&lid=LSTCOMHYG8ZSP9DC2GZECEZQA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMHYG8ZSP9DC2GZ.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,"46,490",4.2,"6,528 Ratings & 353 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/7/x1504za-nj521ws-x1504za-nj520ws-thin-and-light-laptop-asus-original-imah4fv4jrrag9dq.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj549ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYG8ZPYAZAFTY&lid=LSTCOMHYG8ZPYAZAFTYUFI8OO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMHYG8ZPYAZAFTY.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0315TU Thin and Light Laptop,"55,990",3.9,116 Ratings & 6 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/v/1/-original-imah4qsdnznjxykw.jpeg?q=70,https://www.flipkart.com/hp-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-15-fd0315tu-thin-light-laptop/p/itm01c07721bb10b?pid=COMH2FFGSTXTR8ZB&lid=LSTCOMH2FFGSTXTR8ZBNMPF3U&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMH2FFGSTXTR8ZB.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...,"34,990",4.3,"10,357 Ratings & 805 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/j/l/x1502za-ej993ws-thin-and-light-laptop-asus-original-imah47vrryedmvtp.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1502za-ej993ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGS7M3HHJQYVKB&lid=LSTCOMGS7M3HHJQYVKBRTO2VL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=d1274f47-4fc1-438f-8c38-b7f0c02bcadc.COMGS7M3HHJQYVKB.SEARCH&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,"49,890",4.1,"1,817 Ratings & 96 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/c/5/-original-imah8frtdh9bgnnp.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMHFYZ3GZVH37GY&lid=LSTCOMHFYZ3GZVH37GYBMASJU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en__nujO8hv5qZ5m7ASX_h_huNhvocTBaIAqRWxhuY6DS6vVUZ2YtG5mUMxV5Vsudav5ve7RjntB6wV5RtckFNdPq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,"23,990",4.2,322 Ratings & 14 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/g/-original-imah8frtuzfe9yup.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm146632ae84dbc?pid=COMHFYZ3CN5WHUR8&lid=LSTCOMHFYZ3CN5WHUR8KHN4RK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en__nujO8hv5qZ5m7ASX_h_huNhvocTBaIAqRWxhuY6DS6O1YIFihAw0nVP98a6VIp_jaZ2UgMNxTic_KSxf2PJofKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=hn3x96tyts0000001738097511920&qH=312f91285e048e09,2025-01-28 21:51:52
